event,time,magnitude,e_magnitude,band,ra,dec,source,refs
1998bw,50937.48,14.03,,V,,,"1998Natur.395..670G,Sternberg Astronomical Institute Supernova Light Curve Catalogue","[{'name': 'Galama et al. (1998)', 'url': 'https://ui.adsabs.harvard.edu/abs/1998Natur.395..670G/abstract'}, {'name': 'Sternberg Astronomical Institute Supernova Light Curve Catalogue', 'url': 'http://dau.itep.ru/sn/node/72'}]"
1998bw,50939.33,13.93,,I,,,"1998Natur.395..670G,Sternberg Astronomical Institute Supernova Light Curve Catalogue","[{'name': 'Galama et al. (1998)', 'url': 'https://ui.adsabs.harvard.edu/abs/1998Natur.395..670G/abstract'}, {'name': 'Sternberg Astronomical Institute Supernova Light Curve Catalogue', 'url': 'http://dau.itep.ru/sn/node/72'}]"
1998bw,50939.35,14.24,,B,,,"1998Natur.395..670G,Sternberg Astronomical Institute Supernova Light Curve Catalogue","[{'name': 'Galama et al. (1998)', 'url': 'https://ui.adsabs.harvard.edu/abs/1998Natur.395..670G/abstract'}, {'name': 'Sternberg Astronomical Institute Supernova Light Curve Catalogue', 'url': 'http://dau.itep.ru/sn/node/72'}]"
1998bw,50939.35,13.88,,R,,,"1998Natur.395..670G,Sternberg Astronomical Institute Supernova Light Curve Catalogue","[{'name': 'Galama et al. (1998)', 'url': 'https://ui.adsabs.harvard.edu/abs/1998Natur.395..670G/abstract'}, {'name': 'Sternberg Astronomical Institute Supernova Light Curve Catalogue', 'url': 'http://dau.itep.ru/sn/node/72'}]"
1998bw,50939.35,13.92,,U,,,"1998Natur.395..670G,Sternberg Astronomical Institute Supernova Light Curve Catalogue","[{'name': 'Galama et al. (1998)', 'url': 'https://ui.adsabs.harvard.edu/abs/1998Natur.395..670G/abstract'}, {'name': 'Sternberg Astronomical Institute Supernova Light Curve Catalogue', 'url': 'http://dau.itep.ru/sn/node/72'}]"
1998bw,50939.35,13.82,,V,,,"1998Natur.395..670G,Sternberg Astronomical Institute Supernova Light Curve Catalogue","[{'name': 'Galama et al. (1998)', 'url': 'https://ui.adsabs.harvard.edu/abs/1998Natur.395..670G/abstract'}, {'name': 'Sternberg Astronomical Institute Supernova Light Curve Catalogue', 'url': 'http://dau.itep.ru/sn/node/72'}]"
1998bw,50939.73,13.92,,I,,,"1998Natur.395..670G,Sternberg Astronomical Institute Supernova Light Curve Catalogue","[{'name': 'Galama et al. (1998)', 'url': 'https://ui.adsabs.harvard.edu/abs/1998Natur.395..670G/abstract'}, {'name': 'Sternberg Astronomical Institute Supernova Light Curve Catalogue', 'url': 'http://dau.itep.ru/sn/node/72'}]"
1998bw,50939.75,14.21,,B,,,"1998Natur.395..670G,Sternberg Astronomical Institute Supernova Light Curve Catalogue","[{'name': 'Galama et al. (1998)', 'url': 'https://ui.adsabs.harvard.edu/abs/1998Natur.395..670G/abstract'}, {'name': 'Sternberg Astronomical Institute Supernova Light Curve Catalogue', 'url': 'http://dau.itep.ru/sn/node/72'}]"
1998bw,50939.75,13.85,,R,,,"1998Natur.395..670G,Sternberg Astronomical Institute Supernova Light Curve Catalogue","[{'name': 'Galama et al. (1998)', 'url': 'https://ui.adsabs.harvard.edu/abs/1998Natur.395..670G/abstract'}, {'name': 'Sternberg Astronomical Institute Supernova Light Curve Catalogue', 'url': 'http://dau.itep.ru/sn/node/72'}]"
1998bw,50939.75,13.85,,V,,,"1998Natur.395..670G,Sternberg Astronomical Institute Supernova Light Curve Catalogue","[{'name': 'Galama et al. (1998)', 'url': 'https://ui.adsabs.harvard.edu/abs/1998Natur.395..670G/abstract'}, {'name': 'Sternberg Astronomical Institute Supernova Light Curve Catalogue', 'url': 'http://dau.itep.ru/sn/node/72'}]"
1998bw,50941.3,13.82,,I,,,"1998Natur.395..670G,Sternberg Astronomical Institute Supernova Light Curve Catalogue","[{'name': 'Galama et al. (1998)', 'url': 'https://ui.adsabs.harvard.edu/abs/1998Natur.395..670G/abstract'}, {'name': 'Sternberg Astronomical Institute Supernova Light Curve Catalogue', 'url': 'http://dau.itep.ru/sn/node/72'}]"
1998bw,50941.32,14.13,,B,,,"1998Natur.395..670G,Sternberg Astronomical Institute Supernova Light Curve Catalogue","[{'name': 'Galama et al. (1998)', 'url': 'https://ui.adsabs.harvard.edu/abs/1998Natur.395..670G/abstract'}, {'name': 'Sternberg Astronomical Institute Supernova Light Curve Catalogue', 'url': 'http://dau.itep.ru/sn/node/72'}]"
1998bw,50941.32,13.75,,R,,,"1998Natur.395..670G,Sternberg Astronomical Institute Supernova Light Curve Catalogue","[{'name': 'Galama et al. (1998)', 'url': 'https://ui.adsabs.harvard.edu/abs/1998Natur.395..670G/abstract'}, {'name': 'Sternberg Astronomical Institute Supernova Light Curve Catalogue', 'url': 'http://dau.itep.ru/sn/node/72'}]"
1998bw,50941.32,13.85,,U,,,"1998Natur.395..670G,Sternberg Astronomical Institute Supernova Light Curve Catalogue","[{'name': 'Galama et al. (1998)', 'url': 'https://ui.adsabs.harvard.edu/abs/1998Natur.395..670G/abstract'}, {'name': 'Sternberg Astronomical Institute Supernova Light Curve Catalogue', 'url': 'http://dau.itep.ru/sn/node/72'}]"
1998bw,50941.32,13.71,,V,,,"1998Natur.395..670G,Sternberg Astronomical Institute Supernova Light Curve Catalogue","[{'name': 'Galama et al. (1998)', 'url': 'https://ui.adsabs.harvard.edu/abs/1998Natur.395..670G/abstract'}, {'name': 'Sternberg Astronomical Institute Supernova Light Curve Catalogue', 'url': 'http://dau.itep.ru/sn/node/72'}]"
1998bw,50941.7,13.79,,I,,,"1998Natur.395..670G,Sternberg Astronomical Institute Supernova Light Curve Catalogue","[{'name': 'Galama et al. (1998)', 'url': 'https://ui.adsabs.harvard.edu/abs/1998Natur.395..670G/abstract'}, {'name': 'Sternberg Astronomical Institute Supernova Light Curve Catalogue', 'url': 'http://dau.itep.ru/sn/node/72'}]"
1998bw,50941.82,14.11,,B,,,"1998Natur.395..670G,Sternberg Astronomical Institute Supernova Light Curve Catalogue","[{'name': 'Galama et al. (1998)', 'url': 'https://ui.adsabs.harvard.edu/abs/1998Natur.395..670G/abstract'}, {'name': 'Sternberg Astronomical Institute Supernova Light Curve Catalogue', 'url': 'http://dau.itep.ru/sn/node/72'}]"
1998bw,50941.82,13.71,,R,,,"1998Natur.395..670G,Sternberg Astronomical Institute Supernova Light Curve Catalogue","[{'name': 'Galama et al. (1998)', 'url': 'https://ui.adsabs.harvard.edu/abs/1998Natur.395..670G/abstract'}, {'name': 'Sternberg Astronomical Institute Supernova Light Curve Catalogue', 'url': 'http://dau.itep.ru/sn/node/72'}]"
1998bw,50941.82,13.74,,V,,,"1998Natur.395..670G,Sternberg Astronomical Institute Supernova Light Curve Catalogue","[{'name': 'Galama et al. (1998)', 'url': 'https://ui.adsabs.harvard.edu/abs/1998Natur.395..670G/abstract'}, {'name': 'Sternberg Astronomical Institute Supernova Light Curve Catalogue', 'url': 'http://dau.itep.ru/sn/node/72'}]"
1998bw,50942.29,13.78,,I,,,"1998Natur.395..670G,Sternberg Astronomical Institute Supernova Light Curve Catalogue","[{'name': 'Galama et al. (1998)', 'url': 'https://ui.adsabs.harvard.edu/abs/1998Natur.395..670G/abstract'}, {'name': 'Sternberg Astronomical Institute Supernova Light Curve Catalogue', 'url': 'http://dau.itep.ru/sn/node/72'}]"
1998bw,50942.31,14.1,,B,,,"1998Natur.395..670G,Sternberg Astronomical Institute Supernova Light Curve Catalogue","[{'name': 'Galama et al. (1998)', 'url': 'https://ui.adsabs.harvard.edu/abs/1998Natur.395..670G/abstract'}, {'name': 'Sternberg Astronomical Institute Supernova Light Curve Catalogue', 'url': 'http://dau.itep.ru/sn/node/72'}]"
1998bw,50942.31,13.71,,R,,,"1998Natur.395..670G,Sternberg Astronomical Institute Supernova Light Curve Catalogue","[{'name': 'Galama et al. (1998)', 'url': 'https://ui.adsabs.harvard.edu/abs/1998Natur.395..670G/abstract'}, {'name': 'Sternberg Astronomical Institute Supernova Light Curve Catalogue', 'url': 'http://dau.itep.ru/sn/node/72'}]"
1998bw,50942.31,13.83,,U,,,"1998Natur.395..670G,Sternberg Astronomical Institute Supernova Light Curve Catalogue","[{'name': 'Galama et al. (1998)', 'url': 'https://ui.adsabs.harvard.edu/abs/1998Natur.395..670G/abstract'}, {'name': 'Sternberg Astronomical Institute Supernova Light Curve Catalogue', 'url': 'http://dau.itep.ru/sn/node/72'}]"
1998bw,50942.31,13.68,,V,,,"1998Natur.395..670G,Sternberg Astronomical Institute Supernova Light Curve Catalogue","[{'name': 'Galama et al. (1998)', 'url': 'https://ui.adsabs.harvard.edu/abs/1998Natur.395..670G/abstract'}, {'name': 'Sternberg Astronomical Institute Supernova Light Curve Catalogue', 'url': 'http://dau.itep.ru/sn/node/72'}]"
1998bw,50942.78,13.76,,I,,,"1998Natur.395..670G,Sternberg Astronomical Institute Supernova Light Curve Catalogue","[{'name': 'Galama et al. (1998)', 'url': 'https://ui.adsabs.harvard.edu/abs/1998Natur.395..670G/abstract'}, {'name': 'Sternberg Astronomical Institute Supernova Light Curve Catalogue', 'url': 'http://dau.itep.ru/sn/node/72'}]"
1998bw,50942.8,14.11,,B,,,"1998Natur.395..670G,Sternberg Astronomical Institute Supernova Light Curve Catalogue","[{'name': 'Galama et al. (1998)', 'url': 'https://ui.adsabs.harvard.edu/abs/1998Natur.395..670G/abstract'}, {'name': 'Sternberg Astronomical Institute Supernova Light Curve Catalogue', 'url': 'http://dau.itep.ru/sn/node/72'}]"
1998bw,50942.8,13.68,,R,,,"1998Natur.395..670G,Sternberg Astronomical Institute Supernova Light Curve Catalogue","[{'name': 'Galama et al. (1998)', 'url': 'https://ui.adsabs.harvard.edu/abs/1998Natur.395..670G/abstract'}, {'name': 'Sternberg Astronomical Institute Supernova Light Curve Catalogue', 'url': 'http://dau.itep.ru/sn/node/72'}]"
1998bw,50942.8,13.69,,V,,,"1998Natur.395..670G,Sternberg Astronomical Institute Supernova Light Curve Catalogue","[{'name': 'Galama et al. (1998)', 'url': 'https://ui.adsabs.harvard.edu/abs/1998Natur.395..670G/abstract'}, {'name': 'Sternberg Astronomical Institute Supernova Light Curve Catalogue', 'url': 'http://dau.itep.ru/sn/node/72'}]"
1998bw,50943.13,13.5,,C,,,"VSNET 2001,Sternberg Astronomical Institute Supernova Light Curve Catalogue","[{'name': 'VSNET 2001', 'url': ''}, {'name': 'Sternberg Astronomical Institute Supernova Light Curve Catalogue', 'url': 'http://dau.itep.ru/sn/node/72'}]"
1998bw,50944.26,13.72,,I,,,"1998Natur.395..670G,Sternberg Astronomical Institute Supernova Light Curve Catalogue","[{'name': 'Galama et al. (1998)', 'url': 'https://ui.adsabs.harvard.edu/abs/1998Natur.395..670G/abstract'}, {'name': 'Sternberg Astronomical Institute Supernova Light Curve Catalogue', 'url': 'http://dau.itep.ru/sn/node/72'}]"
1998bw,50944.28,14.08,,B,,,"1998Natur.395..670G,Sternberg Astronomical Institute Supernova Light Curve Catalogue","[{'name': 'Galama et al. (1998)', 'url': 'https://ui.adsabs.harvard.edu/abs/1998Natur.395..670G/abstract'}, {'name': 'Sternberg Astronomical Institute Supernova Light Curve Catalogue', 'url': 'http://dau.itep.ru/sn/node/72'}]"
1998bw,50944.28,13.63,,R,,,"1998Natur.395..670G,Sternberg Astronomical Institute Supernova Light Curve Catalogue","[{'name': 'Galama et al. (1998)', 'url': 'https://ui.adsabs.harvard.edu/abs/1998Natur.395..670G/abstract'}, {'name': 'Sternberg Astronomical Institute Supernova Light Curve Catalogue', 'url': 'http://dau.itep.ru/sn/node/72'}]"
1998bw,50944.28,13.85,,U,,,"1998Natur.395..670G,Sternberg Astronomical Institute Supernova Light Curve Catalogue","[{'name': 'Galama et al. (1998)', 'url': 'https://ui.adsabs.harvard.edu/abs/1998Natur.395..670G/abstract'}, {'name': 'Sternberg Astronomical Institute Supernova Light Curve Catalogue', 'url': 'http://dau.itep.ru/sn/node/72'}]"
1998bw,50944.28,13.6,,V,,,"1998Natur.395..670G,Sternberg Astronomical Institute Supernova Light Curve Catalogue","[{'name': 'Galama et al. (1998)', 'url': 'https://ui.adsabs.harvard.edu/abs/1998Natur.395..670G/abstract'}, {'name': 'Sternberg Astronomical Institute Supernova Light Curve Catalogue', 'url': 'http://dau.itep.ru/sn/node/72'}]"
1998bw,50946.14,13.5,,C,,,"VSNET 2001,Sternberg Astronomical Institute Supernova Light Curve Catalogue","[{'name': 'VSNET 2001', 'url': ''}, {'name': 'Sternberg Astronomical Institute Supernova Light Curve Catalogue', 'url': 'http://dau.itep.ru/sn/node/72'}]"
1998bw,50946.45,13.6,,R,,,"1998Natur.395..670G,Sternberg Astronomical Institute Supernova Light Curve Catalogue","[{'name': 'Galama et al. (1998)', 'url': 'https://ui.adsabs.harvard.edu/abs/1998Natur.395..670G/abstract'}, {'name': 'Sternberg Astronomical Institute Supernova Light Curve Catalogue', 'url': 'http://dau.itep.ru/sn/node/72'}]"
1998bw,50946.45,13.57,,V,,,"1998Natur.395..670G,Sternberg Astronomical Institute Supernova Light Curve Catalogue","[{'name': 'Galama et al. (1998)', 'url': 'https://ui.adsabs.harvard.edu/abs/1998Natur.395..670G/abstract'}, {'name': 'Sternberg Astronomical Institute Supernova Light Curve Catalogue', 'url': 'http://dau.itep.ru/sn/node/72'}]"
1998bw,50947.43,13.65,,V,,,"1998Natur.395..670G,Sternberg Astronomical Institute Supernova Light Curve Catalogue","[{'name': 'Galama et al. (1998)', 'url': 'https://ui.adsabs.harvard.edu/abs/1998Natur.395..670G/abstract'}, {'name': 'Sternberg Astronomical Institute Supernova Light Curve Catalogue', 'url': 'http://dau.itep.ru/sn/node/72'}]"
1998bw,50948.39,13.71,,I,,,"1998Natur.395..670G,Sternberg Astronomical Institute Supernova Light Curve Catalogue","[{'name': 'Galama et al. (1998)', 'url': 'https://ui.adsabs.harvard.edu/abs/1998Natur.395..670G/abstract'}, {'name': 'Sternberg Astronomical Institute Supernova Light Curve Catalogue', 'url': 'http://dau.itep.ru/sn/node/72'}]"
1998bw,50948.42,14.29,,B,,,"1998Natur.395..670G,Sternberg Astronomical Institute Supernova Light Curve Catalogue","[{'name': 'Galama et al. (1998)', 'url': 'https://ui.adsabs.harvard.edu/abs/1998Natur.395..670G/abstract'}, {'name': 'Sternberg Astronomical Institute Supernova Light Curve Catalogue', 'url': 'http://dau.itep.ru/sn/node/72'}]"
1998bw,50948.42,13.63,,R,,,"1998Natur.395..670G,Sternberg Astronomical Institute Supernova Light Curve Catalogue","[{'name': 'Galama et al. (1998)', 'url': 'https://ui.adsabs.harvard.edu/abs/1998Natur.395..670G/abstract'}, {'name': 'Sternberg Astronomical Institute Supernova Light Curve Catalogue', 'url': 'http://dau.itep.ru/sn/node/72'}]"
1998bw,50948.42,14.15,,U,,,"1998Natur.395..670G,Sternberg Astronomical Institute Supernova Light Curve Catalogue","[{'name': 'Galama et al. (1998)', 'url': 'https://ui.adsabs.harvard.edu/abs/1998Natur.395..670G/abstract'}, {'name': 'Sternberg Astronomical Institute Supernova Light Curve Catalogue', 'url': 'http://dau.itep.ru/sn/node/72'}]"
1998bw,50948.42,13.68,,V,,,"1998Natur.395..670G,Sternberg Astronomical Institute Supernova Light Curve Catalogue","[{'name': 'Galama et al. (1998)', 'url': 'https://ui.adsabs.harvard.edu/abs/1998Natur.395..670G/abstract'}, {'name': 'Sternberg Astronomical Institute Supernova Light Curve Catalogue', 'url': 'http://dau.itep.ru/sn/node/72'}]"
1998bw,50949.4,13.71,,V,,,"1998Natur.395..670G,Sternberg Astronomical Institute Supernova Light Curve Catalogue","[{'name': 'Galama et al. (1998)', 'url': 'https://ui.adsabs.harvard.edu/abs/1998Natur.395..670G/abstract'}, {'name': 'Sternberg Astronomical Institute Supernova Light Curve Catalogue', 'url': 'http://dau.itep.ru/sn/node/72'}]"
1998bw,50950.19,14.4,,B,,,"1998Natur.395..670G,Sternberg Astronomical Institute Supernova Light Curve Catalogue","[{'name': 'Galama et al. (1998)', 'url': 'https://ui.adsabs.harvard.edu/abs/1998Natur.395..670G/abstract'}, {'name': 'Sternberg Astronomical Institute Supernova Light Curve Catalogue', 'url': 'http://dau.itep.ru/sn/node/72'}]"
1998bw,50950.29,13.64,,R,,,"1998Natur.395..670G,Sternberg Astronomical Institute Supernova Light Curve Catalogue","[{'name': 'Galama et al. (1998)', 'url': 'https://ui.adsabs.harvard.edu/abs/1998Natur.395..670G/abstract'}, {'name': 'Sternberg Astronomical Institute Supernova Light Curve Catalogue', 'url': 'http://dau.itep.ru/sn/node/72'}]"
1998bw,50950.29,13.74,,V,,,"1998Natur.395..670G,Sternberg Astronomical Institute Supernova Light Curve Catalogue","[{'name': 'Galama et al. (1998)', 'url': 'https://ui.adsabs.harvard.edu/abs/1998Natur.395..670G/abstract'}, {'name': 'Sternberg Astronomical Institute Supernova Light Curve Catalogue', 'url': 'http://dau.itep.ru/sn/node/72'}]"
1998bw,50950.36,13.75,,I,,,"1998Natur.395..670G,Sternberg Astronomical Institute Supernova Light Curve Catalogue","[{'name': 'Galama et al. (1998)', 'url': 'https://ui.adsabs.harvard.edu/abs/1998Natur.395..670G/abstract'}, {'name': 'Sternberg Astronomical Institute Supernova Light Curve Catalogue', 'url': 'http://dau.itep.ru/sn/node/72'}]"
1998bw,50950.39,14.44,,B,,,"1998Natur.395..670G,Sternberg Astronomical Institute Supernova Light Curve Catalogue","[{'name': 'Galama et al. (1998)', 'url': 'https://ui.adsabs.harvard.edu/abs/1998Natur.395..670G/abstract'}, {'name': 'Sternberg Astronomical Institute Supernova Light Curve Catalogue', 'url': 'http://dau.itep.ru/sn/node/72'}]"
1998bw,50950.39,13.65,,R,,,"1998Natur.395..670G,Sternberg Astronomical Institute Supernova Light Curve Catalogue","[{'name': 'Galama et al. (1998)', 'url': 'https://ui.adsabs.harvard.edu/abs/1998Natur.395..670G/abstract'}, {'name': 'Sternberg Astronomical Institute Supernova Light Curve Catalogue', 'url': 'http://dau.itep.ru/sn/node/72'}]"
1998bw,50950.39,14.38,,U,,,"1998Natur.395..670G,Sternberg Astronomical Institute Supernova Light Curve Catalogue","[{'name': 'Galama et al. (1998)', 'url': 'https://ui.adsabs.harvard.edu/abs/1998Natur.395..670G/abstract'}, {'name': 'Sternberg Astronomical Institute Supernova Light Curve Catalogue', 'url': 'http://dau.itep.ru/sn/node/72'}]"
1998bw,50950.39,13.78,,V,,,"1998Natur.395..670G,Sternberg Astronomical Institute Supernova Light Curve Catalogue","[{'name': 'Galama et al. (1998)', 'url': 'https://ui.adsabs.harvard.edu/abs/1998Natur.395..670G/abstract'}, {'name': 'Sternberg Astronomical Institute Supernova Light Curve Catalogue', 'url': 'http://dau.itep.ru/sn/node/72'}]"
1998bw,50951.35,13.76,,I,,,"1998Natur.395..670G,Sternberg Astronomical Institute Supernova Light Curve Catalogue","[{'name': 'Galama et al. (1998)', 'url': 'https://ui.adsabs.harvard.edu/abs/1998Natur.395..670G/abstract'}, {'name': 'Sternberg Astronomical Institute Supernova Light Curve Catalogue', 'url': 'http://dau.itep.ru/sn/node/72'}]"
1998bw,50951.37,14.53,,B,,,"1998Natur.395..670G,Sternberg Astronomical Institute Supernova Light Curve Catalogue","[{'name': 'Galama et al. (1998)', 'url': 'https://ui.adsabs.harvard.edu/abs/1998Natur.395..670G/abstract'}, {'name': 'Sternberg Astronomical Institute Supernova Light Curve Catalogue', 'url': 'http://dau.itep.ru/sn/node/72'}]"
1998bw,50951.37,13.68,,R,,,"1998Natur.395..670G,Sternberg Astronomical Institute Supernova Light Curve Catalogue","[{'name': 'Galama et al. (1998)', 'url': 'https://ui.adsabs.harvard.edu/abs/1998Natur.395..670G/abstract'}, {'name': 'Sternberg Astronomical Institute Supernova Light Curve Catalogue', 'url': 'http://dau.itep.ru/sn/node/72'}]"
1998bw,50951.37,14.49,,U,,,"1998Natur.395..670G,Sternberg Astronomical Institute Supernova Light Curve Catalogue","[{'name': 'Galama et al. (1998)', 'url': 'https://ui.adsabs.harvard.edu/abs/1998Natur.395..670G/abstract'}, {'name': 'Sternberg Astronomical Institute Supernova Light Curve Catalogue', 'url': 'http://dau.itep.ru/sn/node/72'}]"
1998bw,50951.37,13.82,,V,,,"1998Natur.395..670G,Sternberg Astronomical Institute Supernova Light Curve Catalogue","[{'name': 'Galama et al. (1998)', 'url': 'https://ui.adsabs.harvard.edu/abs/1998Natur.395..670G/abstract'}, {'name': 'Sternberg Astronomical Institute Supernova Light Curve Catalogue', 'url': 'http://dau.itep.ru/sn/node/72'}]"
1998bw,50952.33,13.79,,I,,,"1998Natur.395..670G,Sternberg Astronomical Institute Supernova Light Curve Catalogue","[{'name': 'Galama et al. (1998)', 'url': 'https://ui.adsabs.harvard.edu/abs/1998Natur.395..670G/abstract'}, {'name': 'Sternberg Astronomical Institute Supernova Light Curve Catalogue', 'url': 'http://dau.itep.ru/sn/node/72'}]"
1998bw,50952.36,14.65,,B,,,"1998Natur.395..670G,Sternberg Astronomical Institute Supernova Light Curve Catalogue","[{'name': 'Galama et al. (1998)', 'url': 'https://ui.adsabs.harvard.edu/abs/1998Natur.395..670G/abstract'}, {'name': 'Sternberg Astronomical Institute Supernova Light Curve Catalogue', 'url': 'http://dau.itep.ru/sn/node/72'}]"
1998bw,50952.36,13.71,,R,,,"1998Natur.395..670G,Sternberg Astronomical Institute Supernova Light Curve Catalogue","[{'name': 'Galama et al. (1998)', 'url': 'https://ui.adsabs.harvard.edu/abs/1998Natur.395..670G/abstract'}, {'name': 'Sternberg Astronomical Institute Supernova Light Curve Catalogue', 'url': 'http://dau.itep.ru/sn/node/72'}]"
