Table 6 
Photometry of GRB 130427A


t_0 (day)	t_0 (s)	t_e (s)	t_f (s)	Filter	m (AB)	Flux (muJy)	
					(Aperture)	(PSF)	
0.01	930	80	0.01	i	12.88 +or- 0.02	cdots	
0.01	1009	67	0.01	Z	12.75 +or- 0.02	cdots	
0.01	1012	67	0.01	J	12.69 +or- 0.02	cdots	
0.01	1037	80	0.01	i	12.97 +or- 0.02	cdots	
0.01	1111	67	0.01	H	12.86 +or- 0.02	cdots	
0.01	1114	67	0.01	Y	12.77 +or- 0.02	cdots	
0.01	1141	80	0.01	i	13.12 +or- 0.02	cdots	
0.01	1216	67	0.01	Y	12.88 +or- 0.02	cdots	
0.01	1216	67	0.01	H	13.00 +or- 0.02	cdots	
0.01	1249	80	0.02	i	13.24 +or- 0.02	cdots	
0.02	1323	67	0.02	Z	13.10 +or- 0.02	cdots	
0.02	1326	67	0.02	J	13.01 +or- 0.02	cdots	
0.02	1348	80	0.02	i	13.35 +or- 0.02	cdots	
0.02	1429	67	0.02	J	13.14 +or- 0.02	cdots	
0.02	1432	67	0.02	Z	13.22 +or- 0.02	cdots	
0.02	1458	80	0.02	i	13.42 +or- 0.02	cdots	
0.02	1532	67	0.02	H	13.21 +or- 0.03	cdots	
0.02	1534	67	0.02	Y	13.20 +or- 0.02	cdots	
0.02	1579	80	0.02	i	13.51 +or- 0.02	cdots	
0.02	1653	67	0.02	H	13.26 +or- 0.02	cdots	
0.02	1653	67	0.02	Y	13.28 +or- 0.02	cdots	
0.02	1684	80	0.02	i	13.55 +or- 0.02	cdots	
0.02	1762	67	0.02	Z	13.43 +or- 0.02	cdots	
0.02	1764	67	0.02	J	13.37 +or- 0.02	cdots	
0.02	1778	80	0.02	i	13.61 +or- 0.02	cdots	
0.02	1858	67	0.02	J	13.40 +or- 0.02	cdots	
0.02	1859	67	0.02	Z	13.50 +or- 0.02	cdots	
0.02	1888	80	0.02	i	13.70 +or- 0.02	cdots	
0.02	1962	67	0.02	Y	13.47 +or- 0.02	cdots	
0.02	1964	67	0.02	H	13.43 +or- 0.03	cdots	
0.02	1993	80	0.02	i	13.72 +or- 0.02	cdots	
0.02	2067	67	0.02	Y	13.53 +or- 0.02	cdots	
0.02	2068	67	0.02	H	13.48 +or- 0.03	cdots	
0.02	2121	80	0.03	i	13.87 +or- 0.02	cdots	
0.03	2196	67	0.03	J	13.59 +or- 0.02	cdots	
0.03	2196	67	0.03	Z	13.69 +or- 0.02	cdots	
0.03	2224	80	0.03	i	13.87 +or- 0.02	cdots	
0.03	2298	67	0.03	J	13.64 +or- 0.02	cdots	
0.03	2300	67	0.03	Z	13.73 +or- 0.02	cdots	
0.03	2329	80	0.03	i	13.89 +or- 0.02	cdots	
0.03	2408	67	0.03	H	13.67 +or- 0.02	cdots	
0.03	2408	67	0.03	Y	13.70 +or- 0.02	cdots	
0.03	2422	80	0.03	i	13.98 +or- 0.02	cdots	
0.03	2502	67	0.03	Y	13.76 +or- 0.02	cdots	
0.03	2506	67	0.03	H	13.72 +or- 0.02	cdots	
0.03	2531	80	0.03	i	14.03 +or- 0.02	cdots	
0.03	2605	67	0.03	J	13.81 +or- 0.02	cdots	
0.03	2607	67	0.03	Z	13.88 +or- 0.02	cdots	
0.03	2655	80	0.03	i	14.07 +or- 0.02	cdots	
0.03	2729	67	0.03	J	13.88 +or- 0.02	cdots	
0.03	2732	67	0.03	Z	13.97 +or- 0.02	cdots	
0.03	2780	80	0.03	i	14.15 +or- 0.02	cdots	
0.03	2855	67	0.03	Y	13.89 +or- 0.02	cdots	
0.03	2856	67	0.03	H	13.87 +or- 0.03	cdots	
0.03	2885	80	0.03	i	14.14 +or- 0.02	cdots	
0.03	2960	67	0.04	Y	13.93 +or- 0.02	cdots	
0.03	2961	67	0.04	H	13.85 +or- 0.03	cdots	
0.03	2990	80	0.04	i	14.19 +or- 0.02	cdots	
0.04	3067	67	0.04	Z	14.06 +or- 0.02	cdots	
0.04	3069	67	0.04	J	14.00 +or- 0.02	cdots	
0.04	3108	80	0.04	i	14.25 +or- 0.02	cdots	
0.04	3186	67	0.04	J	14.06 +or- 0.02	cdots	
0.04	3186	67	0.04	Z	14.15 +or- 0.02	cdots	
0.04	3214	80	0.04	i	14.28 +or- 0.02	cdots	
0.04	3292	67	0.04	Y	14.06 +or- 0.02	cdots	
0.04	3293	67	0.04	H	13.99 +or- 0.03	cdots	
0.04	3307	80	0.04	i	14.31 +or- 0.02	cdots	
0.04	3387	67	0.04	H	14.03 +or- 0.03	cdots	
0.04	3389	67	0.04	Y	14.08 +or- 0.02	cdots	
0.04	3418	80	0.04	i	14.32 +or- 0.02	cdots	
0.04	3493	67	0.04	J	14.19 +or- 0.02	cdots	
0.04	3493	67	0.04	Z	14.24 +or- 0.02	cdots	
0.04	3535	80	0.04	i	14.35 +or- 0.02	cdots	
0.04	3610	67	0.04	Z	14.22 +or- 0.02	cdots	
0.04	3611	67	0.04	J	14.17 +or- 0.02	cdots	
0.04	3640	80	0.04	i	14.40 +or- 0.02	cdots	
0.04	3719	67	0.04	H	14.09 +or- 0.03	cdots	
0.04	3721	67	0.04	Y	14.16 +or- 0.02	cdots	
0.04	3736	80	0.04	i	14.41 +or- 0.02	cdots	
0.04	3814	67	0.04	Y	14.21 +or- 0.02	cdots	
0.04	3815	67	0.04	H	14.12 +or- 0.03	cdots	
0.04	3843	80	0.05	i	14.44 +or- 0.02	cdots	
0.05	3918	67	0.05	J	14.28 +or- 0.03	cdots	
0.05	3919	67	0.05	Z	14.33 +or- 0.02	cdots	
0.05	3964	80	0.05	i	14.45 +or- 0.02	cdots	
0.05	4038	67	0.05	J	14.25 +or- 0.02	cdots	
0.05	4038	67	0.05	Z	14.32 +or- 0.02	cdots	
0.05	4145	67	0.05	H	14.23 +or- 0.03	cdots	
0.05	4146	67	0.05	Y	14.26 +or- 0.02	cdots	
0.05	4172	80	0.05	i	14.51 +or- 0.02	cdots	
0.05	4247	67	0.05	H	14.24 +or- 0.03	cdots	
0.05	4248	67	0.05	Y	14.28 +or- 0.02	cdots	
0.05	4295	80	0.05	i	14.55 +or- 0.02	cdots	
