time	dtime	mag	mag_limit	dmag	flux_density	dflux_density	band	time_unit	mag_unit	mag_type	flux_density_unit	time_frame	instrument	extinction_corrected	reference	extinction_correted
16.672014740740742	144046.2074		0		-0.004	0.00111	UMV2	days	AB	apparent	milliJy	observer	UVOT	True	https://ui.adsabs.harvard.edu/abs/2018A%26A...619A..66D/abstract	
20.37690690625	176056.4757		0		−0.0009	0.00111	UM2	days	AB	apparent	milliJy	observer	UVOT	True	https://ui.adsabs.harvard.edu/abs/2018A%26A...619A..66D/abstract	
24.90510844097222	215180.1369		0		−0.0002	0.00107	UM2	days	AB	apparent	milliJy	observer	UVOT	True	https://ui.adsabs.harvard.edu/abs/2018A%26A...619A..66D/abstract	
30.439576982638886	262997.9451		0		−0.0006	0.00106	UM2	days	AB	apparent	milliJy	observer	UVOT	True	https://ui.adsabs.harvard.edu/abs/2018A%26A...619A..66D/abstract	
37.20392742361111	321441.9329		0		−0.0016	0.00113	UM2	days	AB	apparent	milliJy	observer	UVOT	True	https://ui.adsabs.harvard.edu/abs/2018A%26A...619A..66D/abstract	
45.47146685069445	392873.4736		0		−0.0022	0.00128	UM2	days	AB	apparent	milliJy	observer	UVOT	True	https://ui.adsabs.harvard.edu/abs/2018A%26A...619A..66D/abstract	
0.0552386793981481	77.2622	18.679	0	0.108	0.01163	0.15729	UW2	days	AB	apparent	milliJy	observer	UVOT	True	https://ui.adsabs.harvard.edu/abs/2018A%26A...619A..66D/abstract	
0.0675139421296296	83.3205	18.685	0	0.109	0.01167	0.15678	UW2	days	AB	apparent	milliJy	observer	UVOT	True	https://ui.adsabs.harvard.edu/abs/2018A%26A...619A..66D/abstract	
0.2250580335648148	944.5014	19.341	0	0.094	0.00553	0.08311	UW2	days	AB	apparent	milliJy	observer	UVOT	True	https://ui.adsabs.harvard.edu/abs/2018A%26A...619A..66D/abstract	
0.3361978020833333	904.749	20.249	0	0.974	0.01708	0.08006	UW2	days	AB	apparent	milliJy	observer	UVOT	True	https://ui.adsabs.harvard.edu/abs/2018A%26A...619A..66D/abstract	
