date	obs_wavelength	flux	redshift	instrument	date_unit	wavelength_unit	flux_unit	time	time_unit	time_frame	dtime	rest_wavelength
2017-12-07T06:05:00	3700.02660036085	4.400100e-17	0.0368	GTC-OSIRIS-HETH	utc	angstroms	uncalibrated	1.9474189814814813	days	observer	NaN	3568.0102221416105
2017-12-07T06:05:00	3702.09803271291	4.446640e-17	0.0368	GTC-OSIRIS-HETH	utc	angstroms	uncalibrated	1.9474189814814813	days	observer	NaN	3570.007746106953
2017-12-07T06:05:00	3704.16946506498	3.187520e-17	0.0368	GTC-OSIRIS-HETH	utc	angstroms	uncalibrated	1.9474189814814813	days	observer	NaN	3572.005270072305
2017-12-07T06:05:00	3706.24089741705	5.470932e-17	0.0368	GTC-OSIRIS-HETH	utc	angstroms	uncalibrated	1.9474189814814813	days	observer	NaN	3574.0027940376567
2017-12-07T06:05:00	3708.31232976911	5.289207e-17	0.0368	GTC-OSIRIS-HETH	utc	angstroms	uncalibrated	1.9474189814814813	days	observer	NaN	3576.0003180029994
2017-12-07T06:05:00	3710.38376212118	3.125045e-17	0.0368	GTC-OSIRIS-HETH	utc	angstroms	uncalibrated	1.9474189814814813	days	observer	NaN	3577.997841968351
2017-12-07T06:05:00	3712.45519447324	4.195903e-17	0.0368	GTC-OSIRIS-HETH	utc	angstroms	uncalibrated	1.9474189814814813	days	observer	NaN	3579.995365933694
2017-12-07T06:05:00	3714.52662682531	3.190145e-17	0.0368	GTC-OSIRIS-HETH	utc	angstroms	uncalibrated	1.9474189814814813	days	observer	NaN	3581.9928898990456
2017-12-07T06:05:00	3716.59805917738	6.315620e-17	0.0368	GTC-OSIRIS-HETH	utc	angstroms	uncalibrated	1.9474189814814813	days	observer	NaN	3583.9904138643974
2017-12-07T06:05:00	3718.66949152944	5.173591e-17	0.0368	GTC-OSIRIS-HETH	utc	angstroms	uncalibrated	1.9474189814814813	days	observer	NaN	3585.98793782974
2017-12-07T06:05:00	3720.74092388151	1.780415e-17	0.0368	GTC-OSIRIS-HETH	utc	angstroms	uncalibrated	1.9474189814814813	days	observer	NaN	3587.985461795092
2017-12-07T06:05:00	3722.81235623357	5.138248e-17	0.0368	GTC-OSIRIS-HETH	utc	angstroms	uncalibrated	1.9474189814814813	days	observer	NaN	3589.982985760434
2017-12-07T06:05:00	3724.88378858564	8.237937e-17	0.0368	GTC-OSIRIS-HETH	utc	angstroms	uncalibrated	1.9474189814814813	days	observer	NaN	3591.9805097257863
2017-12-07T06:05:00	3726.95522093771	2.341738e-17	0.0368	GTC-OSIRIS-HETH	utc	angstroms	uncalibrated	1.9474189814814813	days	observer	NaN	3593.978033691138
2017-12-07T06:05:00	3729.02665328977	5.141260e-17	0.0368	GTC-OSIRIS-HETH	utc	angstroms	uncalibrated	1.9474189814814813	days	observer	NaN	3595.9755576564803
2017-12-07T06:05:00	3731.09808564184	2.125990e-17	0.0368	GTC-OSIRIS-HETH	utc	angstroms	uncalibrated	1.9474189814814813	days	observer	NaN	3597.9730816218325
