time	dtime	mag	mag_limit	dmag	flux_density	dflux_density	band	time_unit	mag_unit	mag_type	flux_density_unit	time_frame
181545.7048	18154.5705	20.157	0	1.017	0.03118	0.01896	B	seconds	AB	apparent	milliJy	observer
221889.1948	22188.9195	20.025	0	0.378	0.03521	0.01034	B	seconds	AB	apparent	milliJy	observer
271197.9047	27119.7905	19.895	0	0.378	0.03968	0.01166	B	seconds	AB	apparent	milliJy	observer
331464.1058	33146.4106	19.9	0	0.355	0.03949	0.01101	B	seconds	AB	apparent	milliJy	observer
405122.7959	40512.2796	19.681	0	2.19	0.04833	0.0419	B	seconds	AB	apparent	milliJy	observer
605183.4359	60518.3436	19.32	0	0.193	0.06739	0.011	B	seconds	AB	apparent	milliJy	observer
739668.6439	73966.8644	18.832	0	0.115	0.10566	0.01064	B	seconds	AB	apparent	milliJy	observer
904039.4536	90403.9454	18.686	0	0.095	0.12084	0.01016	B	seconds	AB	apparent	milliJy	observer
1104937.11	110493.711	18.769	0	0.086	0.11195	0.00856	B	seconds	AB	apparent	milliJy	observer
1350478.69	135047.869	19.069	0	0.107	0.08491	0.00799	B	seconds	AB	apparent	milliJy	observer
1650585.0655	165058.5066	19.482	0	0.181	0.05805	0.00893	B	seconds	AB	apparent	milliJy	observer
2017381.7467	201738.1747	19.913	0	0.221	0.03905	0.0072	B	seconds	AB	apparent	milliJy	observer
2465688.8016	246568.8802	20.497	0	0.401	0.02279	0.00704	B	seconds	AB	apparent	milliJy	observer
3013619.6463	301361.9646	20.597	0	0.551	0.0208	0.00828	B	seconds	AB	apparent	milliJy	observer
3683312.9011	368331.2901	21.274	0	1.373	0.01115	0.008	B	seconds	AB	apparent	milliJy	observer
346.7466	34.6747	19.12	0	0.272	0.08196	0.01813	U	seconds	AB	apparent	milliJy	observer
5755.9182	575.5918	18.746	0	0.109	0.1157	0.011	U	seconds	AB	apparent	milliJy	observer
15698.7652	1569.8765	18.776	0	0.073	0.11258	0.0073	U	seconds	AB	apparent	milliJy	observer
35032.102	3503.2102	18.683	0	0.124	0.12263	0.01324	U	seconds	AB	apparent	milliJy	observer
42817.0136	4281.7014	19.174	0	0.247	0.07801	0.01589	U	seconds	AB	apparent	milliJy	observer
52331.9055	5233.1905	18.865	0	0.141	0.10367	0.01261	U	seconds	AB	apparent	milliJy	observer
63961.2178	6396.1218	19.005	0	0.146	0.09114	0.01144	U	seconds	AB	apparent	milliJy	observer
78174.8217	7817.4822	19.818	0	0.3	0.04309	0.01041	U	seconds	AB	apparent	milliJy	observer
95547.0043	9554.7004	19.607	0	0.279	0.05234	0.01188	U	seconds	AB	apparent	milliJy	observer
116779.672	11677.9672	19.962	0	0.295	0.03775	0.00897	U	seconds	AB	apparent	milliJy	observer
142730.7102	14273.071	20.637	0	0.713	0.02026	0.00976	U	seconds	AB	apparent	milliJy	observer
213215.0115	21321.5012	21.026	0	0.452	0.01416	0.00483	U	seconds	AB	apparent	milliJy	observer
260596.1252	26059.6125	20.563	0	0.307	0.02171	0.00534	U	seconds	AB	apparent	milliJy	observer
318506.3752	31850.6375	20.709	0	0.408	0.01897	0.00595	U	seconds	AB	apparent	milliJy	observer
389285.5697	38928.557	21.431	0	1.812	0.00976	0.00792	U	seconds	AB	apparent	milliJy	observer
581525.3573	58152.5357	21.527	0	1.127	0.00893	0.00577	U	seconds	AB	apparent	milliJy	observer
710753.2144	71075.3214	21.198	0	0.481	0.0121	0.00433	U	seconds	AB	apparent	milliJy	observer
868698.3732	86869.8373	21.048	0	0.452	0.01388	0.00473	U	seconds	AB	apparent	milliJy	observer
1061742.4561	106174.2456	21.13	0	0.375	0.01287	0.00376	U	seconds	AB	apparent	milliJy	observer
1297685.2241	129768.5224	21.254	0	0.422	0.01148	0.0037	U	seconds	AB	apparent	milliJy	observer
1586059.7184	158605.9718	21.874	0	0.92	0.00648	0.0037	U	seconds	AB	apparent	milliJy	observer
1938517.4336	193851.7434	21.832	0	0.782	0.00674	0.00346	U	seconds	AB	apparent	milliJy	observer
2369299.0855	236929.9086	21.955	0	0.885	0.00602	0.00336	U	seconds	AB	apparent	milliJy	observer
2895809.9934	289580.9993	21.747	0	0.715	0.00729	0.00352	U	seconds	AB	apparent	milliJy	observer
3539323.3253	353932.3325	22.329	0	2.665	0.00427	0.0039	U	seconds	AB	apparent	milliJy	observer
4325839.6198	432583.962	21.063	0	0.715	0.01369	0.0066	U	seconds	AB	apparent	milliJy	observer
