time	mag	mag_limit	dmag	instrument	band	mag_unit	mag_type	time_unit	extinction_correted	dtime	time_frame
0.0016	18.1	0	0.93	UVOT	V	AB	apparent	days	False	NaN	observer
0.1562	18.67	0	0.12	UVOT	V	AB	apparent	days	False	NaN	observer
0.567	18.71	0	0.36	UVOT	V	AB	apparent	days	False	NaN	observer
1.2195	18.65	0	0.19	UVOT	V	AB	apparent	days	False	NaN	observer
2.4452	18.57	0	0.17	UVOT	V	AB	apparent	days	False	NaN	observer
2.9067	18.85	0	0.2	UVOT	V	AB	apparent	days	False	NaN	observer
3.9711	18.81	0	0.21	UVOT	V	AB	apparent	days	False	NaN	observer
7.3596	17.93	0	0.11	UVOT	V	AB	apparent	days	False	NaN	observer
8.1015	17.84	0	0.13	UVOT	V	AB	apparent	days	False	NaN	observer
9.0221	17.63	0	0.11	UVOT	V	AB	apparent	days	False	NaN	observer
10.2156	17.56	0	0.1	UVOT	V	AB	apparent	days	False	NaN	observer
11.2158	17.58	0	0.08	UVOT	V	AB	apparent	days	False	NaN	observer
12.1122	17.6	0	0.09	UVOT	V	AB	apparent	days	False	NaN	observer
13.0014	17.62	0	0.09	UVOT	V	AB	apparent	days	False	NaN	observer
14.0687	17.7	0	0.09	UVOT	V	AB	apparent	days	False	NaN	observer
15.2356	17.59	0	0.09	UVOT	V	AB	apparent	days	False	NaN	observer
16.0959	17.72	0	0.09	UVOT	V	AB	apparent	days	False	NaN	observer
16.8563	17.71	0	0.09	UVOT	V	AB	apparent	days	False	NaN	observer
18.0923	18.22	0	0.16	UVOT	V	AB	apparent	days	False	NaN	observer
19.087	18.14	0	0.12	UVOT	V	AB	apparent	days	False	NaN	observer
20.2463	18.06	0	0.16	UVOT	V	AB	apparent	days	False	NaN	observer
21.4044	18.2	0	0.11	UVOT	V	AB	apparent	days	False	NaN	observer
22.4368	18.25	0	0.13	UVOT	V	AB	apparent	days	False	NaN	observer
23.1378	18.52	0	0.15	UVOT	V	AB	apparent	days	False	NaN	observer
24.4657	18.53	0	0.15	UVOT	V	AB	apparent	days	False	NaN	observer
25.1691	18.53	0	0.14	UVOT	V	AB	apparent	days	False	NaN	observer
26.1336	18.96	0	0.32	UVOT	V	AB	apparent	days	False	NaN	observer
0.0429	18.98	0	0.16	UVOT	B	AB	apparent	days	False	NaN	observer
0.1899	18.86	0	0.07	UVOT	B	AB	apparent	days	False	NaN	observer
0.542	18.74	0	0.11	UVOT	B	AB	apparent	days	False	NaN	observer
1.1784	19.13	0	0.13	UVOT	B	AB	apparent	days	False	NaN	observer
2.4406	19.38	0	0.16	UVOT	B	AB	apparent	days	False	NaN	observer
2.9026	19.44	0	0.16	UVOT	B	AB	apparent	days	False	NaN	observer
3.9695	19.34	0	0.16	UVOT	B	AB	apparent	days	False	NaN	observer
7.354	19.07	0	0.12	UVOT	B	AB	apparent	days	False	NaN	observer
8.0987	18.72	0	0.13	UVOT	B	AB	apparent	days	False	NaN	observer
9.0176	18.53	0	0.1	UVOT	B	AB	apparent	days	False	NaN	observer
10.2108	18.47	0	0.1	UVOT	B	AB	apparent	days	False	NaN	observer
11.213	18.56	0	0.08	UVOT	B	AB	apparent	days	False	NaN	observer
12.108	18.59	0	0.09	UVOT	B	AB	apparent	days	False	NaN	observer
12.9971	18.69	0	0.1	UVOT	B	AB	apparent	days	False	NaN	observer
14.0644	18.6	0	0.09	UVOT	B	AB	apparent	days	False	NaN	observer
15.2334	19.02	0	0.13	UVOT	B	AB	apparent	days	False	NaN	observer
