date	band	freq	time	flux_density	flux_density_limit	dflux_density	date_unit	freq_unit	time_unit	flux_density_unit	dtime	time_frame	instrument	reference	polarisation	position_angle
2018-Jun-10.68	5	1255.0	187.37000	3.07	0	0.11	yyyy-month-deciday	MHz	days	milliJy	NaN	observer	uGMRT	https://ui.adsabs.harvard.edu/abs/2021ApJ...907...60M/abstract	NaN	NaN
2018-Jun-11.42	4	745.0	188.11000	2.46	0	0.49	yyyy-month-deciday	MHz	days	milliJy	NaN	observer	uGMRT	https://ui.adsabs.harvard.edu/abs/2021ApJ...907...60M/abstract	NaN	NaN
2018-Jul-13.47	5	1250.0	220.16000	3.55	0	0.12	yyyy-month-deciday	MHz	days	milliJy	NaN	observer	uGMRT	https://ui.adsabs.harvard.edu/abs/2021ApJ...907...60M/abstract	NaN	NaN
2018-Jul-15.35	4	610.0	222.04000	3.13	0	0.18	yyyy-month-deciday	MHz	days	milliJy	NaN	observer	uGMRT	https://ui.adsabs.harvard.edu/abs/2021ApJ...907...60M/abstract	NaN	NaN
2018-Jul-23.35	3	402.0	230.04000	2.3	0	0.22	yyyy-month-deciday	MHz	days	milliJy	NaN	observer	uGMRT	https://ui.adsabs.harvard.edu/abs/2021ApJ...907...60M/abstract	NaN	NaN
2018-Jul-26.57	5	1265.0	233.26000	2.6	0	0.08	yyyy-month-deciday	MHz	days	milliJy	NaN	observer	uGMRT	https://ui.adsabs.harvard.edu/abs/2021ApJ...907...60M/abstract	NaN	NaN
2018-Jul-28.35	4	750.0	235.00000	2.92	0	0.31	yyyy-month-deciday	MHz	days	milliJy	NaN	observer	uGMRT	https://ui.adsabs.harvard.edu/abs/2021ApJ...907...60M/abstract	NaN	NaN
2018-Aug-24.32	5	1265.0	262.01000	3.32	0	0.06	yyyy-month-deciday	MHz	days	milliJy	NaN	observer	uGMRT	https://ui.adsabs.harvard.edu/abs/2021ApJ...907...60M/abstract	NaN	NaN
2018-Aug-25.22	4	607.0	262.91000	1.06	0	0.16	yyyy-month-deciday	MHz	days	milliJy	NaN	observer	uGMRT	https://ui.adsabs.harvard.edu/abs/2021ApJ...907...60M/abstract	NaN	NaN
2018-Sep-21.35	5	1265.0	290.04000	3.03	0	0.1	yyyy-month-deciday	MHz	days	milliJy	NaN	observer	uGMRT	https://ui.adsabs.harvard.edu/abs/2021ApJ...907...60M/abstract	NaN	NaN
2018-Sep-23.16	3	402.0	291.85000	2.01	0	0.15	yyyy-month-deciday	MHz	days	milliJy	NaN	observer	uGMRT	https://ui.adsabs.harvard.edu/abs/2021ApJ...907...60M/abstract	NaN	NaN
2018-Oct-20.28	5	1250.0	319.00000	3.18	0	0.13	yyyy-month-deciday	MHz	days	milliJy	NaN	observer	uGMRT	https://ui.adsabs.harvard.edu/abs/2021ApJ...907...60M/abstract	NaN	NaN
2018-Oct-26.09	3	400.0	324.78000	1.77	0	0.27	yyyy-month-deciday	MHz	days	milliJy	NaN	observer	uGMRT	https://ui.adsabs.harvard.edu/abs/2021ApJ...907...60M/abstract	NaN	NaN
2018-Oct-26.33	4	607.0	325.02000	2.61	0	0.26	yyyy-month-deciday	MHz	days	milliJy	NaN	observer	uGMRT	https://ui.adsabs.harvard.edu/abs/2021ApJ...907...60M/abstract	NaN	NaN
2018-Dec-21.88	3	402.0	381.57000	1.61	0	0.31	yyyy-month-deciday	MHz	days	milliJy	NaN	observer	uGMRT	https://ui.adsabs.harvard.edu/abs/2021ApJ...907...60M/abstract	NaN	NaN
2018-Dec-22.02	5	1255.0	381.71000	2.83	0	0.06	yyyy-month-deciday	MHz	days	milliJy	NaN	observer	uGMRT	https://ui.adsabs.harvard.edu/abs/2021ApJ...907...60M/abstract	NaN	NaN
2018-Dec-22.14	4	610.0	381.83000	1.52	0	0.17	yyyy-month-deciday	MHz	days	milliJy	NaN	observer	uGMRT	https://ui.adsabs.harvard.edu/abs/2021ApJ...907...60M/abstract	NaN	NaN
2019-Feb-26.98	4	610.0	448.67000	1.52	0	0.21	yyyy-month-deciday	MHz	days	milliJy	NaN	observer	uGMRT	https://ui.adsabs.harvard.edu/abs/2021ApJ...907...60M/abstract	NaN	NaN
2019-Feb-26.70	3	402.0	448.39000	1.05	0	0.16	yyyy-month-deciday	MHz	days	milliJy	NaN	observer	uGMRT	https://ui.adsabs.harvard.edu/abs/2021ApJ...907...60M/abstract	NaN	NaN
2019-Feb-26.87	5	1250.0	448.56000	1.87	0	0.06	yyyy-month-deciday	MHz	days	milliJy	NaN	observer	uGMRT	https://ui.adsabs.harvard.edu/abs/2021ApJ...907...60M/abstract	NaN	NaN
2019-May-13.49	5	1250.0	524.18000	1.74	0	0.04	yyyy-month-deciday	MHz	days	milliJy	NaN	observer	uGMRT	https://ui.adsabs.harvard.edu/abs/2021ApJ...907...60M/abstract	NaN	NaN
2019-May-13.62	3	402.0	524.31000	1.43	0	0.26	yyyy-month-deciday	MHz	days	milliJy	NaN	observer	uGMRT	https://ui.adsabs.harvard.edu/abs/2021ApJ...907...60M/abstract	NaN	NaN
2019-May-13.77	4	607.0	524.46000	2.09	0	0.18	yyyy-month-deciday	MHz	days	milliJy	NaN	observer	uGMRT	https://ui.adsabs.harvard.edu/abs/2021ApJ...907...60M/abstract	NaN	NaN
2019-Sep-10.16	5	1250.0	643.85000	1.74	0	0.03	yyyy-month-deciday	MHz	days	milliJy	NaN	observer	uGMRT	https://ui.adsabs.harvard.edu/abs/2021ApJ...907...60M/abstract	NaN	NaN
2019-Sep-10.31	3	402.0	644.00000	1.67	0	0.21	yyyy-month-deciday	MHz	days	milliJy	NaN	observer	uGMRT	https://ui.adsabs.harvard.edu/abs/2021ApJ...907...60M/abstract	NaN	NaN
2019-Sep-10.43	4	750.0	644.12000	1.93	0	0.1	yyyy-month-deciday	MHz	days	milliJy	NaN	observer	uGMRT	https://ui.adsabs.harvard.edu/abs/2021ApJ...907...60M/abstract	NaN	NaN
2019-Dec-9.91	4	647.0	734.60000	1.38	0	0.12	yyyy-month-deciday	MHz	days	milliJy	NaN	observer	uGMRT	https://ui.adsabs.harvard.edu/abs/2021ApJ...907...60M/abstract	NaN	NaN
