Table 1 
Flux Densities of GRB 171205A


Date of Observation	Band	Frequency	Days since Explosion	Flux Density^a	Map rms	
		(MHz)		(mJy)	(muJy/beam)	
2017 Dec 10.10	5	1255	4.79	< 0.07	24	
2017 Dec 11.02	4	648	5.71	<0.06	20	
2017 Dec 19.91	5	1265	14.60	0.64 +or- 0.05	17	
2017 Dec 26.90	5	1265	21.59	1.00 +or- 0.07	17	
2017 Dec 28.91	4	607	23.60	<0.39	130	
2018 Jan 16.94	5	1265	42.63	1.75 +or- 0.05	17	
2018 Feb 12.85	5	1370	68.54	3.04 +or- 0.09	41	
2018 Feb 17.85	4	607	73.54	1.37 +or- 0.15	115	
2018 Mar 20.68	5	1352	105.37	5.79 +or- 0.08	34	
2018 Jun 8.44	3	402	185.13	2.94 +or- 0.41	106	
2018 Jun 10.68	5	1255	187.37	3.07 +or- 0.11	26	
2018 Jun 11.42	4	745	188.11	2.46 +or- 0.49	141	
2018 Jul 13.47	5	1250	220.16	3.55 +or- 0.12	17	
2018 Jul 15.35	4	610	222.04	3.13 +or- 0.18	66	
2018 Jul 23.35	3	402	230.04	2.30 +or- 0.22	64	
2018 Jul 26.57	5	1265	233.26	2.60 +or- 0.08	26	
2018 Jul 28.35	4	750	235	2.92 +or- 0.31	62	
2018 Aug 24.32	5	1265	262.01	3.32 +or- 0.06	33	
2018 Aug 25.22	4	607	262.91	1.06 +or- 0.16	81	
2018 Sep 21.35	5	1265	290.04	3.03 +or- 0.10	59	
2018 Sep 23.16	3	402	291.85	2.01 +or- 0.15	63	
2018 Oct 20.28	5	1250	319	3.18 +or- 0.13	52	
2018 Oct 26.09	3	400	324.78	1.77 +or- 0.27	131	
2018 Oct 26.33	4	607	325.02	2.61 +or- 0.26	143	
2018 Dec 21.88	3	402	381.57	1.61 +or- 0.31	49	
2018 Dec 22.02	5	1255	381.71	2.83 +or- 0.06	21	
2018 Dec 22.14	4	610	381.83	1.52 +or- 0.17	52	
2019 Feb 26.98	4	610	448.67	1.52 +or- 0.21	79	
2019 Feb 26.70	3	402	448.39	1.05 +or- 0.16	40	
2019 Feb 26.87	5	1250	448.56	1.87 +or- 0.06	17	
2019 May 13.49	5	1250	524.18	1.74 +or- 0.04	17	
2019 May 13.62	3	402	524.31	1.43 +or- 0.26	79	
2019 May 13.77	4	607	524.46	2.09 +or- 0.18	81	
2019 Sep 10.16	5	1250	643.85	1.74 +or- 0.03	19	
2019 Sep 10.31	3	402	644.00	1.67 +or- 0.21	50	
2019 Sep 10.43	4	750	644.12	1.93 +or- 0.10	30	
2019 Dec 9.91	4	647	734.60	1.38 +or- 0.12	37	
2019 Dec 10.02	5	1265	734.71	1.71 +or- 0.04	20	
2019 Dec 10.19	3	402	734.88	1.30 +or- 0.17	59	
2020 Jun 26.37	4	648	934.06	1.29 +or- 0.11	20	
2020 Jun 26.49	5	1255	934.18	1.23 +or- 0.04	21	
2020 Jun 29.44	3	402	937.13	1.12 +or- 0.16	55	
Note.
^a The uncertainties reflect the statistical errors.
