event,time,magnitude,e_magnitude,band
SN2017iuk,58118.5947180668,18.3346,0.0229574,i
SN2017iuk,58118.60694497,18.3759,0.0214377,i
SN2017iuk,58118.6191835729,18.365,0.0248788,i
SN2017iuk,58118.6314207366,18.3978,0.0215262,i
SN2017iuk,58119.39486,18.65,0.0,G
SN2017iuk,58119.46888,18.65,0.0,G
SN2017iuk,58139.72207,19.58,0.0,G
SN2017iuk,58139.89824,19.62,0.0,G
