event,time,magnitude,e_magnitude,band
SN2006aj,53784.1506,16.878,,V
SN2006aj,53784.1519,18.926,,V
SN2006aj,53784.1543,19.31,0.242,B
SN2006aj,53784.1559,17.868,,UVW2
SN2006aj,53784.1562,17.692,,V
SN2006aj,53784.1565,17.42,,UVM2
SN2006aj,53784.1567,17.855,,UVW1
SN2006aj,53784.157,17.91,0.289,U
SN2006aj,53784.1573,18.733,,B
SN2006aj,53784.1578,17.897,,UVW2
SN2006aj,53784.1581,17.72,,V
SN2006aj,53784.1584,17.448,,UVM2
SN2006aj,53784.1597,19.326,0.241,B
SN2006aj,53784.1621,18.616,0.268,V
SN2006aj,53784.1634,17.421,,UVM2
SN2006aj,53784.1637,17.883,,UVW1
SN2006aj,53784.164,17.533,0.225,U
SN2006aj,53784.1643,18.801,,B
SN2006aj,53784.1648,17.397,0.298,UVW2
SN2006aj,53784.1651,17.349,,V
SN2006aj,53784.1654,17.005,0.298,UVM2
SN2006aj,53784.1657,17.486,0.292,UVW1
SN2006aj,53784.1659,18.097,0.322,U
SN2006aj,53784.1662,17.747,,B
SN2006aj,53784.1668,17.119,0.255,UVW2
SN2006aj,53784.1671,17.409,,V
SN2006aj,53784.1673,17.012,0.3,UVM2
SN2006aj,53784.1676,17.878,,UVW1
SN2006aj,53784.1679,17.746,0.254,U
SN2006aj,53784.1682,17.611,,B
SN2006aj,53784.1687,17.225,0.271,UVW2
SN2006aj,53784.169,17.441,,V
SN2006aj,53784.1693,16.808,0.279,UVM2
SN2006aj,53784.1696,17.217,0.261,UVW1
SN2006aj,53784.1698,17.389,0.218,U
SN2006aj,53784.1701,17.552,,B
SN2006aj,53784.1707,17.162,0.263,UVW2
SN2006aj,53784.1709,17.313,,V
SN2006aj,53784.1712,17.32,0.355,UVM2
SN2006aj,53784.1715,17.194,0.259,UVW1
SN2006aj,53784.1718,17.705,0.252,U
SN2006aj,53784.1721,17.719,,B
SN2006aj,53784.1726,16.727,0.217,UVW2
SN2006aj,53784.1729,17.186,,V
SN2006aj,53784.1732,17.308,0.343,UVM2
SN2006aj,53784.1734,16.83,0.215,UVW1
SN2006aj,53784.1737,17.294,0.199,U
SN2006aj,53784.174,17.381,,B
SN2006aj,53784.1746,17.27,0.276,UVW2
SN2006aj,53784.1748,17.213,,V
SN2006aj,53784.1751,17.456,,UVM2
SN2006aj,53784.1754,17.412,0.287,UVW1
SN2006aj,53784.1757,17.25,0.198,U
SN2006aj,53784.1759,17.307,,B
SN2006aj,53784.1765,16.965,0.243,UVW2
SN2006aj,53784.1768,17.348,,V
SN2006aj,53784.177,17.18,0.331,UVM2
SN2006aj,53784.1773,17.71,0.333,UVW1
SN2006aj,53784.1776,17.788,0.265,U
SN2006aj,53784.1779,17.541,,B
SN2006aj,53784.1784,17.186,0.269,UVW2
SN2006aj,53784.1787,17.169,,V
SN2006aj,53784.179,16.848,0.28,UVM2
SN2006aj,53784.1793,16.811,0.215,UVW1
SN2006aj,53784.1795,17.311,0.22,U
SN2006aj,53784.1798,17.617,,B
SN2006aj,53784.1804,16.388,0.212,UVW2
SN2006aj,53784.1806,16.93,,V
SN2006aj,53784.219,16.646,0.097,UVM2
SN2006aj,53784.2214,16.682,0.083,UVW1
SN2006aj,53784.2237,17.119,0.085,U
SN2006aj,53784.2261,18.236,0.147,B
SN2006aj,53784.2308,16.246,0.086,UVW2
SN2006aj,53784.2332,18.42,0.262,V
SN2006aj,53784.2356,16.518,0.099,UVM2
SN2006aj,53784.2379,16.497,0.079,UVW1
SN2006aj,53784.2403,16.976,0.073,U
SN2006aj,53784.2427,18.357,0.099,B
SN2006aj,53784.2472,16.099,0.096,UVW2
SN2006aj,53784.2856,18.027,0.159,V
SN2006aj,53784.2882,18.07,0.165,V
SN2006aj,53784.2909,17.881,0.137,V
SN2006aj,53784.2935,18.178,0.157,V
SN2006aj,53784.2962,16.12,0.081,UVM2
SN2006aj,53784.2988,16.122,0.081,UVM2
SN2006aj,53784.3014,16.125,0.081,UVM2
SN2006aj,53784.3041,16.106,0.081,UVM2
SN2006aj,53784.3067,16.151,0.071,UVW1
SN2006aj,53784.3094,16.114,0.071,UVW1
SN2006aj,53784.312,16.148,0.071,UVW1
SN2006aj,53784.3142,16.226,0.079,UVW1
SN2006aj,53784.3525,15.814,0.08,UVW2
SN2006aj,53784.3552,15.755,0.079,UVW2
SN2006aj,53784.3578,15.666,0.078,UVW2
SN2006aj,53784.3605,15.756,0.079,UVW2
SN2006aj,53784.3631,17.933,0.133,V
SN2006aj,53784.3658,17.932,0.133,V
SN2006aj,53784.3684,17.893,0.131,V
SN2006aj,53784.371,17.696,0.115,V
SN2006aj,53784.3737,15.971,0.078,UVM2
SN2006aj,53784.3763,15.976,0.078,UVM2
SN2006aj,53784.379,16.027,0.079,UVM2
SN2006aj,53784.3812,15.982,0.086,UVM2
SN2006aj,53784.4195,17.683,0.078,B
SN2006aj,53784.4221,17.812,0.079,B
SN2006aj,53784.4248,17.845,0.077,B
SN2006aj,53784.4274,17.675,0.071,B
SN2006aj,53784.4406,15.66,0.078,UVW2
SN2006aj,53784.4433,15.65,0.078,UVW2
SN2006aj,53784.4459,15.603,0.078,UVW2
SN2006aj,53784.4481,15.63,0.082,UVW2
SN2006aj,53784.4864,16.381,0.065,U
SN2006aj,53784.4891,16.337,0.063,U
SN2006aj,53784.4917,16.393,0.064,U
SN2006aj,53784.4944,16.314,0.062,U
SN2006aj,53784.497,17.665,0.071,B
