date	time	instrument	band	mag	mag_limit	dmag	seeing	integration	date_unit	time_unit	mag_unit	dtime	reference	time_frame	mag_type
2003-Feb-28.02	78.54876	VLT Yepun	R	25.13	0	0.12	0.8	75	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2003A%26A...406L..33D/abstract	observer	NaN
2003-Mar-9.01	87.53876	VLT Yepun	R	25.35	0	0.17	1.25	50	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2003A%26A...406L..33D/abstract	observer	NaN
52648.0	28.52877	NaN	R	24.5	0	NaN	NaN	NaN	MJD	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2012A&A...538A.120L/abstract	observer	apparent
NaN	0.0015	KAIT	R	14.671	0	0.011	NaN	NaN	NaN	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...586L...9L/abstract	NaN	NaN
NaN	0.00204	KAIT	R	15.136	0	0.011	NaN	NaN	NaN	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...586L...9L/abstract	NaN	NaN
NaN	0.00256	KAIT	R	15.54	0	0.011	NaN	NaN	NaN	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...586L...9L/abstract	NaN	NaN
NaN	0.00311	KAIT	R	15.939	0	0.016	NaN	NaN	NaN	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...586L...9L/abstract	NaN	NaN
NaN	0.00335	KAIT	R	16.038	0	0.018	NaN	NaN	NaN	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...586L...9L/abstract	NaN	NaN
NaN	0.00359	KAIT	R	16.117	0	0.019	NaN	NaN	NaN	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...586L...9L/abstract	NaN	NaN
NaN	0.00404	KAIT	R	16.35	0	0.031	NaN	NaN	NaN	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...586L...9L/abstract	NaN	NaN
NaN	0.00429	KAIT	R	16.449	0	0.024	NaN	NaN	NaN	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...586L...9L/abstract	NaN	NaN
NaN	0.00453	KAIT	R	16.555	0	0.05	NaN	NaN	NaN	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...586L...9L/abstract	NaN	NaN
NaN	0.00498	KAIT	R	16.713	0	0.034	NaN	NaN	NaN	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...586L...9L/abstract	NaN	NaN
NaN	0.00522	KAIT	R	16.787	0	0.028	NaN	NaN	NaN	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...586L...9L/abstract	NaN	NaN
NaN	0.00546	KAIT	R	16.925	0	0.043	NaN	NaN	NaN	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...586L...9L/abstract	NaN	NaN
NaN	0.00591	KAIT	R	16.946	0	0.033	NaN	NaN	NaN	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...586L...9L/abstract	NaN	NaN
NaN	0.00616	KAIT	R	16.991	0	0.033	NaN	NaN	NaN	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...586L...9L/abstract	NaN	NaN
NaN	0.00639	KAIT	R	17.066	0	0.047	NaN	NaN	NaN	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...586L...9L/abstract	NaN	NaN
NaN	0.00685	KAIT	R	17.154	0	0.049	NaN	NaN	NaN	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...586L...9L/abstract	NaN	NaN
NaN	0.0071	KAIT	R	17.234	0	0.042	NaN	NaN	NaN	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...586L...9L/abstract	NaN	NaN
NaN	0.00733	KAIT	R	17.248	0	0.038	NaN	NaN	NaN	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...586L...9L/abstract	NaN	NaN
NaN	0.00805	KAIT	R	17.348	0	0.022	NaN	NaN	NaN	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...586L...9L/abstract	NaN	NaN
NaN	0.00899	KAIT	R	17.562	0	0.024	NaN	NaN	NaN	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...586L...9L/abstract	NaN	NaN
NaN	0.01059	KAIT	R	17.76	0	0.021	NaN	NaN	NaN	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...586L...9L/abstract	NaN	NaN
NaN	0.0138	KAIT	R	18.081	0	0.016	NaN	NaN	NaN	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...586L...9L/abstract	NaN	NaN
NaN	0.01875	KAIT	R	18.462	0	0.026	NaN	NaN	NaN	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...586L...9L/abstract	NaN	NaN
NaN	0.02507	KAIT	R	18.828	0	0.178	NaN	NaN	NaN	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...586L...9L/abstract	NaN	NaN
