time	mag	mag_limit	dmag	band	time_frame	time_unit	mag_type	mag_unit	extinction_corrected	instrument	dtime
17.343	23.54	0	0.21	z'	observer	days	apparent	AB	False	GROND	NaN
17.343	22.24	-1	NaN	J	observer	days	apparent	AB	False	GROND	NaN
17.343	21.32	-1	NaN	H	observer	days	apparent	AB	False	GROND	NaN
17.343	20.51	-1	NaN	Ks	observer	days	apparent	AB	False	GROND	NaN
21.357	25.36	-1	NaN	g'	observer	days	apparent	AB	False	GROND	NaN
21.357	24.72	0	0.24	r'	observer	days	apparent	AB	False	GROND	NaN
21.357	23.91	0	0.18	i'	observer	days	apparent	AB	False	GROND	NaN
21.357	23.45	0	0.25	z'	observer	days	apparent	AB	False	GROND	NaN
21.357	22.11	-1	NaN	J	observer	days	apparent	AB	False	GROND	NaN
21.357	21.35	-1	NaN	H	observer	days	apparent	AB	False	GROND	NaN
21.357	20.29	-1	NaN	Ks	observer	days	apparent	AB	False	GROND	NaN
22.317	25.61	-1	NaN	g'	observer	days	apparent	AB	False	GROND	NaN
22.317	25.03	0	0.46	r'	observer	days	apparent	AB	False	GROND	NaN
22.317	23.85	0	0.19	i'	observer	days	apparent	AB	False	GROND	NaN
22.317	23.76	0	0.33	z'	observer	days	apparent	AB	False	GROND	NaN
22.317	22.2	-1	NaN	J	observer	days	apparent	AB	False	GROND	NaN
22.317	21.3	-1	NaN	H	observer	days	apparent	AB	False	GROND	NaN
22.317	20.78	-1	NaN	Ks	observer	days	apparent	AB	False	GROND	NaN
24.327	25.58	0	0.31	g'	observer	days	apparent	AB	False	GROND	NaN
24.327	24.63	0	0.19	r'	observer	days	apparent	AB	False	GROND	NaN
24.327	24.22	0	0.23	i'	observer	days	apparent	AB	False	GROND	NaN
24.327	24.03	0	0.38	z'	observer	days	apparent	AB	False	GROND	NaN
24.327	22.35	-1	NaN	J	observer	days	apparent	AB	False	GROND	NaN
24.327	21.51	-1	NaN	H	observer	days	apparent	AB	False	GROND	NaN
24.327	20.86	-1	NaN	Ks	observer	days	apparent	AB	False	GROND	NaN
28.333	25.49	0	0.25	g'	observer	days	apparent	AB	False	GROND	NaN
28.333	25.05	0	0.22	r'	observer	days	apparent	AB	False	GROND	NaN
28.333	24.33	0	0.26	i'	observer	days	apparent	AB	False	GROND	NaN
28.333	23.72	0	0.25	z'	observer	days	apparent	AB	False	GROND	NaN
28.333	22.14	-1	NaN	J	observer	days	apparent	AB	False	GROND	NaN
28.333	21.55	-1	NaN	H	observer	days	apparent	AB	False	GROND	NaN
28.333	20.74	-1	NaN	Ks	observer	days	apparent	AB	False	GROND	NaN
2534.453	25.51	0	0.43	g'	observer	days	apparent	AB	False	GROND	NaN
2534.453	25.13	0	0.28	r'	observer	days	apparent	AB	False	GROND	NaN
2534.453	24.69	0	0.47	i'	observer	days	apparent	AB	False	GROND	NaN
2534.453	23.68	-1	NaN	z'	observer	days	apparent	AB	False	GROND	NaN
2534.453	21.9	-1	NaN	J	observer	days	apparent	AB	False	GROND	NaN
2534.453	21.37	-1	NaN	H	observer	days	apparent	AB	False	GROND	NaN
2534.453	20.54	-1	NaN	Ks	observer	days	apparent	AB	False	GROND	NaN
