time	band	integration	mag	mag_limit	dmag	instrument	time_unit	time_frame	mag_unit	mag_type	extinction_corrected	dtime	reference
6.40900	K_{s}	NaN	20.7	1	NaN	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
8.36500	g'	NaN	24.23	1	NaN	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
8.36500	r'	NaN	24.3	1	NaN	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
8.36500	i'	NaN	24.38	0	0.47	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
8.36500	z'	NaN	23.82	0	0.35	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
8.36500	J	NaN	22.17	1	NaN	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
8.36500	H	NaN	21.32	1	NaN	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
8.36500	K_{s}	NaN	20.58	1	NaN	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
14.36900	g'	NaN	24.46	1	NaN	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
14.36900	r'	NaN	24.36	0	0.31	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
14.36900	i'	NaN	24.01	1	NaN	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
14.36900	z'	NaN	23.69	1	NaN	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
14.36900	J	NaN	21.88	1	NaN	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
14.36900	H	NaN	21.09	1	NaN	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
14.36900	K_{s}	NaN	20.73	1	NaN	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
17.34300	g'	NaN	25.5	0	0.23	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
17.34300	r'	NaN	24.73	0	0.13	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
17.34300	i'	NaN	24.07	0	0.2	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
17.34300	z'	NaN	23.54	0	0.21	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
17.34300	J	NaN	22.24	1	NaN	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
17.34300	H	NaN	21.32	1	NaN	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
17.34300	K_{s}	NaN	20.51	1	NaN	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
21.35700	g'	NaN	25.36	1	NaN	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
21.35700	r'	NaN	24.72	0	0.24	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
21.35700	i'	NaN	23.91	0	0.18	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
21.35700	z'	NaN	23.45	0	0.25	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
21.35700	J	NaN	22.11	1	NaN	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
21.35700	H	NaN	21.35	1	NaN	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
21.35700	K_{s}	NaN	20.29	1	NaN	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
22.31700	g'	NaN	25.61	1	NaN	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
22.31700	r'	NaN	25.03	0	0.46	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
22.31700	i'	NaN	23.85	0	0.19	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
22.31700	z'	NaN	23.76	0	0.33	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
22.31700	J	NaN	22.2	1	NaN	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
22.31700	H	NaN	21.3	1	NaN	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
22.31700	K_{s}	NaN	20.78	1	NaN	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
24.32700	g'	NaN	25.58	0	0.31	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
24.32700	r'	NaN	24.63	0	0.19	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
24.32700	i'	NaN	24.22	0	0.23	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
24.32700	z'	NaN	24.03	0	0.38	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
24.32700	J	NaN	22.35	1	NaN	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
24.32700	H	NaN	21.51	1	NaN	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
24.32700	K_{s}	NaN	20.86	1	NaN	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
28.33300	g'	NaN	25.49	0	0.25	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
28.33300	r'	NaN	25.05	0	0.22	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
28.33300	i'	NaN	24.33	0	0.26	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
28.33300	z'	NaN	23.72	0	0.25	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
28.33300	J	NaN	22.14	1	NaN	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
28.33300	H	NaN	21.55	1	NaN	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
28.33300	K_{s}	NaN	20.74	1	NaN	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
2534.45300	g'	NaN	25.51	0	0.43	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
2534.45300	r'	NaN	25.13	0	0.28	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
2534.45300	i'	NaN	24.69	0	0.47	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
2534.45300	z'	NaN	23.68	1	NaN	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
2534.45300	J	NaN	21.9	1	NaN	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
2534.45300	H	NaN	21.37	1	NaN	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
2534.45300	K_{s}	NaN	20.54	1	NaN	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
