time	band	integration	mag	mag_limit	dmag	instrument	time_unit	time_frame	mag_unit	mag_type	extinction_corrected	dtime	reference
0.00416	R	5 s x 3	17.63	0	0.15	TAOSB	days	observer	unspecified	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2012ApJ...748...44H/abstract
0.00445	R	5 s x 3	17.48	0	0.17	TAOSB	days	observer	unspecified	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2012ApJ...748...44H/abstract
0.00474	R	5 s x 3	17.45	0	0.22	TAOSB	days	observer	unspecified	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2012ApJ...748...44H/abstract
0.00507	R	5 s x 4	17.75	0	0.18	TAOSB	days	observer	unspecified	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2012ApJ...748...44H/abstract
0.00545	R	5 s x 4	17.57	0	0.15	TAOSB	days	observer	unspecified	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2012ApJ...748...44H/abstract
0.00602	R	5 s x 4	18.42	0	0.31	TAOSB	days	observer	unspecified	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2012ApJ...748...44H/abstract
0.00663	R	5 s x 7	17.81	0	0.19	TAOSB	days	observer	unspecified	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2012ApJ...748...44H/abstract
0.00730	R	5 s x 7	18.14	0	0.24	TAOSB	days	observer	unspecified	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2012ApJ...748...44H/abstract
0.00811	R	5 s x 7	18.15	0	0.22	TAOSB	days	observer	unspecified	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2012ApJ...748...44H/abstract
0.00955	R	5 s x 20	18.36	0	0.22	TAOSB	days	observer	unspecified	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2012ApJ...748...44H/abstract
0.01288	R	5 s x 50	19.01	0	0.29	TAOSB	days	observer	unspecified	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2012ApJ...748...44H/abstract
0.02193	R	5 s x 140	19.23	0	0.26	TAOSB	days	observer	unspecified	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2012ApJ...748...44H/abstract
0.00144	C_{r}	20 s x 1	17.13	0	0.12	TNT-0.8m	days	observer	unspecified	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2012ApJ...748...44H/abstract
0.00186	C_{r}	20 s x 1	16.82	0	0.1	TNT-0.8m	days	observer	unspecified	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2012ApJ...748...44H/abstract
0.00213	C_{r}	20 s x 1	17.3	0	0.12	TNT-0.8m	days	observer	unspecified	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2012ApJ...748...44H/abstract
0.00239	C_{r}	20 s x 1	17.04	0	0.12	TNT-0.8m	days	observer	unspecified	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2012ApJ...748...44H/abstract
0.00265	C_{r}	20 s x 1	17.37	0	0.15	TNT-0.8m	days	observer	unspecified	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2012ApJ...748...44H/abstract
0.00292	C_{r}	20 s x 1	17.31	0	0.15	TNT-0.8m	days	observer	unspecified	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2012ApJ...748...44H/abstract
0.00318	C_{r}	20 s x 1	17.26	0	0.15	TNT-0.8m	days	observer	unspecified	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2012ApJ...748...44H/abstract
0.00344	C_{r}	20 s x 1	17.43	0	0.15	TNT-0.8m	days	observer	unspecified	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2012ApJ...748...44H/abstract
0.00397	C_{r}	20 s x 1	17.42	0	0.15	TNT-0.8m	days	observer	unspecified	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2012ApJ...748...44H/abstract
0.00424	C_{r}	20 s x 1	17.48	0	0.15	TNT-0.8m	days	observer	unspecified	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2012ApJ...748...44H/abstract
0.00450	C_{r}	20 s x 1	17.62	0	0.15	TNT-0.8m	days	observer	unspecified	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2012ApJ...748...44H/abstract
0.00477	C_{r}	20 s x 1	17.35	0	0.15	TNT-0.8m	days	observer	unspecified	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2012ApJ...748...44H/abstract
0.00503	C_{r}	20 s x 1	17.68	0	0.15	TNT-0.8m	days	observer	unspecified	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2012ApJ...748...44H/abstract
0.00529	C_{r}	20 s x 1	17.87	0	0.2	TNT-0.8m	days	observer	unspecified	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2012ApJ...748...44H/abstract
0.00556	C_{r}	20 s x 1	17.8	0	0.2	TNT-0.8m	days	observer	unspecified	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2012ApJ...748...44H/abstract
0.00582	C_{r}	20 s x 1	17.87	0	0.2	TNT-0.8m	days	observer	unspecified	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2012ApJ...748...44H/abstract
0.00608	C_{r}	20 s x 1	17.66	0	0.25	TNT-0.8m	days	observer	unspecified	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2012ApJ...748...44H/abstract
0.00635	C_{r}	20 s x 1	18.44	0	0.3	TNT-0.8m	days	observer	unspecified	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2012ApJ...748...44H/abstract
0.00661	C_{r}	20 s x 1	18.12	0	0.25	TNT-0.8m	days	observer	unspecified	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2012ApJ...748...44H/abstract
0.00732	R	60 s x 1	18.0	0	0.15	TNT-0.8m	days	observer	unspecified	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2012ApJ...748...44H/abstract
0.00823	R	60 s x 1	18.28	0	0.2	TNT-0.8m	days	observer	unspecified	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2012ApJ...748...44H/abstract
0.00914	R	60 s x 1	18.34	0	0.2	TNT-0.8m	days	observer	unspecified	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2012ApJ...748...44H/abstract
0.01004	R	60 s x 1	18.46	0	0.2	TNT-0.8m	days	observer	unspecified	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2012ApJ...748...44H/abstract
0.01095	R	60 s x 1	18.4	0	0.2	TNT-0.8m	days	observer	unspecified	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2012ApJ...748...44H/abstract
0.01231	R	60 s x 2	18.72	0	0.15	TNT-0.8m	days	observer	unspecified	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2012ApJ...748...44H/abstract
