! WT data
90.615	0.900	-0.729	3.000058e+01	4.472232e+00	-4.472230e+00
92.234	0.776	-0.718	3.271476e+01	4.876839e+00	-4.876837e+00
94.058	0.671	-1.047	2.844802e+01	4.240790e+00	-4.240788e+00
95.753	0.867	-1.025	2.450414e+01	3.931574e+00	-3.931573e+00
97.540	0.897	-0.919	2.644775e+01	4.039510e+00	-4.039508e+00
99.449	1.265	-1.012	2.147024e+01	3.200602e+00	-3.200600e+00
101.651	0.931	-0.937	2.527257e+01	3.955774e+00	-3.955772e+00
103.656	0.648	-1.074	2.790687e+01	4.262370e+00	-4.262368e+00
104.910	0.597	-0.606	4.066818e+01	6.062467e+00	-6.062464e+00
106.286	0.881	-0.779	2.946627e+01	4.392582e+00	-4.392580e+00
108.108	1.016	-0.941	2.499224e+01	3.725631e+00	-3.725629e+00
110.065	1.281	-0.941	2.162896e+01	3.303510e+00	-3.303509e+00
112.549	0.872	-1.203	2.358205e+01	3.515412e+00	-3.515410e+00
114.482	0.781	-1.062	2.607969e+01	3.983294e+00	-3.983292e+00
116.158	1.165	-0.895	2.333241e+01	3.563687e+00	-3.563685e+00
118.602	0.839	-1.279	2.270487e+01	3.467840e+00	-3.467838e+00
120.326	1.036	-0.886	2.501738e+01	3.821042e+00	-3.821040e+00
122.380	0.652	-1.017	2.931944e+01	4.370693e+00	-4.370691e+00
124.301	1.210	-1.270	1.972888e+01	2.941014e+00	-2.941012e+00
126.742	0.917	-1.230	2.238929e+01	3.419640e+00	-3.419638e+00
128.627	1.213	-0.968	2.126282e+01	3.411519e+00	-3.411517e+00
131.034	1.171	-1.194	2.033412e+01	3.105742e+00	-3.105741e+00
133.561	1.275	-1.357	1.859463e+01	2.771929e+00	-2.771928e+00
136.062	1.189	-1.227	2.025127e+01	3.018888e+00	-3.018887e+00
138.524	1.436	-1.272	1.806897e+01	2.693569e+00	-2.693568e+00
140.976	1.155	-1.017	2.252357e+01	3.357623e+00	-3.357621e+00
143.664	1.768	-1.532	1.456826e+01	2.225090e+00	-2.225089e+00
146.778	1.474	-1.346	1.735180e+01	2.586659e+00	-2.586658e+00
149.704	1.542	-1.452	1.634148e+01	2.436049e+00	-2.436047e+00
152.986	1.560	-1.740	1.456862e+01	2.225146e+00	-2.225145e+00
156.424	1.798	-1.878	1.308090e+01	1.997918e+00	-1.997917e+00
159.521	1.450	-1.299	1.780141e+01	2.653683e+00	-2.653681e+00
162.522	1.587	-1.551	1.504953e+01	2.355618e+00	-2.355617e+00
166.155	1.742	-2.046	1.291765e+01	1.925653e+00	-1.925652e+00
169.410	1.512	-1.513	1.617723e+01	2.411564e+00	-2.411563e+00
173.034	2.346	-2.113	1.021139e+01	1.679832e+00	-1.679832e+00
177.528	1.513	-2.148	1.313053e+01	2.005498e+00	-2.005497e+00
180.491	1.882	-1.450	9.533137e+00	1.805218e+00	-1.805218e+00
184.371	1.939	-1.997	9.945963e+00	1.657663e+00	-1.657663e+00
187.823	1.658	-1.514	1.576737e+01	2.324777e+00	-2.324776e+00
191.268	1.939	-1.787	9.923266e+00	1.701829e+00	-1.701828e+00
195.072	1.557	-1.866	9.529355e+00	1.739817e+00	-1.739816e+00
198.543	2.394	-1.913	9.843495e+00	1.576224e+00	-1.576223e+00
203.150	2.151	-2.213	1.120980e+01	1.671062e+00	-1.671061e+00
207.431	2.247	-2.129	1.117897e+01	1.666466e+00	-1.666465e+00
211.502	1.892	-1.824	8.547951e+00	1.618661e+00	-1.618661e+00
215.551	2.446	-2.156	9.922143e+00	1.531023e+00	-1.531022e+00
220.275	1.859	-2.277	1.182655e+01	1.763001e+00	-1.763000e+00
224.308	1.652	-2.175	7.855669e+00	1.602800e+00	-1.602799e+00
229.039	1.908	-3.079	6.539873e+00	1.194014e+00	-1.194013e+00
233.400	1.970	-2.453	7.373867e+00	1.346280e+00	-1.346279e+00
237.206	1.715	-1.836	8.944652e+00	1.693781e+00	-1.693781e+00
241.085	2.236	-2.164	7.219505e+00	1.367103e+00	-1.367103e+00
245.559	2.469	-2.238	6.747482e+00	1.277720e+00	-1.277719e+00
249.963	1.960	-1.935	8.375214e+00	1.529100e+00	-1.529100e+00
254.003	2.048	-2.080	7.903014e+00	1.442888e+00	-1.442888e+00
257.889	1.985	-1.838	9.509029e+00	1.711659e+00	-1.711659e+00
262.221	2.304	-2.346	7.014474e+00	1.280664e+00	-1.280663e+00
266.721	2.532	-2.196	6.898414e+00	1.259474e+00	-1.259474e+00
271.737	1.799	-2.483	7.765947e+00	1.417863e+00	-1.417863e+00
276.364	2.207	-2.828	6.668218e+00	1.217446e+00	-1.217446e+00
280.497	1.949	-1.926	8.639513e+00	1.577354e+00	-1.577354e+00
284.781	1.963	-2.336	7.586747e+00	1.385146e+00	-1.385146e+00
288.963	2.360	-2.219	9.783905e+00	1.549497e+00	-1.549496e+00
294.091	2.220	-2.767	6.200207e+00	1.218368e+00	-1.218368e+00
299.474	2.499	-3.163	5.760562e+00	1.051731e+00	-1.051731e+00
304.923	4.582	-2.949	4.105508e+00	8.067506e-01	-8.067504e-01
312.129	2.788	-2.625	6.026974e+00	1.100371e+00	-1.100371e+00
316.914	1.974	-1.997	8.214369e+00	1.499734e+00	-1.499733e+00
320.972	2.094	-2.085	7.805183e+00	1.425027e+00	-1.425026e+00
325.039	2.025	-1.973	8.061841e+00	1.526610e+00	-1.526610e+00
329.138	2.693	-2.073	6.858378e+00	1.298719e+00	-1.298719e+00
334.794	2.388	-2.963	6.177125e+00	1.127785e+00	-1.127785e+00
