time	obs_wavelength	flux	instrument	integration	integration_unit	time_unit	wavelength_unit	flux_unit	redshift	dtime	time_frame	rest_wavelength	reference
0.293	5182.519998	5.962475e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4805.303660639777	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5185.109998	5.990513e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4807.705144181734	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5187.699997	5.280079e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4810.106626796476	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5190.289997	6.682313e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4812.508110338433	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5192.879997	6.277443e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4814.909593880389	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5195.469997	5.578952e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4817.311077422346	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5198.059997	6.365285e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4819.712560964303	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5200.649997	5.9648e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4822.114044506259	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5203.239997	6.470673e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4824.515528048215	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5205.829997	5.945081e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4826.917011590172	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5208.419997	6.596768e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4829.318495132128	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5211.009997	5.399275e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4831.719978674085	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5213.599997	6.647467e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4834.1214622160405	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5216.189996	5.83791e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4836.522944830784	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5218.779996	6.026495e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4838.92442837274	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5221.369996	6.21474e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4841.325911914697	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5223.959996	5.974942e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4843.727395456653	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5226.549996	6.161046e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4846.128878998609	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5229.139996	6.660299e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4848.530362540566	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5231.729996	6.158355e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4850.931846082522	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5234.319996	5.510725e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4853.333329624478	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5236.909996	6.407483e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4855.734813166435	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5239.499996	5.918085e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4858.136296708391	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5242.089996	5.999387e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4860.537780250347	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5244.679996	6.033311e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4862.939263792304	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5247.269995	5.712532e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4865.340746407046	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5249.859995	5.757072e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4867.742229949003	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5252.449995	6.148254e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4870.143713490959	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5255.039995	6.355089e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4872.545197032916	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5257.629995	6.340883e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4874.9466805748725	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
