date	time	integration	band	mag	mag_limit	dmag	date_unit	time_unit	time_frame	integration_unit	mag_unit	mag_type	extinction_corrected	instrument	dtime	reference	flux_density	dflux_density	flux_density_unit
58728.240237	3.411	45x3	z	20.44	0	0.04	MJD	days	observer	seconds	AB	apparent	True	GTC	NaN	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract	NaN	NaN	NaN
58729.218345	4.389	45x3	z	21.31	0	0.05	MJD	days	observer	seconds	AB	apparent	True	GTC	NaN	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract	NaN	NaN	NaN
NaN	0.002097222222222222	NaN	white	19.51	0	0.14	NaN	days	observer	NaN	unspecified	apparent	False	UVOT	74.9	https://ui.adsabs.harvard.edu/abs/2020ApJ...898...42C/abstract	0.036	0.005	milliJy
NaN	0.006431712962962964	NaN	white	19.12	0	0.29	NaN	days	observer	NaN	unspecified	apparent	False	UVOT	9.900000000000034	https://ui.adsabs.harvard.edu/abs/2020ApJ...898...42C/abstract	0.051	0.014	milliJy
NaN	0.008465856481481482	NaN	white	18.87	0	0.24	NaN	days	observer	NaN	unspecified	apparent	False	UVOT	9.849999999999966	https://ui.adsabs.harvard.edu/abs/2020ApJ...898...42C/abstract	0.064	0.014	milliJy
NaN	0.010940972222222222	NaN	white	17.57	0	0.04	NaN	days	observer	NaN	unspecified	apparent	False	UVOT	74.69999999999999	https://ui.adsabs.harvard.edu/abs/2020ApJ...898...42C/abstract	0.213	0.008	milliJy
NaN	0.014699074074074074	NaN	white	16.88	0	0.06	NaN	days	observer	NaN	unspecified	apparent	False	UVOT	96.5	https://ui.adsabs.harvard.edu/abs/2020ApJ...898...42C/abstract	0.401	0.022	milliJy
NaN	0.01863946759259259	NaN	white	16.96	0	0.08	NaN	days	observer	NaN	unspecified	apparent	False	UVOT	91.14999999999998	https://ui.adsabs.harvard.edu/abs/2020ApJ...898...42C/abstract	0.373	0.027	milliJy
NaN	0.07151793981481482	NaN	white	18.21	0	0.05	NaN	days	observer	NaN	unspecified	apparent	False	UVOT	99.84999999999992	https://ui.adsabs.harvard.edu/abs/2020ApJ...898...42C/abstract	0.118	0.005	milliJy
NaN	0.12937094907407407	NaN	white	18.85	0	0.04	NaN	days	observer	NaN	unspecified	apparent	False	UVOT	453.4499999999998	https://ui.adsabs.harvard.edu/abs/2020ApJ...898...42C/abstract	0.065	0.002	milliJy
NaN	1.9985775462962965	NaN	white	19.53	0	0.06	NaN	days	observer	NaN	unspecified	apparent	False	UVOT	453.5	https://ui.adsabs.harvard.edu/abs/2020ApJ...898...42C/abstract	0.035	0.002	milliJy
NaN	0.006148148148148148	NaN	b	18.76	1	NaN	NaN	days	observer	NaN	unspecified	apparent	False	UVOT	9.900000000000034	https://ui.adsabs.harvard.edu/abs/2020ApJ...898...42C/abstract	>0.127	NaN	milliJy
NaN	0.008173611111111112	NaN	b	18.76	1	NaN	NaN	days	observer	NaN	unspecified	apparent	False	UVOT	9.900000000000034	https://ui.adsabs.harvard.edu/abs/2020ApJ...898...42C/abstract	>0.127	NaN	milliJy
NaN	0.014414930555555556	NaN	b	17.24	0	0.11	NaN	days	observer	NaN	unspecified	apparent	False	UVOT	96.75	https://ui.adsabs.harvard.edu/abs/2020ApJ...898...42C/abstract	0.516	0.052	milliJy
NaN	0.018416666666666668	NaN	b	17.52	0	0.16	NaN	days	observer	NaN	unspecified	apparent	False	UVOT	96.20000000000005	https://ui.adsabs.harvard.edu/abs/2020ApJ...898...42C/abstract	0.399	0.059	milliJy
NaN	0.06914814814814814	NaN	b	18.43	0	0.09	NaN	days	observer	NaN	unspecified	apparent	False	UVOT	99.90000000000008	https://ui.adsabs.harvard.edu/abs/2020ApJ...898...42C/abstract	0.172	0.014	milliJy
NaN	0.08535358796296297	NaN	b	18.84	0	0.3	NaN	days	observer	NaN	unspecified	apparent	False	UVOT	64.25	https://ui.adsabs.harvard.edu/abs/2020ApJ...898...42C/abstract	0.118	0.032	milliJy
NaN	1.5673738425925927	NaN	b	19.8	0	0.22	NaN	days	observer	NaN	unspecified	apparent	False	UVOT	36190.4	https://ui.adsabs.harvard.edu/abs/2020ApJ...898...42C/abstract	0.049	0.01	milliJy
