time	flux_density	flux_density_limit	dflux_density	integration	freq	freq_unit	time_unit	time_frame	flux_density_unit	integration_unit	instrument	dtime	reference
41.22000	260.0	0	10.0	2.0	15.5	GHz	days	observer	microJy beam^-1	hours	AMI-LA	NaN	https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.3326R/abstract
45.23000	220.0	0	20.0	4.0	15.5	GHz	days	observer	microJy beam^-1	hours	AMI-LA	NaN	https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.3326R/abstract
53.23000	280.0	0	20.0	3.0	15.5	GHz	days	observer	microJy beam^-1	hours	AMI-LA	NaN	https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.3326R/abstract
58.21000	260.0	0	20.0	4.0	15.5	GHz	days	observer	microJy beam^-1	hours	AMI-LA	NaN	https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.3326R/abstract
64.18000	230.0	1	NaN	4.0	15.5	GHz	days	observer	microJy beam^-1	hours	AMI-LA	NaN	https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.3326R/abstract
67.21000	150.0	0	10.0	3.0	15.5	GHz	days	observer	microJy beam^-1	hours	AMI-LA	NaN	https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.3326R/abstract
71.17000	210.0	0	20.0	3.0	15.5	GHz	days	observer	microJy beam^-1	hours	AMI-LA	NaN	https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.3326R/abstract
73.16000	250.0	0	20.0	4.0	15.5	GHz	days	observer	microJy beam^-1	hours	AMI-LA	NaN	https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.3326R/abstract
78.14000	190.0	0	10.0	3.0	15.5	GHz	days	observer	microJy beam^-1	hours	AMI-LA	NaN	https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.3326R/abstract
81.13000	170.0	0	10.0	4.0	15.5	GHz	days	observer	microJy beam^-1	hours	AMI-LA	NaN	https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.3326R/abstract
85.12000	180.0	0	20.0	4.0	15.5	GHz	days	observer	microJy beam^-1	hours	AMI-LA	NaN	https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.3326R/abstract
88.11000	230.0	0	40.0	4.0	15.5	GHz	days	observer	microJy beam^-1	hours	AMI-LA	NaN	https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.3326R/abstract
95.10000	240.0	0	30.0	4.0	15.5	GHz	days	observer	microJy beam^-1	hours	AMI-LA	NaN	https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.3326R/abstract
105.07000	190.0	1	NaN	4.0	15.5	GHz	days	observer	microJy beam^-1	hours	AMI-LA	NaN	https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.3326R/abstract
110.06000	180.0	1	NaN	4.0	15.5	GHz	days	observer	microJy beam^-1	hours	AMI-LA	NaN	https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.3326R/abstract
