time	mag	mag_limit	dmag	band	instrument	time_unit	mag_unit	mag_type	extinction_corrected	time_frame	dtime
0.284	18.02	0	0.02	g	GROND	days	AB	apparent	False	observer	NaN
0.3	18.15	0	0.02	g	GROND	days	AB	apparent	False	observer	NaN
0.311	18.16	0	0.02	g	GROND	days	AB	apparent	False	observer	NaN
1.557	19.27	0	0.03	g	GROND	days	AB	apparent	False	observer	NaN
2.561	19.43	0	0.02	g	GROND	days	AB	apparent	False	observer	NaN
4.504	19.53	0	0.02	g	GROND	days	AB	apparent	False	observer	NaN
5.501	19.59	0	0.03	g	GROND	days	AB	apparent	False	observer	NaN
6.488	19.76	0	0.03	g	GROND	days	AB	apparent	False	observer	NaN
7.263	19.88	0	0.03	g	GTC	days	AB	apparent	False	observer	NaN
8.245	19.89	0	0.02	g	NOT	days	AB	apparent	False	observer	NaN
9.251	19.85	0	0.06	g	NOT	days	AB	apparent	False	observer	NaN
9.297	19.86	0	0.03	g	GROND	days	AB	apparent	False	observer	NaN
10.306	19.88	0	0.02	g	GROND	days	AB	apparent	False	observer	NaN
11.338	19.96	0	0.04	g	GROND	days	AB	apparent	False	observer	NaN
12.253	20.04	0	0.03	g	NOT	days	AB	apparent	False	observer	NaN
12.291	19.92	0	0.03	g	GROND	days	AB	apparent	False	observer	NaN
13.208	20.12	0	0.03	g	GTC	days	AB	apparent	False	observer	NaN
14.358	20.24	0	0.03	g	GROND	days	AB	apparent	False	observer	NaN
15.291	20.22	0	0.02	g	NOT	days	AB	apparent	False	observer	NaN
15.37	20.2	0	0.03	g	GROND	days	AB	apparent	False	observer	NaN
18.385	20.55	0	0.03	g	GROND	days	AB	apparent	False	observer	NaN
20.336	20.67	0	0.04	g	GROND	days	AB	apparent	False	observer	NaN
21.278	20.58	0	0.04	g	GTC	days	AB	apparent	False	observer	NaN
22.286	20.77	0	0.05	g	GROND	days	AB	apparent	False	observer	NaN
25.378	20.9	0	0.05	g	GROND	days	AB	apparent	False	observer	NaN
28.151	20.88	0	0.02	g	NOT	days	AB	apparent	False	observer	NaN
30.188	20.96	0	0.03	g	NOT	days	AB	apparent	False	observer	NaN
31.5	21.22	0	0.03	g	GROND	days	AB	apparent	False	observer	NaN
34.145	21.02	0	0.03	g	NOT	days	AB	apparent	False	observer	NaN
34.229	21.05	0	0.03	g	GTC	days	AB	apparent	False	observer	NaN
35.216	21.1	0	0.02	g	NOT	days	AB	apparent	False	observer	NaN
37.173	21.05	0	0.03	g	NOT	days	AB	apparent	False	observer	NaN
37.368	21.24	0	0.03	g	GROND	days	AB	apparent	False	observer	NaN
38.209	21.13	0	0.02	g	GTC	days	AB	apparent	False	observer	NaN
40.149	21.16	0	0.03	g	NOT	days	AB	apparent	False	observer	NaN
42.345	21.22	0	0.04	g	GROND	days	AB	apparent	False	observer	NaN
47.389	21.45	0	0.04	g	GROND	days	AB	apparent	False	observer	NaN
51.183	21.23	0	0.07	g	GTC	days	AB	apparent	False	observer	NaN
60.34	21.39	0	0.04	g	GROND	days	AB	apparent	False	observer	NaN
70.078	21.45	0	0.03	g	NOT	days	AB	apparent	False	observer	NaN
71.135	21.26	0	0.04	g	GTC	days	AB	apparent	False	observer	NaN
0.286	18.07	0	0.01	r	GROND	days	AB	apparent	False	observer	NaN
0.3	18.1	0	0.01	r	GROND	days	AB	apparent	False	observer	NaN
0.311	18.12	0	0.0	r	GROND	days	AB	apparent	False	observer	NaN
1.556	19.25	0	0.02	r	GROND	days	AB	apparent	False	observer	NaN
2.561	19.57	0	0.01	r	GROND	days	AB	apparent	False	observer	NaN
4.505	19.75	0	0.02	r	GROND	days	AB	apparent	False	observer	NaN
5.501	19.74	0	0.02	r	GROND	days	AB	apparent	False	observer	NaN
6.487	19.71	0	0.03	r	GROND	days	AB	apparent	False	observer	NaN
7.27	19.78	0	0.03	r	GTC	days	AB	apparent	False	observer	NaN
8.253	19.69	0	0.02	r	NOT	days	AB	apparent	False	observer	NaN
9.259	19.64	0	0.03	r	GROND	days	AB	apparent	False	observer	NaN
10.306	19.63	0	0.02	r	GROND	days	AB	apparent	False	observer	NaN
11.338	19.65	0	0.02	r	GROND	days	AB	apparent	False	observer	NaN
12.259	19.64	0	0.05	r	NOT	days	AB	apparent	False	observer	NaN
12.291	19.65	0	0.02	r	GROND	days	AB	apparent	False	observer	NaN
13.213	19.67	0	0.02	r	NOT	days	AB	apparent	False	observer	NaN
13.278	19.74	0	0.03	r	GTC	days	AB	apparent	False	observer	NaN
13.345	19.69	0	0.02	r	GROND	days	AB	apparent	False	observer	NaN
14.358	19.69	0	0.02	r	GROND	days	AB	apparent	False	observer	NaN
15.299	19.66	0	0.03	r	NOT	days	AB	apparent	False	observer	NaN
15.37	19.7	0	0.02	r	GROND	days	AB	apparent	False	observer	NaN
18.385	19.75	0	0.02	r	GROND	days	AB	apparent	False	observer	NaN
20.336	19.83	0	0.02	r	GROND	days	AB	apparent	False	observer	NaN
21.28	19.82	0	0.03	r	GTC	days	AB	apparent	False	observer	NaN
22.286	19.95	0	0.02	r	GROND	days	AB	apparent	False	observer	NaN
25.378	20.08	0	0.02	r	GROND	days	AB	apparent	False	observer	NaN
28.159	20.15	0	0.02	r	NOT	days	AB	apparent	False	observer	NaN
30.196	20.18	0	0.0	r	NOT	days	AB	apparent	False	observer	NaN
31.5	20.27	0	0.02	r	GTC	days	AB	apparent	False	observer	NaN
34.156	20.35	0	0.02	r	NOT	days	AB	apparent	False	observer	NaN
34.23	20.33	0	0.02	r	GTC	days	AB	apparent	False	observer	NaN
35.21	20.39	0	0.02	r	NOT	days	AB	apparent	False	observer	NaN
37.181	20.44	0	0.02	r	NOT	days	AB	apparent	False	observer	NaN
37.368	20.43	0	0.03	r	GROND	days	AB	apparent	False	observer	NaN
