time	mag	mag_limit	dmag	band	instrument	time_unit	mag_unit	mag_type	extinction_corrected	time_frame	dtime
38.213	20.5	0	0.04	r	GTC	days	AB	apparent	False	observer	NaN
40.157	20.46	0	0.02	r	NOT	days	AB	apparent	False	observer	NaN
42.345	20.63	0	0.02	r	GROND	days	AB	apparent	False	observer	NaN
47.389	20.61	0	0.02	r	GROND	days	AB	apparent	False	observer	NaN
51.184	20.73	0	0.05	r	GTC	days	AB	apparent	False	observer	NaN
60.34	20.78	0	0.02	r	GROND	days	AB	apparent	False	observer	NaN
70.09	20.83	0	0.02	r	NOT	days	AB	apparent	False	observer	NaN
71.143	20.84	0	0.04	r	GTC	days	AB	apparent	False	observer	NaN
0.285	17.94	0	0.03	i	GROND	days	AB	apparent	False	observer	NaN
0.3	17.97	0	0.02	i	GROND	days	AB	apparent	False	observer	NaN
0.311	17.99	0	0.01	i	GROND	days	AB	apparent	False	observer	NaN
1.557	19.07	0	0.02	i	GROND	days	AB	apparent	False	observer	NaN
2.561	19.37	0	0.02	i	GROND	days	AB	apparent	False	observer	NaN
4.504	19.69	0	0.02	i	GROND	days	AB	apparent	False	observer	NaN
5.501	19.76	0	0.02	i	GROND	days	AB	apparent	False	observer	NaN
6.488	19.74	0	0.03	i	GROND	days	AB	apparent	False	observer	NaN
7.273	19.81	0	0.02	i	GTC	days	AB	apparent	False	observer	NaN
8.261	19.75	0	0.02	i	NOT	days	AB	apparent	False	observer	NaN
9.27	19.59	0	0.03	i	NOT	days	AB	apparent	False	observer	NaN
9.296	19.69	0	0.02	i	GROND	days	AB	apparent	False	observer	NaN
10.306	19.65	0	0.02	i	GROND	days	AB	apparent	False	observer	NaN
11.338	19.64	0	0.03	i	GROND	days	AB	apparent	False	observer	NaN
12.264	19.56	0	0.12	i	NOT	days	AB	apparent	False	observer	NaN
12.291	19.67	0	0.02	i	GROND	days	AB	apparent	False	observer	NaN
13.217	19.68	0	0.03	i	NOT	days	AB	apparent	False	observer	NaN
13.279	19.7	0	0.03	i	GTC	days	AB	apparent	False	observer	NaN
13.345	19.63	0	0.02	i	GROND	days	AB	apparent	False	observer	NaN
14.358	19.61	0	0.02	i	GROND	days	AB	apparent	False	observer	NaN
15.307	19.71	0	0.02	i	NOT	days	AB	apparent	False	observer	NaN
15.37	19.65	0	0.02	i	GROND	days	AB	apparent	False	observer	NaN
18.385	19.63	0	0.02	i	GROND	days	AB	apparent	False	observer	NaN
20.336	19.63	0	0.02	i	GROND	days	AB	apparent	False	observer	NaN
20.336	19.63	0	0.02	i	GTC	days	AB	apparent	False	observer	NaN
22.286	19.7	0	0.03	i	GROND	days	AB	apparent	False	observer	NaN
25.378	19.82	0	0.05	i	GROND	days	AB	apparent	False	observer	NaN
28.167	19.9	0	0.02	i	NOT	days	AB	apparent	False	observer	NaN
30.204	19.92	0	0.03	i	NOT	days	AB	apparent	False	observer	NaN
31.5	20.03	0	0.02	i	GROND	days	AB	apparent	False	observer	NaN
34.166	20.13	0	0.02	i	NOT	days	AB	apparent	False	observer	NaN
34.232	20.09	0	0.03	i	GTC	days	AB	apparent	False	observer	NaN
35.196	20.15	0	0.03	i	NOT	days	AB	apparent	False	observer	NaN
37.189	20.18	0	0.03	i	NOT	days	AB	apparent	False	observer	NaN
37.368	20.21	0	0.03	i	GROND	days	AB	apparent	False	observer	NaN
38.215	20.15	0	0.02	i	GTC	days	AB	apparent	False	observer	NaN
40.165	20.19	0	0.02	i	NOT	days	AB	apparent	False	observer	NaN
42.345	20.25	0	0.03	i	GROND	days	AB	apparent	False	observer	NaN
47.389	20.33	0	0.03	i	GROND	days	AB	apparent	False	observer	NaN
51.186	20.49	0	0.03	i	GTC	days	AB	apparent	False	observer	NaN
60.34	20.49	0	0.02	i	GROND	days	AB	apparent	False	observer	NaN
70.101	20.55	0	0.03	i	NOT	days	AB	apparent	False	observer	NaN
71.145	20.45	0	0.03	i	GTC	days	AB	apparent	False	observer	NaN
0.285	17.86	0	0.03	z	GROND	days	AB	apparent	False	observer	NaN
0.3	17.9	0	0.03	z	GROND	days	AB	apparent	False	observer	NaN
0.311	17.9	0	0.02	z	GROND	days	AB	apparent	False	observer	NaN
1.557	19.01	0	0.03	z	GROND	days	AB	apparent	False	observer	NaN
2.561	19.23	0	0.03	z	GROND	days	AB	apparent	False	observer	NaN
4.505	19.51	0	0.02	z	GROND	days	AB	apparent	False	observer	NaN
5.501	19.59	0	0.02	z	GROND	days	AB	apparent	False	observer	NaN
6.488	19.65	0	0.04	z	GROND	days	AB	apparent	False	observer	NaN
7.276	19.69	0	0.02	z	GTC	days	AB	apparent	False	observer	NaN
8.271	19.7	0	0.04	z	NOT	days	AB	apparent	False	observer	NaN
9.28	19.7	0	0.09	z	NOT	days	AB	apparent	False	observer	NaN
9.296	19.61	0	0.03	z	GROND	days	AB	apparent	False	observer	NaN
10.306	19.62	0	0.04	z	GROND	days	AB	apparent	False	observer	NaN
11.338	19.7	0	0.03	z	GROND	days	AB	apparent	False	observer	NaN
12.291	19.73	0	0.03	z	GROND	days	AB	apparent	False	observer	NaN
13.281	19.76	0	0.03	z	GTC	days	AB	apparent	False	observer	NaN
13.345	19.8	0	0.03	z	GROND	days	AB	apparent	False	observer	NaN
14.358	19.77	0	0.03	z	GROND	days	AB	apparent	False	observer	NaN
15.325	19.76	0	0.03	z	NOT	days	AB	apparent	False	observer	NaN
15.37	19.79	0	0.04	z	GROND	days	AB	apparent	False	observer	NaN
18.385	19.77	0	0.03	z	GROND	days	AB	apparent	False	observer	NaN
20.336	19.75	0	0.03	z	GROND	days	AB	apparent	False	observer	NaN
21.284	19.93	0	0.04	z	GTC	days	AB	apparent	False	observer	NaN
22.286	19.79	0	0.04	z	GROND	days	AB	apparent	False	observer	NaN
25.378	19.87	0	0.03	z	GROND	days	AB	apparent	False	observer	NaN
28.177	20.03	0	0.04	z	NOT	days	AB	apparent	False	observer	NaN
30.214	20.02	0	0.04	z	NOT	days	AB	apparent	False	observer	NaN
31.5	20.15	0	0.03	z	GROND	days	AB	apparent	False	observer	NaN
34.179	20.11	0	0.04	z	NOT	days	AB	apparent	False	observer	NaN
34.234	20.12	0	0.03	z	GTC	days	AB	apparent	False	observer	NaN
37.199	20.19	0	0.04	z	NOT	days	AB	apparent	False	observer	NaN
37.368	20.19	0	0.04	z	GROND	days	AB	apparent	False	observer	NaN
38.217	20.16	0	0.03	z	GTC	days	AB	apparent	False	observer	NaN
40.175	20.41	0	0.08	z	NOT	days	AB	apparent	False	observer	NaN
47.389	20.29	0	0.03	z	GROND	days	AB	apparent	False	observer	NaN
51.188	20.42	0	0.04	z	GTC	days	AB	apparent	False	observer	NaN
60.34	20.58	0	0.03	z	GROND	days	AB	apparent	False	observer	NaN
70.115	20.56	0	0.06	z	NOT	days	AB	apparent	False	observer	NaN
71.147	20.51	0	0.05	z	GTC	days	AB	apparent	False	observer	NaN
0.283	16.77	0	0.03	J	GROND	days	Vega	apparent	False	observer	NaN
0.298	16.82	0	0.03	J	GROND	days	Vega	apparent	False	observer	NaN
0.308	16.9	0	0.03	J	GROND	days	Vega	apparent	False	observer	NaN
1.554	17.86	0	0.03	J	GROND	days	Vega	apparent	False	observer	NaN
2.559	18.24	0	0.05	J	GROND	days	Vega	apparent	False	observer	NaN
4.502	18.71	0	0.06	J	GROND	days	Vega	apparent	False	observer	NaN
5.498	18.73	0	0.05	J	GROND	days	Vega	apparent	False	observer	NaN
6.487	18.57	0	0.09	J	GROND	days	Vega	apparent	False	observer	NaN
9.296	18.96	0	0.09	J	GROND	days	Vega	apparent	False	observer	NaN
10.306	18.86	0	0.07	J	GROND	days	Vega	apparent	False	observer	NaN
12.291	18.69	0	0.25	J	GROND	days	Vega	apparent	False	observer	NaN
13.345	18.8	0	0.26	J	GROND	days	Vega	apparent	False	observer	NaN
14.358	18.82	0	0.29	J	GROND	days	Vega	apparent	False	observer	NaN
18.385	18.91	0	0.09	J	GROND	days	Vega	apparent	False	observer	NaN
20.336	19.06	0	0.1	J	GROND	days	Vega	apparent	False	observer	NaN
21.22	18.75	0	0.18	J	NOT	days	Vega	apparent	False	observer	NaN
22.285	18.76	0	0.28	J	GROND	days	Vega	apparent	False	observer	NaN
25.375	19.03	0	0.08	J	GROND	days	Vega	apparent	False	observer	NaN
31.498	18.99	0	0.09	J	GROND	days	Vega	apparent	False	observer	NaN
37.365	19.02	0	0.18	J	GROND	days	Vega	apparent	False	observer	NaN
42.342	19.19	0	0.09	J	GROND	days	Vega	apparent	False	observer	NaN
47.386	19.46	0	0.1	J	GROND	days	Vega	apparent	False	observer	NaN
51.202	19.51	0	0.07	J	GTC	days	Vega	apparent	False	observer	NaN
60.337	19.4	0	0.27	J	GROND	days	Vega	apparent	False	observer	NaN
0.282	16.13	0	0.03	H	GROND	days	Vega	apparent	False	observer	NaN
0.298	16.2	0	0.04	H	GROND	days	Vega	apparent	False	observer	NaN
0.309	16.14	0	0.0	H	GROND	days	Vega	apparent	False	observer	NaN
31.554	17.15	0	0.04	H	GROND	days	Vega	apparent	False	observer	NaN
2.559	17.58	0	0.06	H	GROND	days	Vega	apparent	False	observer	NaN
4.502	18.07	0	0.07	H	GROND	days	Vega	apparent	False	observer	NaN
5.498	18.18	0	0.08	H	GROND	days	Vega	apparent	False	observer	NaN
6.487	18.06	0	0.12	H	GROND	days	Vega	apparent	False	observer	NaN
9.296	18.49	0	0.14	H	GROND	days	Vega	apparent	False	observer	NaN
12.291	18.4	0	0.11	H	GROND	days	Vega	apparent	False	observer	NaN
13.345	18.27	0	0.1	H	GROND	days	Vega	apparent	False	observer	NaN
14.358	18.34	0	0.14	H	GROND	days	Vega	apparent	False	observer	NaN
20.336	18.32	0	0.09	H	GROND	days	Vega	apparent	False	observer	NaN
21.245	18.45	0	0.16	H	NOT	days	Vega	apparent	False	observer	NaN
22.285	18.12	0	0.09	H	GROND	days	Vega	apparent	False	observer	NaN
25.375	18.74	0	0.12	H	GROND	days	Vega	apparent	False	observer	NaN
31.498	18.78	0	0.13	H	GROND	days	Vega	apparent	False	observer	NaN
42.342	18.83	0	0.16	H	GROND	days	Vega	apparent	False	observer	NaN
47.386	18.91	0	0.13	H	GROND	days	Vega	apparent	False	observer	NaN
51.206	19.11	0	0.05	H	GTC	days	Vega	apparent	False	observer	NaN
60.337	18.59	0	0.25	H	GROND	days	Vega	apparent	False	observer	NaN
0.283	15.84	0	0.05	K	GROND	days	Vega	apparent	False	observer	NaN
0.296	15.7	0	0.04	K	GROND	days	Vega	apparent	False	observer	NaN
0.308	15.72	0	0.05	K	GROND	days	Vega	apparent	False	observer	NaN
1.554	16.6	0	0.09	K	GROND	days	Vega	apparent	False	observer	NaN
2.557	17.09	0	0.12	K	GROND	days	Vega	apparent	False	observer	NaN
5.498	17.83	0	0.06	K	GROND	days	Vega	apparent	False	observer	NaN
51.21	18.66	0	0.05	K	GTC	days	Vega	apparent	False	observer	NaN
0.037	17.91	0	0.06	w2	UVOT	days	Vega	apparent	False	observer	NaN
0.237	18.65	0	0.04	w2	UVOT	days	Vega	apparent	False	observer	NaN
1.657	20.43	0	0.21	w2	UVOT	days	Vega	apparent	False	observer	NaN
2.913	20.86	0	0.11	w2	UVOT	days	Vega	apparent	False	observer	NaN
3.415	21.15	0	0.22	w2	UVOT	days	Vega	apparent	False	observer	NaN
0.04	17.75	0	0.06	m2	UVOT	days	Vega	apparent	False	observer	NaN
0.305	18.85	0	0.05	m2	UVOT	days	Vega	apparent	False	observer	NaN
0.99	19.85	0	0.1	m2	UVOT	days	Vega	apparent	False	observer	NaN
1.795	20.3	0	0.19	m2	UVOT	days	Vega	apparent	False	observer	NaN
2.916	20.76	0	0.13	m2	UVOT	days	Vega	apparent	False	observer	NaN
0.04	17.65	0	0.05	w1	UVOT	days	Vega	apparent	False	observer	NaN
0.272	18.59	0	0.05	w1	UVOT	days	Vega	apparent	False	observer	NaN
1.001	19.85	0	0.09	w1	UVOT	days	Vega	apparent	False	observer	NaN
1.784	20.51	0	0.18	w1	UVOT	days	Vega	apparent	False	observer	NaN
2.919	20.38	0	0.1	w1	UVOT	days	Vega	apparent	False	observer	NaN
0.032	17.18	0	0.04	u	UVOT	days	Vega	apparent	False	observer	NaN
0.304	18.53	0	0.04	u	UVOT	days	Vega	apparent	False	observer	NaN
0.971	19.27	0	0.05	u	UVOT	days	Vega	apparent	False	observer	NaN
1.786	20.0	0	0.14	u	UVOT	days	Vega	apparent	False	observer	NaN
4.843	20.26	0	0.16	u	UVOT	days	Vega	apparent	False	observer	NaN
0.034	17.24	0	0.05	b	UVOT	days	Vega	apparent	False	observer	NaN
0.309	18.16	0	0.05	b	UVOT	days	Vega	apparent	False	observer	NaN
0.943	18.97	0	0.11	b	UVOT	days	Vega	apparent	False	observer	NaN
1.788	19.11	0	0.14	b	UVOT	days	Vega	apparent	False	observer	NaN
4.846	19.42	0	0.15	b	UVOT	days	Vega	apparent	False	observer	NaN
0.038	17.11	0	0.08	v	UVOT	days	Vega	apparent	False	observer	NaN
0.269	17.86	0	0.06	v	UVOT	days	Vega	apparent	False	observer	NaN
1.793	18.58	0	0.19	v	UVOT	days	Vega	apparent	False	observer	NaN
4.853	19.59	0	0.39	v	UVOT	days	Vega	apparent	False	observer	NaN
