date	mag	dmag	band	instrument	date_unit	mag_unit	mag_type	extinction_corrected
57769.98	20.05	0.02	i	LT	MJD	AB	apparent	true
57770.91	20.33	0.04	r	LT	MJD	AB	apparent	true
57770.91	20.11	0.02	i	LT	MJD	AB	apparent	true
57772.04	21.98	0.01	B	VLT	MJD	AB	apparent	true
57772.04	220.93	0.01	V	VLT	MJD	AB	apparent	true
57772.04	220.25	0.01	R	VLT	MJD	AB	apparent	true
57772.04	219.82	0.01	I	VLT	MJD	AB	apparent	true
57772.91	20.50	0.042	r	LT	MJD	AB	apparent	true
57772.91	20.22	0.02	i	LT	MJD	AB	apparent	true
57778.88	20.52	0.07	r	LT	MJD	AB	apparent	true
57778.88	0.27	0.03	i	LT	MJD	AB	apparent	true
57779.22	22.17	0.02	B	VLT	MJD	AB	apparent	true
57779.22	21.23	0.02	V	VLT	MJD	AB	apparent	true
57779.22	20.56	0.01	R	VLT	MJD	AB	apparent	true
57779.22	20.08	0.01	I	VLT	MJD	AB	apparent	true
57779.92	20.73	0.03	r	LT	MJD	AB	apparent	true
57779.92	20.45	0.03	i	LT	MJD	AB	apparent	true
57836.04	22.64	0.03	B	VLT	MJD	AB	apparent	true
57836.04	21.24	0.01	R	VLT	MJD	AB	apparent	true
