time	mag	mag_limit	dmag	band	instrument	time_unit	mag_unit	mag_type	extinction_corrected	time_frame	dtime	reference	freq	flux_density	dflux_density	freq_unit	flux_density_unit	date	date_unit
15.37	20.2	0	0.03	g	GROND	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
18.385	20.55	0	0.03	g	GROND	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
20.336	20.67	0	0.04	g	GROND	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
21.278	20.58	0	0.04	g	GTC	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
22.286	20.77	0	0.05	g	GROND	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
25.378	20.9	0	0.05	g	GROND	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
28.151	20.88	0	0.02	g	NOT	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
30.188	20.96	0	0.03	g	NOT	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
31.5	21.22	0	0.03	g	GROND	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
34.145	21.02	0	0.03	g	NOT	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
34.229	21.05	0	0.03	g	GTC	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
35.216	21.1	0	0.02	g	NOT	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
37.173	21.05	0	0.03	g	NOT	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
37.368	21.24	0	0.03	g	GROND	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
38.209	21.13	0	0.02	g	GTC	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
40.149	21.16	0	0.03	g	NOT	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
42.345	21.22	0	0.04	g	GROND	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
47.389	21.45	0	0.04	g	GROND	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
51.183	21.23	0	0.07	g	GTC	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
60.34	21.39	0	0.04	g	GROND	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
70.078	21.45	0	0.03	g	NOT	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
71.135	21.26	0	0.04	g	GTC	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0.286	18.07	0	0.01	r	GROND	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0.3	18.1	0	0.01	r	GROND	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0.311	18.12	0	0.0	r	GROND	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1.556	19.25	0	0.02	r	GROND	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.561	19.57	0	0.01	r	GROND	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.505	19.75	0	0.02	r	GROND	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.501	19.74	0	0.02	r	GROND	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.487	19.71	0	0.03	r	GROND	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.27	19.78	0	0.03	r	GTC	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.253	19.69	0	0.02	r	NOT	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9.259	19.64	0	0.03	r	GROND	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
10.306	19.63	0	0.02	r	GROND	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
11.338	19.65	0	0.02	r	GROND	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
12.259	19.64	0	0.05	r	NOT	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
12.291	19.65	0	0.02	r	GROND	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
13.213	19.67	0	0.02	r	NOT	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
13.278	19.74	0	0.03	r	GTC	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
13.345	19.69	0	0.02	r	GROND	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
14.358	19.69	0	0.02	r	GROND	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
15.299	19.66	0	0.03	r	NOT	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
15.37	19.7	0	0.02	r	GROND	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
18.385	19.75	0	0.02	r	GROND	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
20.336	19.83	0	0.02	r	GROND	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
21.28	19.82	0	0.03	r	GTC	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
22.286	19.95	0	0.02	r	GROND	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
25.378	20.08	0	0.02	r	GROND	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
28.159	20.15	0	0.02	r	NOT	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
30.196	20.18	0	0.0	r	NOT	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
31.5	20.27	0	0.02	r	GTC	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
34.156	20.35	0	0.02	r	NOT	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
34.23	20.33	0	0.02	r	GTC	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
35.21	20.39	0	0.02	r	NOT	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
37.181	20.44	0	0.02	r	NOT	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
37.368	20.43	0	0.03	r	GROND	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
38.213	20.5	0	0.04	r	GTC	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
40.157	20.46	0	0.02	r	NOT	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
42.345	20.63	0	0.02	r	GROND	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
47.389	20.61	0	0.02	r	GROND	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
51.184	20.73	0	0.05	r	GTC	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
60.34	20.78	0	0.02	r	GROND	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
70.09	20.83	0	0.02	r	NOT	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
71.143	20.84	0	0.04	r	GTC	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0.285	17.94	0	0.03	i	GROND	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0.3	17.97	0	0.02	i	GROND	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0.311	17.99	0	0.01	i	GROND	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1.557	19.07	0	0.02	i	GROND	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.561	19.37	0	0.02	i	GROND	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.504	19.69	0	0.02	i	GROND	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.501	19.76	0	0.02	i	GROND	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.488	19.74	0	0.03	i	GROND	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.273	19.81	0	0.02	i	GTC	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.261	19.75	0	0.02	i	NOT	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
