Filename,Type of Data,Reference
GRB130427A-SN2013cq_Optical1.txt,"Early, Late, NIR, Optical",https://ui.adsabs.harvard.edu/abs/2017ApJ...837..116B/abstract
GRB130427A-SN2013cq_Optical2.txt,"Early, Late, NIR, Optical",https://ui.adsabs.harvard.edu/abs/2017ApJ...837..116B/abstract
GRB130427A-SN2013cq_Xray1.txt,"Late, Xray",https://ui.adsabs.harvard.edu/abs/2016MNRAS.462.1111D/abstract
GRB130427A-SN2013cq_Optical3.txt,"Late, Optical",https://ui.adsabs.harvard.edu/abs/2014ApJ...792..115L/abstract
GRB130427A-SN2013cq_UV_Optical.txt,"Early, Optical, UV",https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract
GRB130427A-SN2013cq_Radio1.txt,"Early, Late, Radio",https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract
GRB130427A-SN2013cq_SED.txt,SED,https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract
GRB130427A-SN2013cq_Radio2.txt,"Early, Late, Radio",https://ui.adsabs.harvard.edu/abs/2014MNRAS.444.3151V/abstract
