GRB/SN,Filename,Status,Reference,Note
GRB990712,GRB990712_Optical_1.txt,"Early, Late, Optical",https://ui.adsabs.harvard.edu/abs/2001ApJ...552L.121B/abstract,
GRB990712,GRB990712_Optical_2.txt,"Early, Late, Optical",https://ui.adsabs.harvard.edu/abs/2000ApJ...540...74S/abstract,
