col1	col2	col3	col4	col5	col6	col7
91961.499	450.370	-562.579	2.349240712e-12	5.338171384e-13	-5.338171384e-13	7
95804.742	80.851	-144.808	5.999152432e-12	1.564746456e-12	-1.564746456e-12	7
96138.217	344.111	-252.625	4.386927272e-12	8.27575112e-13	-8.27575112e-13	7
107663.057	116.103	-94.512	6.422417456e-12	1.668505384e-12	-1.668505384e-12	7
108012.073	200.849	-232.913	3.501179136e-12	8.64775184e-13	-8.64775184e-13	7
113238.034	138.877	-192.089	4.505153016e-12	1.138061288e-12	-1.138061288e-12	7
113533.918	128.827	-157.008	4.818149336e-12	1.265622176e-12	-1.265622176e-12	7
113788.501	142.527	-125.756	5.187249704e-12	1.352913016e-12	-1.352913016e-12	7
114227.446	285.270	-296.418	3.579094064e-12	7.69964104e-13	-7.69964104e-13	7
125382.512	349.003	-327.968	3.86731436e-12	7.36027656e-13	-7.36027656e-13	7
131126.461	305.022	-432.124	3.235247288e-12	6.550651016e-13	-6.550651016e-13	7
136456.258	226.971	-219.331	3.537827384e-12	9.19809072e-13	-9.19809072e-13	7
138443.265	4209.277	-1760.037	2.377259976e-12	4.777355128e-13	-4.777355128e-13	7
205863.238	228.797	-367.945	2.380856296e-12	6.228446952e-13	-6.228446952e-13	7
206604.574	487.869	-512.539	1.679236832e-12	4.069344552e-13	-4.069344552e-13	7
210946.425	405.348	-389.466	1.907251528e-12	4.851223104e-13	-4.851223104e-13	7
219138.360	3913.964	-2315.241	1.284527608e-12	2.168944232e-13	-2.168944232e-13	7
292468.364	4287.244	-1285.241	7.68457872e-13	2.099984432e-13	-2.099984432e-13	7
297373.310	919.272	-617.702	1.14900968e-12	2.720258632e-13	-2.720258632e-13	7
303067.952	924.616	-767.812	1.19641704e-12	2.625896e-13	-2.625896e-13	7
406211.619	7102.293	-5787.289	7.58613128e-13	1.572136384e-13	-1.572136384e-13	7
497679.415	7673.766	-5711.252	3.997351176e-13	9.63479608e-14	-9.63479608e-14	7
625595.991	56817.720	-35514.411	4.565100904e-13	9.07817456e-14	-9.07817456e-14	7
820222.257	86890.056	-75194.092	2.009922824e-13	4.507391616e-14	-4.507391616e-14	7
1217466.942	486466.056	-226407.731	7.140969472e-14	1.759562168e-14	-1.759562168e-14	7
2399662.723	77950.120	-266688.945	1.2189632e-13	0	0	8
