date	time	band	integration	mag	mag_limit	dmag	date_unit	time_unit	integration_unit	mag_unit	mag_type	instrument	time_frame	extinction_corrected	dtime	reference	flux_density	dflux_density	flux_density_unit
2011-Jan-13	18.24100	ACS/F606W	880	24.6	0	0.04	yyyy-month-deciday	days	seconds	AB	apparent	HST	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...13L/abstract	NaN	NaN	NaN
2011-Jan-13	18.25800	ACS/F435W	1020	26.24	0	0.16	yyyy-month-deciday	days	seconds	AB	apparent	HST	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...13L/abstract	NaN	NaN	NaN
2010-Dec-26	1.17100	r	300	22.68	0	0.08	yyyy-month-deciday	days	seconds	AB	apparent	WHT	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...13L/abstract	NaN	NaN	NaN
2010-Dec-26	1.17550	i	300	23.15	0	0.25	yyyy-month-deciday	days	seconds	AB	apparent	WHT	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...13L/abstract	NaN	NaN	NaN
2010-Dec-26	1.17990	i	300	23.25	0	0.24	yyyy-month-deciday	days	seconds	AB	apparent	WHT	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...13L/abstract	NaN	NaN	NaN
2010-Dec-26	1.83800	r	300	22.7	0	0.07	yyyy-month-deciday	days	seconds	AB	apparent	WHT	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...13L/abstract	NaN	NaN	NaN
2010-Dec-26	1.18800	r	300	22.69	0	0.08	yyyy-month-deciday	days	seconds	AB	apparent	WHT	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...13L/abstract	NaN	NaN	NaN
2010-Dec-26	1.19210	i	300	23.23	0	0.16	yyyy-month-deciday	days	seconds	AB	apparent	WHT	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...13L/abstract	NaN	NaN	NaN
2010-Dec-27	1.51000	r	120	22.84	0	0.03	yyyy-month-deciday	days	seconds	AB	apparent	Gemini	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...13L/abstract	NaN	NaN	NaN
2010-Dec-30	4.41010	r	720	23.5	0	0.1	yyyy-month-deciday	days	seconds	AB	apparent	Gemini	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...13L/abstract	NaN	NaN	NaN
2011-Jan-09	15.05270	r	1500	24.1	0	0.14	yyyy-month-deciday	days	seconds	AB	apparent	WHT	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...13L/abstract	NaN	NaN	NaN
2011-Jan-09	15.07320	B	3600	25.88	0	0.4	yyyy-month-deciday	days	seconds	AB	apparent	WHT	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...13L/abstract	NaN	NaN	NaN
2011-Jan-10	15.42930	g	1200	25.22	0	0.1	yyyy-month-deciday	days	seconds	AB	apparent	Gemini	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...13L/abstract	NaN	NaN	NaN
2011-Jan-10	15.44670	r	1440	24.32	0	0.03	yyyy-month-deciday	days	seconds	AB	apparent	Gemini	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...13L/abstract	NaN	NaN	NaN
2011-Jan-10	15.46820	i	1890	24.13	0	0.04	yyyy-month-deciday	days	seconds	AB	apparent	Gemini	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...13L/abstract	NaN	NaN	NaN
2011-Jan-19	25.06570	r	3600	25.01	0	0.32	yyyy-month-deciday	days	seconds	AB	apparent	WHT	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...13L/abstract	NaN	NaN	NaN
2011-Jan-23	28.49110	r	900	24.87	0	0.08	yyyy-month-deciday	days	seconds	AB	apparent	Gemini	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...13L/abstract	NaN	NaN	NaN
2011-Feb-03	39.48700	g	900	26.25	0	0.32	yyyy-month-deciday	days	seconds	AB	apparent	Gemini	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...13L/abstract	NaN	NaN	NaN
2011-Feb-03	39.47240	r	900	24.71	0	0.19	yyyy-month-deciday	days	seconds	AB	apparent	Gemini	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...13L/abstract	NaN	NaN	NaN
2011-Feb-03	39.45850	i	900	24.62	0	0.08	yyyy-month-deciday	days	seconds	AB	apparent	Gemini	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...13L/abstract	NaN	NaN	NaN
2011-Feb-03	39.44180	z	1260	24.9	0	0.25	yyyy-month-deciday	days	seconds	AB	apparent	Gemini	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...13L/abstract	NaN	NaN	NaN
2011-Jul-01	187.78100	g	3000	26.79	0	0.14	yyyy-month-deciday	days	seconds	AB	apparent	Gemini	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...13L/abstract	NaN	NaN	NaN
NaN	0.01848	UVW2	168	21.36	1	NaN	NaN	days	seconds	AB	apparent	UVOT	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2011Natur.480...72T/abstract	<10.38	NaN	microJy
NaN	0.07041	UVW2	1431	21.56	0	0.2	NaN	days	seconds	AB	apparent	UVOT	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2011Natur.480...72T/abstract	8.65	1.8	microJy
NaN	0.17373	UVW2	6719	21.63	0	0.11	NaN	days	seconds	AB	apparent	UVOT	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2011Natur.480...72T/abstract	8.06	0.88	microJy
NaN	0.30739	UVW2	6679	21.76	0	0.12	NaN	days	seconds	AB	apparent	UVOT	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2011Natur.480...72T/abstract	7.19	0.85	microJy
NaN	0.45280	UVW2	5805	21.96	0	0.15	NaN	days	seconds	AB	apparent	UVOT	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2011Natur.480...72T/abstract	5.96	0.91	microJy
NaN	0.81302	UVW2	12039	22.57	0	0.17	NaN	days	seconds	AB	apparent	UVOT	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2011Natur.480...72T/abstract	3.42	0.58	microJy
NaN	1.00869	UVW2	11753	22.37	0	0.16	NaN	days	seconds	AB	apparent	UVOT	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2011Natur.480...72T/abstract	4.08	0.67	microJy
NaN	1.41736	UVW2	23440	22.61	0	0.2	NaN	days	seconds	AB	apparent	UVOT	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2011Natur.480...72T/abstract	3.27	0.66	microJy
NaN	1.75211	UVW2	23368	23.45	0	0.3	NaN	days	seconds	AB	apparent	UVOT	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2011Natur.480...72T/abstract	1.51	0.49	microJy
