time	band	mag	mag_limit	dmag	instrument	time_unit	mag_unit	mag_type	time_frame	exinction_corrected	dtime
48351	U	17.27	0	0.02	XMM-Newton	seconds	AB	apparent	observer	False	NaN
52707	U	17.43	0	0.02	XMM-Newton	seconds	AB	apparent	observer	False	NaN
70984	uvw1	17.53	0	0.04	XMM-Newton	seconds	AB	apparent	observer	False	NaN
75291	uvw1	17.57	0	0.04	XMM-Newton	seconds	AB	apparent	observer	False	NaN
84105	uvw1	17.71	0	0.04	XMM-Newton	seconds	AB	apparent	observer	False	NaN
88612	uvw1	17.83	0	0.05	XMM-Newton	seconds	AB	apparent	observer	False	NaN
92919	uvm2	17.89	0	0.12	XMM-Newton	seconds	AB	apparent	observer	False	NaN
97226	uvm2	17.98	0	0.13	XMM-Newton	seconds	AB	apparent	observer	False	NaN
101533	uvm2	17.73	0	0.11	XMM-Newton	seconds	AB	apparent	observer	False	NaN
