time	band	mag	mag_limit	dmag	mag_unit	time_unit	mag_type	time_frame	extinction_corrected	instrument	dtime	reference	exinction_corrected	integration	integration_unit
9.124	F222M	20.38	0	0.3	AB	days	apparent	observer	True	HST	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract	NaN	NaN	NaN
16.46	F222M	22.1	1	NaN	AB	days	apparent	observer	True	HST	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract	NaN	NaN	NaN
27.127	F222M	21.7	1	NaN	AB	days	apparent	observer	True	HST	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract	NaN	NaN	NaN
0.5596180555555555	U	17.27	0	0.02	AB	days	apparent	observer	NaN	XMM-Newton	NaN	https://ui.adsabs.harvard.edu/abs/2007ApJ...662..443G/abstract	False	NaN	NaN
0.6100347222222222	U	17.43	0	0.02	AB	days	apparent	observer	NaN	XMM-Newton	NaN	https://ui.adsabs.harvard.edu/abs/2007ApJ...662..443G/abstract	False	NaN	NaN
0.8215740740740741	uvw1	17.53	0	0.04	AB	days	apparent	observer	NaN	XMM-Newton	NaN	https://ui.adsabs.harvard.edu/abs/2007ApJ...662..443G/abstract	False	NaN	NaN
0.8714236111111111	uvw1	17.57	0	0.04	AB	days	apparent	observer	NaN	XMM-Newton	NaN	https://ui.adsabs.harvard.edu/abs/2007ApJ...662..443G/abstract	False	NaN	NaN
0.9734375	uvw1	17.71	0	0.04	AB	days	apparent	observer	NaN	XMM-Newton	NaN	https://ui.adsabs.harvard.edu/abs/2007ApJ...662..443G/abstract	False	NaN	NaN
1.025601851851852	uvw1	17.83	0	0.05	AB	days	apparent	observer	NaN	XMM-Newton	NaN	https://ui.adsabs.harvard.edu/abs/2007ApJ...662..443G/abstract	False	NaN	NaN
1.0754513888888888	uvm2	17.89	0	0.12	AB	days	apparent	observer	NaN	XMM-Newton	NaN	https://ui.adsabs.harvard.edu/abs/2007ApJ...662..443G/abstract	False	NaN	NaN
1.125300925925926	uvm2	17.98	0	0.13	AB	days	apparent	observer	NaN	XMM-Newton	NaN	https://ui.adsabs.harvard.edu/abs/2007ApJ...662..443G/abstract	False	NaN	NaN
1.175150462962963	uvm2	17.73	0	0.11	AB	days	apparent	observer	NaN	XMM-Newton	NaN	https://ui.adsabs.harvard.edu/abs/2007ApJ...662..443G/abstract	False	NaN	NaN
0.452	B	18.22	0	0.09	Vega	days	apparent	observer	True	PROMPT	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract	NaN	NaN	NaN
0.452	z	17.36	0	0.08	AB	days	apparent	observer	True	PROMPT	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract	NaN	NaN	NaN
0.481	z	17.29	0	0.07	AB	days	apparent	observer	True	PROMPT	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract	NaN	NaN	NaN
0.515	z	17.22	0	0.06	AB	days	apparent	observer	True	PROMPT	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract	NaN	NaN	NaN
0.551	z	17.49	0	0.07	AB	days	apparent	observer	True	PROMPT	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract	NaN	NaN	NaN
0.571	B	18.4	0	0.04	Vega	days	apparent	observer	True	PROMPT	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract	NaN	NaN	NaN
0.594	z	17.49	0	0.07	AB	days	apparent	observer	True	PROMPT	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract	NaN	NaN	NaN
1.574	z	18.43	0	0.17	AB	days	apparent	observer	True	PROMPT	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract	NaN	NaN	NaN
4.601	R_{c}	20.24	0	0.04	Vega	days	apparent	observer	True	Gemini-S	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract	NaN	NaN	NaN
4.613	g	20.91	0	0.04	AB	days	apparent	observer	True	Gemini-S	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract	NaN	NaN	NaN
4.626	I_{c}	19.92	0	0.03	Vega	days	apparent	observer	True	Gemini-S	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract	NaN	NaN	NaN
4.638	z	20.51	0	0.04	AB	days	apparent	observer	True	Gemini-S	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract	NaN	NaN	NaN
17.598	R_{c}	21.9	0	0.06	Vega	days	apparent	observer	True	CTIO	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract	NaN	NaN	NaN
