time	integration	mag	mag_limit	dmag	band	instrument	time_unit	integration_unit	mag_unit	mag_type	time_frame	extinction_corrected	dtime
30692	211	17.53	0	0.1	v	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
41205	208	18.12	0	0.08	b	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
35167	211	17.2	0	0.06	u	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
34840	422	17.35	0	0.05	uvw1	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
36892	599	17.4	0	0.06	uvm2	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
35931	845	17.64	0	0.04	uvw1	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
36475	211	17.98	0	0.13	v	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
47494	147	18.22	0	0.09	b	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
40989	207	17.26	0	0.06	u	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
40666	415	17.35	0	0.05	uvw1	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
42681	587	17.45	0	0.06	uvm2	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
41738	829	17.76	0	0.05	uvw1	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
42273	207	17.86	0	0.13	v	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
56873	129	18.31	0	0.11	b	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
47340	147	17.18	0	0.07	u	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
47109	296	17.24	0	0.06	uvw1	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
48550	416	17.25	0	0.06	uvm2	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
47877	592	17.56	0	0.05	uvw1	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
48259	147	17.47	0	0.11	v	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
67943	42	18.94	0	0.33	b	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
53746	83	17.32	0	0.1	u	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
52836	183	17.36	0	0.08	uvw1	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
54427	229	17.63	0	0.1	uvm2	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
54050	330	17.78	0	0.08	uvw1	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
54265	83	18.12	0	0.26	v	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
75864	211	18.77	0	0.12	b	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
62872	69	17.24	0	0.11	u	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
58802	385	17.6	0	0.06	uvw1	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
63155	177	17.93	0	0.14	uvm2	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
62989	277	18.18	0	0.1	uvw1	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
63099	69	18.29	0	0.35	v	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
81646	211	18.88	0	0.13	b	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
69860	211	17.75	0	0.08	u	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
64698	436	17.76	0	0.07	uvw1	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
100500	603	18.66	0	0.11	uvm2	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
76105	249	18.14	0	0.1	uvw1	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
91349	223	18.68	0	0.22	v	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
87426	211	18.96	0	0.14	b	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
75644	211	17.84	0	0.08	u	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
69533	422	17.85	0	0.07	uvw1	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
106280	599	18.57	0	0.11	uvm2	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
82086	640	18.48	0	0.08	uvw1	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
100080	211	18.45	0	0.22	v	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
93208	211	18.72	0	0.11	b	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
81426	211	18.07	0	0.1	u	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
75315	423	17.93	0	0.07	uvw1	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
112060	597	18.58	0	0.11	uvm2	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
87970	846	18.54	0	0.07	uvw1	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
105860	211	18.87	0	0.28	v	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
98988	211	19.11	0	0.15	b	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
87206	211	17.98	0	0.1	u	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
81097	423	18.05	0	0.08	uvw1	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
117840	600	18.52	0	0.1	uvm2	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
93752	846	18.84	0	0.08	uvw1	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
111650	211	18.49	0	0.19	v	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
104770	211	19.02	0	0.13	b	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
92987	211	18.03	0	0.1	u	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
86877	423	18.17	0	0.08	uvw1	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
123630	600	18.9	0	0.13	uvm2	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
99532	847	18.79	0	0.08	uvw1	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
117430	211	19.03	0	0.32	v	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
110560	211	18.84	0	0.13	b	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
98767	211	18.4	0	0.12	u	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
92658	423	18.35	0	0.09	uvw1	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
129410	601	18.81	0	0.12	uvm2	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
105320	846	18.68	0	0.07	uvw1	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
123210	211	18.4	0	0.2	v	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
116340	211	19.18	0	0.16	b	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
104550	211	18.23	0	0.11	u	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
98438	423	18.33	0	0.09	uvw1	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
135340	294	18.79	0	0.17	uvm2	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
111100	846	18.74	0	0.08	uvw1	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
128990	211	18.92	0	0.27	v	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
122120	211	19.62	0	0.23	b	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
110340	211	18.5	0	0.14	u	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
104230	423	18.53	0	0.1	uvw1	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
146960	342	18.99	0	0.19	uvm2	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
116880	846	18.87	0	0.08	uvw1	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
135120	111	18.77	0	0.38	v	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
127900	211	19.32	0	0.17	b	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
116120	211	18.33	0	0.12	u	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
110010	423	18.52	0	0.1	uvw1	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
195280	737	19.62	0	0.2	uvm2	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
122660	845	19.05	0	0.09	uvw1	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
158090	156	19.36	0	0.56	v	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
140600	225	19.37	0	0.19	b	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
121900	211	18.6	0	0.16	u	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
115790	423	18.56	0	0.1	uvw1	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
204280	189	19.48	0	0.11	uvm2	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
128450	845	19.05	0	0.09	uvw1	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
226950	941	19.82	0	0.29	v	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
154780	180	19.77	0	0.3	b	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
127680	211	18.43	0	0.12	u	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
121570	422	18.63	0	0.11	uvw1	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
235840	471	19.84	0	0.29	uvm2	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
134830	445	19.07	0	0.13	uvw1	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
319820	1374	20.22	0	0.34	v	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
168380	211	19.66	0	0.24	b	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
134430	110	18.46	0	0.17	u	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
127360	423	18.76	0	0.11	uvw1	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
288290	1550	19.86	0	0.16	uvm2	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
146750	522	18.84	0	0.11	uvw1	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
576790	5531	21.04	0	0.4	v	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
174170	209	20.0	0	0.32	b	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
146620	178	19.08	0	0.25	u	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
137350	412	18.79	0	0.12	uvw1	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
331760	2240	20.21	0	0.18	uvm2	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
168860	729	19.32	0	0.11	uvw1	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
897975	2368	20.92	1	NaN	v	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
179940	211	20.0	0	0.32	b	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
156590	211	18.64	0	0.15	u	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
145550	291	18.76	0	0.14	uvw1	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
397970	3140	20.33	0	0.16	uvm2	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
174710	839	19.2	0	0.1	uvw2	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
194290	275	19.68	0	0.2	b	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
168160	211	18.7	0	0.15	u	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
150480	423	18.78	0	0.12	uvw1	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
487880	2980	20.59	0	0.2	uvm2	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
180340	556	19.31	0	0.13	uvw2	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
206460	273	19.29	0	0.15	b	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
173950	209	18.84	0	0.16	u	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
154560	456	18.94	0	0.12	uvw1	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
663250	8830	21.68	0	0.3	uvm2	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
194650	1100	19.6	0	0.11	uvw2	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
319120	1374	20.11	0	0.14	b	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
179720	211	19.09	0	0.21	u	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
162860	261	19.18	0	0.19	uvw1	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
926689	3976	21.96	1	NaN	uvm2	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
206810	1092	19.51	0	0.1	uvw2	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
449360	2304	20.38	0	0.13	b	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
194150	275	18.82	0	0.13	u	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
167830	423	19.04	0	0.13	uvw1	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
218500	8795	19.52	0	0.12	uvw2	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
662500	3619	21.23	0	0.2	b	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
206310	273	19.03	0	0.16	u	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
173630	420	18.98	0	0.13	uvw1	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
250410	1111	19.84	0	0.13	uvw2	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
897470	2368	21.48	0	0.29	b	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
221160	280	19.35	0	0.22	u	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
179390	423	19.2	0	0.15	uvw1	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
