date	seeing	instrument	band	mag	mag_limit	dmag	date_unit	mag_unit	time	time_unit	time_frame	dtime	reference	integration	integration_unit
2003-Dec-04.300	0.9	SofI	H	17.36	0	0.042	yyyy-month-deciday	unspecified	0.3823032407407407	days	observer	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...609L...5M/abstract	NaN	NaN
2003-Dec-05.271	0.5	ISAAC	H	17.617	0	0.035	yyyy-month-deciday	unspecified	1.3533101851851852	days	observer	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...609L...5M/abstract	NaN	NaN
2003-Dec-14.148	0.9	SofI	H	17.354	0	0.033	yyyy-month-deciday	unspecified	10.2303125	days	observer	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...609L...5M/abstract	NaN	NaN
2004-Feb-28.104	0.5	ISAAC	H	17.55	0	0.019	yyyy-month-deciday	unspecified	86.18630787037037	days	observer	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...609L...5M/abstract	NaN	NaN
2003-Dec-04.204	0.9	SofI	K	16.38	0	0.036	yyyy-month-deciday	unspecified	0.2863078703703704	days	observer	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...609L...5M/abstract	NaN	NaN
2003-Dec-04.312	0.8	SofI	K	16.343999999999998	0	0.033	yyyy-month-deciday	unspecified	0.3943055555555556	days	observer	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...609L...5M/abstract	NaN	NaN
2003-Dec-05.267	0.5	ISAAC	K	16.541	0	0.025	yyyy-month-deciday	unspecified	1.3493055555555555	days	observer	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...609L...5M/abstract	NaN	NaN
2003-Dec-14.154	0.8	SofI	K	16.426	0	0.044	yyyy-month-deciday	unspecified	10.23630787037037	days	observer	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...609L...5M/abstract	NaN	NaN
2003-Dec-23.188	1.0	SofI	K	16.462	0	0.107	yyyy-month-deciday	unspecified	19.2703125	days	observer	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...609L...5M/abstract	NaN	NaN
2004-Feb-28.095	0.5	ISAAC	K	16.634999999999998	0	0.055	yyyy-month-deciday	unspecified	86.17730324074074	days	observer	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...609L...5M/abstract	NaN	NaN
2003-Dec-24.507	1.5	MAGNUM	I	19.16	0	0.03	yyyy-month-deciday	unspecified	20.589305555555555	days	observer	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...609L...5M/abstract	NaN	NaN
2004-Jan-06.447	1.4	MAGNUM	I	19.16	0	0.03	yyyy-month-deciday	unspecified	33.52930555555555	days	observer	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...609L...5M/abstract	NaN	NaN
2003-Dec-24.503	1.1	MAGNUM	K	16.61	0	0.04	yyyy-month-deciday	unspecified	20.5853125	days	observer	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...609L...5M/abstract	NaN	NaN
2004-Jan-06.445	1.1	MAGNUM	K	16.58	0	0.04	yyyy-month-deciday	unspecified	33.527314814814815	days	observer	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...609L...5M/abstract	NaN	NaN
2004-May-22.02	0.6	FORS1	R	20.44	0	0.02	yyyy-month-deciday	NaN	170.10230324074075	days	observer	NaN	https://ui.adsabs.harvard.edu/abs/2006ApJ...645.1323M/abstract	2 \times 2	minutes
2004-May-22.02	0.6	FORS1	I	19.4	0	0.04	yyyy-month-deciday	NaN	170.10230324074075	days	observer	NaN	https://ui.adsabs.harvard.edu/abs/2006ApJ...645.1323M/abstract	2 \times 2	minutes
NaN	NaN	SMARTS	I	19.12	0	0.03	NaN	unspecified	0.21	days	NaN	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...608L..93C/abstract	NaN	NaN
NaN	NaN	SMARTS	I	19.19	0	0.03	NaN	unspecified	0.26	days	NaN	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...608L..93C/abstract	NaN	NaN
NaN	NaN	SMARTS	I	19.23	0	0.03	NaN	unspecified	0.29	days	NaN	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...608L..93C/abstract	NaN	NaN
NaN	NaN	SMARTS	I	19.17	0	0.03	NaN	unspecified	0.31	days	NaN	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...608L..93C/abstract	NaN	NaN
