band	instrument	time	integration	mag	mag_limit	dmag	flux_density	dflux_density	time_unit	integration_unit	mag_unit	mag_type	flux_density_unit	time_frame	extinction_corrected	extinction	dtime
R	FTN	4717.38	120.0	21.1	0	0.2	0.0119	0.0022	seconds	seconds	AB	apparent	milliJy	observer	False	0.07	NaN
i′	FTN	4350.3	180.0	20.96	0	0.14	0.0157	0.002	seconds	seconds	AB	apparent	milliJy	observer	False	0.05	NaN
R	FTN	5318.52	180.0	21.3	0	0.21	0.0099	0.0019	seconds	seconds	AB	apparent	milliJy	observer	False	0.07	NaN
i′	FTN	4884.3	120.0	20.96	0	0.16	0.0157	0.0023	seconds	seconds	AB	apparent	milliJy	observer	False	0.05	NaN
R	FTN	6084.0	240.0	21.15	0	0.15	0.0114	0.0015	seconds	seconds	AB	apparent	milliJy	observer	False	0.07	NaN
i′	FTN	5543.94	180.0	21.58	0	0.3	0.0089	0.0024	seconds	seconds	AB	apparent	milliJy	observer	False	0.05	NaN
R	Lulin	6765.0	600.0	21.26	0	0.17	0.0103	0.0016	seconds	seconds	AB	apparent	milliJy	observer	False	0.07	NaN
R	Lulin	7518.6	900.0	21.7	0	0.14	0.0068	0.0009	seconds	seconds	AB	apparent	milliJy	observer	False	0.07	NaN
J	UKIRT	2354.4	180.0	18.27	0	0.08	0.0802	0.0059	seconds	seconds	AB	apparent	milliJy	observer	False	0.025	NaN
R	Lulin	14179.2	1800.0	22.43	0	0.17	0.0035	0.0005	seconds	seconds	AB	apparent	milliJy	observer	False	0.07	NaN
J	UKIRT	2930.4	180.0	18.56	0	0.09	0.0614	0.0051	seconds	seconds	AB	apparent	milliJy	observer	False	0.025	NaN
R	Kiso	3063.0	300.0	20.13	0	0.11	0.0292	0.0029	seconds	seconds	AB	apparent	milliJy	observer	False	0.07	NaN
R	Kiso	3999.0	300.0	20.75	0	0.2	0.0165	0.003	seconds	seconds	AB	apparent	milliJy	observer	False	0.07	NaN
H	UKIRT	2642.4	180.0	17.83	0	0.13	0.0766	0.0092	seconds	seconds	AB	apparent	milliJy	observer	False	0.016	NaN
R	Kiso	4912.8	300.0	20.9	0	0.23	0.0144	0.003	seconds	seconds	AB	apparent	milliJy	observer	False	0.07	NaN
R	Kiso	6734.4	900.0	21.66	0	0.34	0.0071	0.0022	seconds	seconds	AB	apparent	milliJy	observer	False	0.07	NaN
K	UKIRT	3225.6	180.0	17.26	0	0.18	0.0838	0.0139	seconds	seconds	AB	apparent	milliJy	observer	False	0.01	NaN
R	Maidanak	21168.0	55.0	22.45	0	0.32	0.0034	0.001	seconds	seconds	AB	apparent	milliJy	observer	False	0.07	NaN
K	UKIRT	5994.0	900.0	18.3	0	0.18	0.0321	0.0053	seconds	seconds	AB	apparent	milliJy	observer	False	0.01	NaN
R	KPNO4-m	62218.2	300.0	23.37	0	0.2	0.0014	0.0003	seconds	seconds	AB	apparent	milliJy	observer	False	0.07	NaN
