time	dtime	band	mag	mag_limit	dmag	instrument	time_unit	time_frame	mag_unit	mag_type	extinction_corrected	reference	date	date_unit
46.015		i	23.1	0	0.1	LT	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
65.657	5.428	r	24.23	0	0.35	P60	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
47.025		i	23.34	0	0.08	NOT	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
77.99		r	24.05	0	0.07	GTC	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
47.309		i	23.28	0	0.23	P60	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
85.386		r	24.28	0	0.08	Keck	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
49.175		i	23.37	0	0.19	P60	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
120.764		r	24.22	0	0.11	GTC	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
57.901		i	23.72	0	0.1	NOT	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
1.213		i	21.3	0	0.11	P60	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
60.154		i	23.74	0	0.36	P60	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
2.317		i	22.04	0	0.12	P60	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
78.0		i	23.7	0	0.07	GTC	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
3.031		i	22.41	0	0.06	NOT	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
85.373		i	23.94	0	0.09	Keck	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
5.059		i	22.79	0	0.1	LT	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
86.948		i	23.87	0	0.4	GTC	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
8.045		i	22.87	0	0.53	GTC	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
113.844		i	24.23	0	0.2	NOT	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
9.058		i	22.66	0	0.11	GTC	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
120.746		i	24.05	0	0.08	GTC	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
9.984		i	22.52	0	0.12	GTC	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
3.061		z	22.32	0	0.1	NOT	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
10.053		i	22.57	0	0.11	LT	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
21.004		z	22.63	0	0.1	NOT	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
11.045		i	22.5	0	0.08	LT	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
47.049		z	22.9	0	0.12	NOT	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
12.032		i	22.45	0	0.08	LT	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
78.013		z	23.68	0	0.1	GTC	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
13.053		i	22.41	0	0.07	LT	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
2.408		K	19.56	0	0.12	Keck	days	observer	Vega	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
15.048		i	22.36	0	0.06	LT	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
9.44		K	21.01	0	0.15	Keck	days	observer	Vega	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
0.18		R	19.89	0	0.1	P48	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015ApJ...806...52S/abstract	2014-06-06T07:31	utc
0.2		R	20.06	0	0.09	P48	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015ApJ...806...52S/abstract	2014-06-06T08:07	utc
0.23		R	20.32	0	0.14	P48	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015ApJ...806...52S/abstract	2014-06-06T08:42	utc
0.87		i	21.72	0	0.25	P60	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015ApJ...806...52S/abstract	2014-06-07T00:00	utc
0.87		r	21.53	0	0.07	P60	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015ApJ...806...52S/abstract	2014-06-07T00:00	utc
1.87		r	22.21	0	0.15	P60	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015ApJ...806...52S/abstract	2014-06-08T00:00	utc
1.87		i	21.99	0	0.16	P60	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015ApJ...806...52S/abstract	2014-06-08T00:00	utc
2.25		r	22.16	0	0.04	DCT	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015ApJ...806...52S/abstract	2014-06-08T09:08	utc
2.25		i	22.02	0	0.05	DCT	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015ApJ...806...52S/abstract	2014-06-08T09:16	utc
2.26		g	22.76	0	0.04	DCT	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015ApJ...806...52S/abstract	2014-06-08T09:33	utc
2.41		K_{s}	21.34	0	0.06	Keck I	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015ApJ...806...52S/abstract	2014-06-08T13:04	utc
3.24		g	23.41	0	0.06	DCT	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015ApJ...806...52S/abstract	2014-06-09T09:04	utc
3.26		r	22.72	0	0.04	DCT	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015ApJ...806...52S/abstract	2014-06-09T09:27	utc
3.26		i	22.53	0	0.07	DCT	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015ApJ...806...52S/abstract	2014-06-09T09:28	utc
4.25		g	23.67	0	0.11	DCT	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015ApJ...806...52S/abstract	2014-06-10T09:16	utc
4.27		r	22.91	0	0.06	DCT	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015ApJ...806...52S/abstract	2014-06-10T09:34	utc
4.27		i	22.66	0	0.05	DCT	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015ApJ...806...52S/abstract	2014-06-10T09:44	utc
5.22		g	24.28	0	0.24	DCT	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015ApJ...806...52S/abstract	2014-06-11T08:33	utc
5.23		r	22.88	0	0.07	DCT	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015ApJ...806...52S/abstract	2014-06-11T08:39	utc
5.27		i	22.72	0	0.08	DCT	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015ApJ...806...52S/abstract	2014-06-11T09:37	utc
6.3		g	23.41	1		DCT	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015ApJ...806...52S/abstract	2014-06-12T10:24	utc
6.3		r	23.28	0	0.1	DCT	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015ApJ...806...52S/abstract	2014-06-12T10:30	utc
6.31		i	22.66	0	0.08	DCT	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015ApJ...806...52S/abstract	2014-06-12T10:35	utc
7.25		r	22.95	0	0.09	DCT	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015ApJ...806...52S/abstract	2014-06-13T09:08	utc
7.31		g	23.88	1		DCT	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015ApJ...806...52S/abstract	2014-06-13T10:38	utc
7.32		i	22.87	0	0.07	DCT	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015ApJ...806...52S/abstract	2014-06-13T10:50	utc
8.26		r	23.06	0	0.1	DCT	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015ApJ...806...52S/abstract	2014-06-14T09:23	utc
18.87		r	22.53	0	0.13	P60	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015ApJ...806...52S/abstract	2014-06-25T00:00	utc
19.87		g	22.72	1		P60	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015ApJ...806...52S/abstract	2014-06-26T00:00	utc
19.87		i	22.34	0	0.2	P60	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015ApJ...806...52S/abstract	2014-06-26T00:00	utc
20.87		i	22.6	0	0.3	P60	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015ApJ...806...52S/abstract	2014-06-27T00:00	utc
20.87		r	22.53	1		P60	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015ApJ...806...52S/abstract	2014-06-27T00:00	utc
21.87		i	22.85	0	0.28	P60	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015ApJ...806...52S/abstract	2014-06-28T00:00	utc
21.87		r	22.77	0	0.23	P60	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015ApJ...806...52S/abstract	2014-06-28T00:00	utc
22.87		i	22.31	0	0.2	P60	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015ApJ...806...52S/abstract	2014-06-29T00:00	utc
22.87		r	22.95	0	0.18	P60	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015ApJ...806...52S/abstract	2014-06-29T00:00	utc
22.87		g	23.74	1		P60	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015ApJ...806...52S/abstract	2014-06-29T00:00	utc
23.87		r	23.15	0	0.16	P60	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015ApJ...806...52S/abstract	2014-06-30T00:00	utc
23.87		g	23.88	1		P60	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015ApJ...806...52S/abstract	2014-06-30T00:00	utc
23.87		i	22.5	0	0.13	P60	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015ApJ...806...52S/abstract	2014-06-30T00:00	utc
24.87		g	23.4	1		P60	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015ApJ...806...52S/abstract	2014-07-01T00:00	utc
24.87		i	22.46	0	0.22	P60	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015ApJ...806...52S/abstract	2014-07-01T00:00	utc
24.87		r	23.45	0	0.29	P60	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015ApJ...806...52S/abstract	2014-07-01T00:00	utc
25.87		i	22.86	0	0.25	P60	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015ApJ...806...52S/abstract	2014-07-02T00:00	utc
28.87		i	22.46	0	0.38	P60	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015ApJ...806...52S/abstract	2014-07-05T00:00	utc
30.87		i	22.52	0	0.25	P60	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015ApJ...806...52S/abstract	2014-07-07T00:00	utc
31.87		i	22.26	0	0.15	P60	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015ApJ...806...52S/abstract	2014-07-08T00:00	utc
33.87		i	22.48	0	0.19	P60	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015ApJ...806...52S/abstract	2014-07-10T00:00	utc
