58725.120411 OSIRIS+R1000R 600s    spec_58725.120411_OSIRIS+R1000R_600s.dat
58725.127789 OSIRIS+R1000B 600s    spec_58725.127789_OSIRIS+R1000B_600s.dat
58725.180198 OSIRIS+R2500U 1200x2s spec_58725.180198_OSIRIS+R2500U_1200x2.dat
58725.216805 OSIRIS+R1000B 1200s   spec_58725.216805_OSIRIS+R1000B_1200s.dat
58726.202041 OSIRIS+R1000B 900x2s  spec_58726.202041_OSIRIS+R1000B_900x2s.dat
58726.223595 OSIRIS+R1000R 600s    spec_58726.223595_OSIRIS+R1000R_600s.dat
58727.230284 OSIRIS+R1000B 900s    spec_58727.230284_OSIRIS+R1000B_900s.dat
58727.241158 OSIRIS+R1000R 600s    spec_58727.241158_OSIRIS+R1000R_600s.dat
58729.228917 OSIRIS+R1000B 750x2s  spec_58729.228917_OSIRIS+R1000B_750x2s.dat
58729.246993 OSIRIS+R1000R 600s    spec_58729.246993_OSIRIS+R1000R_600s.dat
