date	mag	mag_limit	dmag	band	instrument	date_unit	mag_unit	time_unit	time	dtime
58875.457	15.676	0	0.025	g	ZTF	MJD	AB	days	-7.303	NaN
58871.502	14.17	0	0.035	r	ZTF	MJD	AB	days	-11.258	NaN
58871.443	15.03	0	0.024	g	ZTF	MJD	AB	days	-11.317	NaN
58867.482	13.86	0	0.02	r	ZTF	MJD	AB	days	-15.278	NaN
58867.44	14.3	0	0.03	g	ZTF	MJD	AB	days	-15.32	NaN
58859.522	14.916	0	0.028	g	ZTF	MJD	AB	days	-23.238	NaN
58859.481	14.769	0	0.033	r	ZTF	MJD	AB	days	-23.279	NaN
58855.542	17.28	0	0.056	r	ZTF	MJD	AB	days	-27.218	NaN
58864.99	14.5806	0	0.140867	B	KON	MJD	Vega	days	-17.77	NaN
58865.99	14.6653	0	0.134103	B	KON	MJD	Vega	days	-16.77	NaN
58868.98	15.1422	0	0.191095	B	KON	MJD	Vega	days	-13.78	NaN
58869.98	15.3797	0	0.144967	B	KON	MJD	Vega	days	-12.78	NaN
58870.98	15.5487	0	0.0981237	B	KON	MJD	Vega	days	-11.78	NaN
58872.01	15.8122	0	0.114097	B	KON	MJD	Vega	days	-10.75	NaN
58873.06	15.945	0	0.115094	B	KON	MJD	Vega	days	-9.7	NaN
58873.98	16.1338	0	0.103603	B	KON	MJD	Vega	days	-8.78	NaN
58875.96	16.441	0	0.111409	B	KON	MJD	Vega	days	-6.8	NaN
58899.97	17.4832	0	0.112603	B	KON	MJD	Vega	days	17.21	NaN
58922.11	17.7332	0	0.164823	B	KON	MJD	Vega	days	39.35	NaN
58936.09	17.9912	0	0.12028	B	KON	MJD	Vega	days	53.33	NaN
58942.02	18.0503	0	0.174177	B	KON	MJD	Vega	days	59.26	NaN
58948.02	18.4317	0	0.245829	B	KON	MJD	Vega	days	65.26	NaN
58859.96	14.5396	0	0.0727246	V	KON	MJD	Vega	days	-22.8	NaN
58864.99	13.8178	0	0.0481587	V	KON	MJD	Vega	days	-17.77	NaN
58865.99	13.8228	0	0.0378809	V	KON	MJD	Vega	days	-16.77	NaN
58868.98	14.0228	0	0.0463596	V	KON	MJD	Vega	days	-13.78	NaN
58869.98	14.1745	0	0.0328715	V	KON	MJD	Vega	days	-12.78	NaN
58870.98	14.3069	0	0.0331568	V	KON	MJD	Vega	days	-11.78	NaN
58872.01	14.5263	0	0.0332449	V	KON	MJD	Vega	days	-10.75	NaN
58873.06	14.6928	0	0.0356184	V	KON	MJD	Vega	days	-9.7	NaN
58873.98	14.8661	0	0.0450694	V	KON	MJD	Vega	days	-8.78	NaN
58875.96	15.177	0	0.0506185	V	KON	MJD	Vega	days	-6.8	NaN
58899.97	16.9191	0	0.0631345	V	KON	MJD	Vega	days	17.21	NaN
58922.11	17.4098	0	0.0926461	V	KON	MJD	Vega	days	39.35	NaN
58936.09	17.8515	0	0.163522	V	KON	MJD	Vega	days	53.33	NaN
58859.96	14.6317	0	0.115125	g	KON	MJD	AB	days	-22.8	NaN
58864.99	14.0543	0	0.0438745	g	KON	MJD	AB	days	-17.77	NaN
58865.99	14.0322	0	0.0495909	g	KON	MJD	AB	days	-16.77	NaN
58868.98	14.3966	0	0.0520736	g	KON	MJD	AB	days	-13.78	NaN
58869.98	14.5485	0	0.0406021	g	KON	MJD	AB	days	-12.78	NaN
58870.98	14.7565	0	0.0265798	g	KON	MJD	AB	days	-11.78	NaN
58872.01	14.9775	0	0.0246353	g	KON	MJD	AB	days	-10.75	NaN
58873.06	15.1505	0	0.0356314	g	KON	MJD	AB	days	-9.7	NaN
58873.98	15.3335	0	0.025045	g	KON	MJD	AB	days	-8.78	NaN
58875.96	15.578	0	0.0582132	g	KON	MJD	AB	days	-6.8	NaN
58899.97	16.8543	0	0.0345534	g	KON	MJD	AB	days	17.21	NaN
58922.11	17.4597	0	0.0717202	g	KON	MJD	AB	days	39.35	NaN
58936.09	17.9589	0	0.0678803	g	KON	MJD	AB	days	53.33	NaN
58942.02	18.1938	0	0.0969182	g	KON	MJD	AB	days	59.26	NaN
58948.02	18.515	0	0.178727	g	KON	MJD	AB	days	65.26	NaN
58859.96	14.5955	0	0.0306806	r	KON	MJD	AB	days	-22.8	NaN
58864.99	13.9169	0	0.0234351	r	KON	MJD	AB	days	-17.77	NaN
58865.99	13.7315	0	0.0306924	r	KON	MJD	AB	days	-16.77	NaN
58868.98	13.9127	0	0.0160052	r	KON	MJD	AB	days	-13.78	NaN
58869.98	13.9865	0	0.0147936	r	KON	MJD	AB	days	-12.78	NaN
58870.98	14.0728	0	0.0168777	r	KON	MJD	AB	days	-11.78	NaN
58872.01	14.2299	0	0.0152666	r	KON	MJD	AB	days	-10.75	NaN
58873.06	14.3621	0	0.0151986	r	KON	MJD	AB	days	-9.7	NaN
58873.98	14.5075	0	0.0166947	r	KON	MJD	AB	days	-8.78	NaN
58875.96	14.7224	0	0.0282486	r	KON	MJD	AB	days	-6.8	NaN
58899.97	16.2767	0	0.0259285	r	KON	MJD	AB	days	17.21	NaN
58922.11	17.0461	0	0.06178	r	KON	MJD	AB	days	39.35	NaN
58936.09	17.5057	0	0.0641951	r	KON	MJD	AB	days	53.33	NaN
58942.02	17.734	0	0.0795011	r	KON	MJD	AB	days	59.26	NaN
58948.02	17.8816	0	0.119263	r	KON	MJD	AB	days	65.26	NaN
58859.96	14.7797	0	0.06199	i	KON	MJD	AB	days	-22.8	NaN
58864.99	14.074	0	0.0372314	i	KON	MJD	AB	days	-17.77	NaN
58865.99	13.9048	0	0.037171	i	KON	MJD	AB	days	-16.77	NaN
58868.98	13.9908	0	0.0200082	i	KON	MJD	AB	days	-13.78	NaN
58869.98	14.0897	0	0.0238342	i	KON	MJD	AB	days	-12.78	NaN
58870.98	14.1619	0	0.017278	i	KON	MJD	AB	days	-11.78	NaN
58872.01	14.2795	0	0.0181675	i	KON	MJD	AB	days	-10.75	NaN
58873.06	14.3874	0	0.0287212	i	KON	MJD	AB	days	-9.7	NaN
58873.98	14.5035	0	0.0217803	i	KON	MJD	AB	days	-8.78	NaN
58875.96	14.7476	0	0.0263201	i	KON	MJD	AB	days	-6.8	NaN
58899.97	16.3716	0	0.0308528	i	KON	MJD	AB	days	17.21	NaN
58922.11	17.13	0	0.0815976	i	KON	MJD	AB	days	39.35	NaN
58936.09	17.8856	0	0.122519	i	KON	MJD	AB	days	53.33	NaN
58948.02	18.1896	0	0.256763	i	KON	MJD	AB	days	65.26	NaN
58859.96	14.774	0	0.0496921	z	KON	MJD	AB	days	-22.8	NaN
58864.99	14.0264	0	0.0582751	z	KON	MJD	AB	days	-17.77	NaN
58865.99	13.8942	0	0.0541124	z	KON	MJD	AB	days	-16.77	NaN
58868.98	13.925	0	0.0808453	z	KON	MJD	AB	days	-13.78	NaN
58869.98	13.943	0	0.0589829	z	KON	MJD	AB	days	-12.78	NaN
58870.98	14.0537	0	0.0726114	z	KON	MJD	AB	days	-11.78	NaN
58872.01	14.1443	0	0.061584	z	KON	MJD	AB	days	-10.75	NaN
58873.06	14.1504	0	0.0518274	z	KON	MJD	AB	days	-9.7	NaN
58873.98	14.2733	0	0.044525	z	KON	MJD	AB	days	-8.78	NaN
58875.96	14.4376	0	0.0688272	z	KON	MJD	AB	days	-6.8	NaN
58899.97	15.4757	0	0.0425459	z	KON	MJD	AB	days	17.21	NaN
58922.11	16.1603	0	0.0942246	z	KON	MJD	AB	days	39.35	NaN
58936.09	16.7962	0	0.0832859	z	KON	MJD	AB	days	53.33	NaN
58942.02	16.9667	0	0.0904908	z	KON	MJD	AB	days	59.26	NaN
58948.02	17.4932	0	0.199536	z	KON	MJD	AB	days	65.26	NaN
58856.313	15.7133	0	0.0451	U	LCO	MJD	Vega	days	-26.447	NaN
58856.32	16.5375	0	0.1195	B	LCO	MJD	Vega	days	-26.44	NaN
58856.325	16.2415	0	0.0313	V	LCO	MJD	Vega	days	-26.435	NaN
58856.329	16.253	0	0.0182	g	LCO	MJD	AB	days	-26.431	NaN
58856.334	16.3082	0	0.0122	r	LCO	MJD	AB	days	-26.426	NaN
58856.337	16.3802	0	0.0116	i	LCO	MJD	AB	days	-26.423000000000002	NaN
58856.715	15.65	0	0.0151	U	LCO	MJD	Vega	days	-26.045	NaN
58856.722	16.2675	0	0.0372	B	LCO	MJD	Vega	days	-26.038	NaN
58856.727	16.0143	0	0.0605	V	LCO	MJD	Vega	days	-26.033	NaN
58856.731	16.0452	0	0.0361	g	LCO	MJD	AB	days	-26.029	NaN
58856.736	16.0484	0	0.0326	r	LCO	MJD	AB	days	-26.024	NaN
58856.74	16.139	0	0.0196	i	LCO	MJD	AB	days	-26.02	NaN
58857.698	15.7626	0	0.0527	U	LCO	MJD	Vega	days	-25.062	NaN
58857.706	16.1427	0	0.0719	B	LCO	MJD	Vega	days	-25.054	NaN
58857.711	15.5775	0	0.0196	V	LCO	MJD	Vega	days	-25.049	NaN
58857.714	15.6525	0	0.086	g	LCO	MJD	AB	days	-25.046	NaN
58857.72	15.4189	0	0.0714	r	LCO	MJD	AB	days	-25.04	NaN
58857.723	15.6201	0	0.0251	i	LCO	MJD	AB	days	-25.037	NaN
58859.292	15.2061	0	0.0561	U	LCO	MJD	Vega	days	-23.468	NaN
58859.3	15.7245	0	0.0152	B	LCO	MJD	Vega	days	-23.46	NaN
58859.305	14.795	0	0.0108	V	LCO	MJD	Vega	days	-23.455	NaN
58859.314	15.0104	0	0.0405	r	LCO	MJD	AB	days	-23.446	NaN
58859.317	14.8018	0	0.0132	i	LCO	MJD	AB	days	-23.443	NaN
58860.056	14.7162	0	0.0233	U	LCO	MJD	Vega	days	-22.704	NaN
58860.063	15.1223	0	0.0142	B	LCO	MJD	Vega	days	-22.697	NaN
58860.068	14.5687	0	0.025	V	LCO	MJD	Vega	days	-22.692	NaN
58860.072	14.7288	0	0.032	g	LCO	MJD	AB	days	-22.688	NaN
58860.077	14.5489	0	0.0129	r	LCO	MJD	AB	days	-22.683	NaN
58860.081	14.6625	0	0.0314	i	LCO	MJD	AB	days	-22.679	NaN
58861.337	14.2215	0	0.0104	U	LCO	MJD	Vega	days	-21.423000000000002	NaN
58861.342	14.6356	0	0.0102	B	LCO	MJD	Vega	days	-21.418	NaN
58861.345	14.1217	0	0.0146	V	LCO	MJD	Vega	days	-21.415	NaN
58861.347	14.2319	0	0.0229	g	LCO	MJD	AB	days	-21.413	NaN
58861.35	14.2621	0	0.0183	r	LCO	MJD	AB	days	-21.41	NaN
58861.353	14.3219	0	0.0331	i	LCO	MJD	AB	days	-21.407	NaN
58862.352	14.0637	0	0.0278	U	LCO	MJD	Vega	days	-20.408	NaN
58862.357	14.5038	0	0.0211	B	LCO	MJD	Vega	days	-20.403	NaN
58862.36	13.9782	0	0.0249	V	LCO	MJD	Vega	days	-20.4	NaN
58862.362	14.1994	0	0.0271	g	LCO	MJD	AB	days	-20.398	NaN
58862.365	14.065	0	0.0109	r	LCO	MJD	AB	days	-20.395	NaN
58862.368	14.2404	0	0.0109	i	LCO	MJD	AB	days	-20.392	NaN
58869.352	15.5078	0	0.0303	U	LCO	MJD	Vega	days	-13.408	NaN
58869.354	15.3584	0	0.0264	B	LCO	MJD	Vega	days	-13.406	NaN
58869.36	13.9672	0	0.0178	r	LCO	MJD	AB	days	-13.4	NaN
58869.362	14.1285	0	0.0358	i	LCO	MJD	AB	days	-13.398	NaN
58871.31	16.04	0	0.051	U	LCO	MJD	Vega	days	-11.45	NaN
58871.313	15.7643	0	0.0311	B	LCO	MJD	Vega	days	-11.447	NaN
58871.315	14.4816	0	0.0134	V	LCO	MJD	Vega	days	-11.445	NaN
58871.318	14.2094	0	0.0294	r	LCO	MJD	AB	days	-11.442	NaN
58871.32	14.3085	0	0.0129	i	LCO	MJD	AB	days	-11.44	NaN
58873.088	16.3407	0	0.0206	U	LCO	MJD	Vega	days	-9.672	NaN
58873.09	16.0089	0	0.0179	B	LCO	MJD	Vega	days	-9.67	NaN
58873.092	14.7414	0	0.0375	V	LCO	MJD	Vega	days	-9.668	NaN
58873.094	15.2817	0	0.0102	g	LCO	MJD	AB	days	-9.666	NaN
58873.096	14.2686	0	0.0101	r	LCO	MJD	AB	days	-9.664	NaN
58873.098	14.3384	0	0.0105	i	LCO	MJD	AB	days	-9.662	NaN
58876.023	17.04	0	0.0257	U	LCO	MJD	Vega	days	-6.737	NaN
58876.026	16.5525	0	0.0103	B	LCO	MJD	Vega	days	-6.734	NaN
58876.028	15.2003	0	0.0165	V	LCO	MJD	Vega	days	-6.732	NaN
58876.031	14.717	0	0.0182	r	LCO	MJD	AB	days	-6.729	NaN
58876.033	14.7017	0	0.023	i	LCO	MJD	AB	days	-6.727	NaN
58877.02	17.1751	0	0.0285	U	LCO	MJD	Vega	days	-5.74	NaN
58877.023	16.6921	0	0.0361	B	LCO	MJD	Vega	days	-5.737	NaN
58877.025	15.4152	0	0.0323	V	LCO	MJD	Vega	days	-5.735	NaN
58877.029	14.8434	0	0.0145	r	LCO	MJD	AB	days	-5.731	NaN
58877.03	14.8183	0	0.022	i	LCO	MJD	AB	days	-5.73	NaN
58880.112	17.3851	0	0.093	U	LCO	MJD	Vega	days	-2.648	NaN
58880.115	16.8002	0	0.0246	B	LCO	MJD	Vega	days	-2.645	NaN
58880.117	15.622	0	0.0179	V	LCO	MJD	Vega	days	-2.643	NaN
58880.122	15.226	0	0.0268	i	LCO	MJD	AB	days	-2.638	NaN
58882.083	17.4571	0	0.0938	U	LCO	MJD	Vega	days	-0.677	NaN
58882.086	16.9636	0	0.0274	B	LCO	MJD	Vega	days	-0.674	NaN
58882.088	15.7589	0	0.0191	V	LCO	MJD	Vega	days	-0.672	NaN
58882.091	15.4541	0	0.03	r	LCO	MJD	AB	days	-0.669	NaN
58882.093	15.4206	0	0.0225	i	LCO	MJD	AB	days	-0.667	NaN
58883.004	17.5536	0	0.0127	U	LCO	MJD	Vega	days	0.244	NaN
58883.007	17.1645	0	0.0423	B	LCO	MJD	Vega	days	0.2469999999999999	NaN
58883.009	15.8978	0	0.0136	V	LCO	MJD	Vega	days	0.2489999999999999	NaN
58883.112	17.7544	0	0.0962	U	LCO	MJD	Vega	days	0.352	NaN
58883.115	17.2333	0	0.0226	B	LCO	MJD	Vega	days	0.355	NaN
58883.117	16.1542	0	0.0124	V	LCO	MJD	Vega	days	0.357	NaN
58883.119	16.3074	0	0.0156	g	LCO	MJD	AB	days	0.359	NaN
58883.12	15.4553	0	0.0217	r	LCO	MJD	AB	days	0.36	NaN
58883.122	15.3892	0	0.0142	i	LCO	MJD	AB	days	0.362	NaN
58883.987	17.388	0	0.0886	U	LCO	MJD	Vega	days	1.2269999999999999	NaN
58883.99	16.9737	0	0.0712	B	LCO	MJD	Vega	days	1.23	NaN
58883.993	16.0083	0	0.0221	V	LCO	MJD	Vega	days	1.233	NaN
58884.0	15.5584	0	0.0314	i	LCO	MJD	AB	days	1.24	NaN
58887.365	17.7717	0	0.1068	U	LCO	MJD	Vega	days	4.6049999999999995	NaN
58887.368	17.2663	0	0.0468	B	LCO	MJD	Vega	days	4.608	NaN
58887.371	16.2251	0	0.0375	V	LCO	MJD	Vega	days	4.611	NaN
58887.374	16.6181	0	0.0154	g	LCO	MJD	AB	days	4.614	NaN
58887.376	15.8372	0	0.015	r	LCO	MJD	AB	days	4.616	NaN
58887.379	15.7809	0	0.0341	i	LCO	MJD	AB	days	4.619	NaN
58889.226	16.6703	0	0.0195	g	LCO	MJD	AB	days	6.466	NaN
58889.23	15.8808	0	0.0103	r	LCO	MJD	AB	days	6.47	NaN
58889.233	15.7852	0	0.0165	i	LCO	MJD	AB	days	6.473	NaN
58893.078	17.8013	0	0.1046	U	LCO	MJD	Vega	days	10.318	NaN
