date	obs_wavelength	flux	redshift	instrument	date_unit	wavelength_unit	flux_unit	time	time_unit	dtime	rest_wavelength
2020-02-05T13:08:02	3558.2134051322964	3.8265661010322763e-16	0.025235	FTN FLOYDS-N Global SN Project	utc	angstroms	uncalibrated	1.7872453703703703	days	NaN	3470.750492715857
2020-02-05T13:08:02	3559.9547796249417	3.722479516100115e-16	0.025235	FTN FLOYDS-N Global SN Project	utc	angstroms	uncalibrated	1.7872453703703703	days	NaN	3472.4490632315083
2020-02-05T13:08:02	3561.696154117587	3.6457669184408445e-16	0.025235	FTN FLOYDS-N Global SN Project	utc	angstroms	uncalibrated	1.7872453703703703	days	NaN	3474.147633747159
2020-02-05T13:08:02	3563.437528610232	4.1051705898563837e-16	0.025235	FTN FLOYDS-N Global SN Project	utc	angstroms	uncalibrated	1.7872453703703703	days	NaN	3475.84620426281
2020-02-05T13:08:02	3565.178903102877	4.2299983646888415e-16	0.025235	FTN FLOYDS-N Global SN Project	utc	angstroms	uncalibrated	1.7872453703703703	days	NaN	3477.54477477846
2020-02-05T13:08:02	3566.9202775955227	4.0481303323970956e-16	0.025235	FTN FLOYDS-N Global SN Project	utc	angstroms	uncalibrated	1.7872453703703703	days	NaN	3479.2433452941114
2020-02-05T13:08:02	3568.661652088168	3.8476161932605253e-16	0.025235	FTN FLOYDS-N Global SN Project	utc	angstroms	uncalibrated	1.7872453703703703	days	NaN	3480.9419158097626
2020-02-05T13:08:02	3570.403026580813	4.1338214792972604e-16	0.025235	FTN FLOYDS-N Global SN Project	utc	angstroms	uncalibrated	1.7872453703703703	days	NaN	3482.640486325413
2020-02-05T13:08:02	3572.1444010734585	4.175481736016779e-16	0.025235	FTN FLOYDS-N Global SN Project	utc	angstroms	uncalibrated	1.7872453703703703	days	NaN	3484.339056841064
2020-02-05T13:08:02	3573.885775566104	3.93152433580672e-16	0.025235	FTN FLOYDS-N Global SN Project	utc	angstroms	uncalibrated	1.7872453703703703	days	NaN	3486.037627356715
2020-02-05T13:08:02	3575.6271500587486	4.0734764698547004e-16	0.025235	FTN FLOYDS-N Global SN Project	utc	angstroms	uncalibrated	1.7872453703703703	days	NaN	3487.736197872365
2020-02-05T13:08:02	3577.3685245513943	4.1666784167168473e-16	0.025235	FTN FLOYDS-N Global SN Project	utc	angstroms	uncalibrated	1.7872453703703703	days	NaN	3489.434768388017
