date	obs_wavelength	flux	sky_flux	redshift	instrument	date_unit	wavelength_unit	flux_unit
2020-02-08T05:52:18	4461.60	1.09882	2138.71	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	4470.80	1.21237	2207.65	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	4480.00	1.10260	2296.86	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	4489.20	1.10024	2312.15	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	4498.40	1.25808	2413.29	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	4507.60	1.10391	2507.90	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	4516.80	1.11708	2480.30	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	4526.00	1.08376	2432.10	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	4535.20	1.15267	2446.67	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	4544.40	1.08484	2493.05	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	4553.60	0.987170	2556.78	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	4572.00	1.06668	2709.43	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	4581.20	0.887329	2767.71	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	4590.40	0.996813	2728.07	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	4599.60	1.03923	2754.74	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	4608.80	1.10782	2839.46	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	4618.00	0.958939	2953.98	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	4627.20	1.12794	2914.70	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	4636.40	1.12331	2935.60	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	4645.60	1.06331	2903.30	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	4654.80	1.00607	2946.30	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	4664.00	1.08584	2998.84	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	4673.20	1.09921	2958.54	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	4682.40	1.01185	3023.31	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	4691.60	0.990208	3088.63	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	4700.80	1.10633	2990.24	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	4710.00	1.01284	3046.49	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	4719.20	1.00623	3161.77	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	4728.40	1.02874	3157.17	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	4737.60	1.04745	3119.19	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	4746.80	1.03357	3179.37	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	4756.00	0.947317	3145.80	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	4765.20	1.07936	3171.29	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	4774.40	1.00937	3176.05	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	4783.60	1.00954	3290.90	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	4792.80	1.00680	3206.34	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	4802.00	1.05503	3321.25	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	4811.20	1.07675	3340.85	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	4820.40	0.982965	3340.37	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	4829.60	1.11615	3311.79	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	4838.80	1.10143	3291.16	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	4848.00	1.10035	3195.02	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	4857.20	1.10518	2873.46	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	4866.40	1.18178	2826.65	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	4875.60	1.12326	3039.94	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	4884.80	1.07861	3114.25	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	4894.00	1.17813	3183.36	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	4903.20	1.11905	3244.14	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	4912.40	1.12290	3138.32	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	4921.60	1.16511	3120.37	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	4930.80	1.18182	3148.03	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	4940.00	1.14519	3233.29	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	4949.20	1.14175	3254.22	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	4958.40	1.08485	3249.14	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	4967.60	1.21322	3221.66	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	4976.80	1.26166	3203.06	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	4986.00	1.29542	3166.24	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	4995.20	1.17614	3184.14	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5004.40	1.20676	3109.70	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5013.60	1.18538	3011.85	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5022.80	1.22038	3087.87	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5032.00	1.17551	3107.04	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5041.20	1.22138	3094.16	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5050.40	1.19468	3146.27	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5059.60	1.26659	3166.07	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5068.80	1.18651	3194.94	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5078.00	1.40030	3167.64	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5087.20	1.51777	3203.08	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5096.40	1.29749	3207.93	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5105.60	1.27037	3172.70	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5114.80	1.25532	3210.89	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5124.00	1.54226	3166.00	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5133.20	2.03827	3141.61	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5142.40	1.64696	3130.06	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5151.60	1.19543	3089.14	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5160.80	1.24574	3008.50	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5170.00	1.16306	2883.39	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5179.20	1.22641	2797.79	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5188.40	1.20144	2959.37	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5197.60	1.17026	3101.08	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5206.80	1.10424	3163.08	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5216.00	1.14785	3188.77	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5225.20	1.13144	3125.15	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5234.40	1.11226	3154.56	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5243.60	1.19132	3202.46	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5252.80	1.13940	3254.73	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5262.00	1.07263	3019.89	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5271.20	1.15064	2903.03	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5280.40	1.12745	3057.41	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
