time	obs_wavelength	flux	instrument	time_unit	wavelength_unit	flux_unit	redshift
0.76	6333.8	3.687000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	6359.4	3.571000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	6384.9	3.589000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	6410.5	3.619000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	6436.1	3.411000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	6461.6	3.625000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	6487.2	3.430000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	6512.8	3.338000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	6538.4	3.307000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	6563.9	3.084000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	6589.5	3.151000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	6615.1	3.281000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	6640.6	3.258000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	6666.2	3.147000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	6691.8	3.539000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	6717.4	3.827000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	6742.9	3.728000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	6768.5	3.464000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	6794.1	3.285000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	6819.6	3.188000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	6845.2	3.027000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	6870.8	2.944000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	6896.3	3.064000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	6921.9	2.951000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	6947.5	2.711000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	6973.1	2.624000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	6998.6	2.769000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	7024.2	2.780000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	7049.8	2.642000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	7075.3	2.574000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	7100.9	2.567000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	7126.5	2.690000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	7152.1	2.591000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
