date	time	instrument	band	mag	mag_limit	dmag	date_unit	time_unit	mag_unit	dtime
58888.9444	6.27	Swift+UVOT	UVM2	20.37	0	0.01	MJD	days	AB	NaN
58890.3717	7.7	P48+ZTF	i	16.93	0	0.03	MJD	days	AB	NaN
58890.3941	7.72	P48+ZTF	i	16.94	0	0.03	MJD	days	AB	NaN
58890.4565	7.79	P48+ZTF	r	16.65	0	0.04	MJD	days	AB	NaN
58890.4747	7.8	P48+ZTF	r	16.62	0	0.06	MJD	days	AB	NaN
58890.4756	7.81	P48+ZTF	r	16.62	0	0.04	MJD	days	AB	NaN
58890.5276	7.86	P48+ZTF	g	16.74	0	0.05	MJD	days	AB	NaN
58890.5588	7.89	P48+ZTF	g	16.75	0	0.05	MJD	days	AB	NaN
58890.5597	7.89	P48+ZTF	g	16.75	0	0.05	MJD	days	AB	NaN
58891.3937	8.72	P48+ZTF	i	16.84	0	0.03	MJD	days	AB	NaN
58891.4157	8.75	P48+ZTF	i	16.88	0	0.03	MJD	days	AB	NaN
58891.4552	8.79	P48+ZTF	g	16.71	0	0.04	MJD	days	AB	NaN
58891.4626	8.79	P48+ZTF	g	16.7	0	0.04	MJD	days	AB	NaN
58891.7595	9.09	Swift+UVOT	UVW1	19.49	0	0.01	MJD	days	AB	NaN
58891.7608	9.09	Swift+UVOT	U	18.22	0	0.01	MJD	days	AB	NaN
58891.7615	9.09	Swift+UVOT	B	17.02	0	0.01	MJD	days	AB	NaN
58891.7634	9.09	Swift+UVOT	UVW2	20.37	0	0.01	MJD	days	AB	NaN
58891.7654	9.1	Swift+UVOT	V	16.44	0	0.01	MJD	days	AB	NaN
58891.7683	9.1	Swift+UVOT	UVM2	20.77	0	0.01	MJD	days	AB	NaN
58892.3651	9.7	P48+ZTF	g	16.68	0	0.05	MJD	days	AB	NaN
58892.3832	9.71	P48+ZTF	g	16.69	0	0.04	MJD	days	AB	NaN
58892.4559	9.79	P48+ZTF	i	16.83	0	0.03	MJD	days	AB	NaN
58892.5181	9.85	P48+ZTF	r	16.46	0	0.04	MJD	days	AB	NaN
58892.534	9.86	P48+ZTF	r	16.45	0	0.04	MJD	days	AB	NaN
58893.3186	10.65	Swift+UVOT	UVW2	20.06	0	0.01	MJD	days	AB	NaN
58893.4023	10.73	P48+ZTF	i	16.8	0	0.03	MJD	days	AB	NaN
58893.4715	10.8	P48+ZTF	g	16.67	0	0.04	MJD	days	AB	NaN
58893.4965	10.83	P48+ZTF	g	16.67	0	0.04	MJD	days	AB	NaN
58893.4974	10.83	P48+ZTF	g	16.67	0	0.04	MJD	days	AB	NaN
58893.521	10.85	P48+ZTF	r	16.41	0	0.04	MJD	days	AB	NaN
58893.53	10.86	Swift+UVOT	V	16.49	0	0.01	MJD	days	AB	NaN
58893.5325	10.86	Swift+UVOT	UVM2	20.9	0	0.01	MJD	days	AB	NaN
58893.5338	10.86	P48+ZTF	r	16.43	0	0.03	MJD	days	AB	NaN
58893.7579	11.09	Swift+UVOT	UVW1	19.63	0	0.01	MJD	days	AB	NaN
58893.759	11.09	Swift+UVOT	U	18.4	0	0.01	MJD	days	AB	NaN
58893.7595	11.09	Swift+UVOT	B	17.11	0	0.01	MJD	days	AB	NaN
58893.7604	11.09	Swift+UVOT	UVW2	20.43	0	0.01	MJD	days	AB	NaN
58894.3388	11.67	P48+ZTF	g	16.68	0	0.04	MJD	days	AB	NaN
58894.4351	11.77	P48+ZTF	i	16.75	0	0.03	MJD	days	AB	NaN
58894.4554	11.79	P48+ZTF	i	16.74	0	0.03	MJD	days	AB	NaN
58894.5153	11.85	P48+ZTF	r	16.38	0	0.04	MJD	days	AB	NaN
58894.535	11.87	P48+ZTF	r	16.37	0	0.04	MJD	days	AB	NaN
58894.5468	11.88	P48+ZTF	g	16.7	0	0.03	MJD	days	AB	NaN
58895.137	12.47	Swift+UVOT	UVW1	19.89	0	0.01	MJD	days	AB	NaN
58895.1377	12.47	Swift+UVOT	U	18.63	0	0.01	MJD	days	AB	NaN
58895.138	12.47	Swift+UVOT	B	17.35	0	0.01	MJD	days	AB	NaN
58895.1391	12.47	Swift+UVOT	UVW2	20.41	0	0.01	MJD	days	AB	NaN
58895.14	12.47	Swift+UVOT	V	16.35	0	0.01	MJD	days	AB	NaN
