date	mag	mag_limit	dmag	band	instrument	date_unit	mag_unit	time	time_unit	time_frame	dtime
58904.302	17.7973	0	0.0248	B	LCO	MJD	Vega	21.632	days	observer	NaN
58904.304	17.7682	0	0.0299	B	LCO	MJD	Vega	21.634	days	observer	NaN
58904.305	16.6822	0	0.019	V	LCO	MJD	Vega	21.635	days	observer	NaN
58904.306	16.6753	0	0.017	V	LCO	MJD	Vega	21.636	days	observer	NaN
58904.307	17.4025	0	0.0105	g	LCO	MJD	AB	21.637	days	observer	NaN
58904.309	17.3039	0	0.0114	g	LCO	MJD	AB	21.639	days	observer	NaN
58904.31	16.4569	0	0.0094	r	LCO	MJD	AB	21.64	days	observer	NaN
58904.311	16.4097	0	0.0104	r	LCO	MJD	AB	21.641	days	observer	NaN
58904.312	16.8759	0	0.0162	i	LCO	MJD	AB	21.642	days	observer	NaN
58904.313	16.8353	0	0.0154	i	LCO	MJD	AB	21.643	days	observer	NaN
58906.299	18.0835	0	0.0773	U	LCO	MJD	Vega	23.629	days	observer	NaN
58906.302	18.0339	0	0.0673	U	LCO	MJD	Vega	23.632	days	observer	NaN
58906.305	17.9889	0	0.0228	B	LCO	MJD	Vega	23.635	days	observer	NaN
58906.306	17.9789	0	0.0235	B	LCO	MJD	Vega	23.636	days	observer	NaN
58906.308	16.8317	0	0.0153	V	LCO	MJD	Vega	23.638	days	observer	NaN
58906.31	16.8539	0	0.0159	V	LCO	MJD	Vega	23.64	days	observer	NaN
58906.311	17.3911	0	0.0102	g	LCO	MJD	AB	23.641	days	observer	NaN
58906.313	17.3571	0	0.0083	g	LCO	MJD	AB	23.643	days	observer	NaN
58906.315	16.4688	0	0.0073	r	LCO	MJD	AB	23.645	days	observer	NaN
58906.316	16.4686	0	0.0074	r	LCO	MJD	AB	23.646	days	observer	NaN
58906.317	16.7611	0	0.0113	i	LCO	MJD	AB	23.647	days	observer	NaN
58906.319	16.7623	0	0.0113	i	LCO	MJD	AB	23.649	days	observer	NaN
58919.282	18.6942	0	0.2967	U	LCO	MJD	Vega	36.612	days	observer	NaN
58919.284	18.344	0	0.2025	U	LCO	MJD	Vega	36.614	days	observer	NaN
58919.287	18.8595	0	0.1794	B	LCO	MJD	Vega	36.617	days	observer	NaN
58919.288	18.7488	0	0.0896	B	LCO	MJD	Vega	36.618	days	observer	NaN
58919.29	17.6052	0	0.0384	V	LCO	MJD	Vega	36.62	days	observer	NaN
58919.291	17.6326	0	0.0423	V	LCO	MJD	Vega	36.621	days	observer	NaN
58919.292	18.2309	0	0.0434	g	LCO	MJD	AB	36.622	days	observer	NaN
58919.293	18.2989	0	0.0463	g	LCO	MJD	AB	36.623	days	observer	NaN
58919.295	17.3813	0	0.0252	r	LCO	MJD	AB	36.625	days	observer	NaN
58919.296	17.361	0	0.0282	r	LCO	MJD	AB	36.626	days	observer	NaN
58919.297	17.5568	0	0.0342	i	LCO	MJD	AB	36.627	days	observer	NaN
58925.426	18.7771	0	0.0181	B	LCO	MJD	Vega	42.756	days	observer	NaN
58925.431	18.8132	0	0.0181	B	LCO	MJD	Vega	42.761	days	observer	NaN
58925.436	17.86	0	0.0152	V	LCO	MJD	Vega	42.766	days	observer	NaN
58925.439	17.8687	0	0.0142	V	LCO	MJD	Vega	42.769	days	observer	NaN
58925.442	18.4282	0	0.0113	g	LCO	MJD	AB	42.772	days	observer	NaN
58925.445	18.3745	0	0.0184	g	LCO	MJD	AB	42.775	days	observer	NaN
58925.449	17.6958	0	0.0542	r	LCO	MJD	AB	42.779	days	observer	NaN
58925.452	17.7219	0	0.0773	r	LCO	MJD	AB	42.782	days	observer	NaN
58925.455	17.8135	0	0.0262	i	LCO	MJD	AB	42.785	days	observer	NaN
58925.457	17.8521	0	0.0144	i	LCO	MJD	AB	42.787	days	observer	NaN
58938.548	19.1529	0	0.0273	B	LCO	MJD	Vega	55.878	days	observer	NaN
58938.549	18.3358	0	0.0317	V	LCO	MJD	Vega	55.879	days	observer	NaN
58938.55	18.7095	0	0.0116	g	LCO	MJD	AB	55.88	days	observer	NaN
58938.552	18.0881	0	0.0123	r	LCO	MJD	AB	55.882	days	observer	NaN
58938.553	18.2361	0	0.0183	i	LCO	MJD	AB	55.883	days	observer	NaN
58942.363	19.2085	0	0.0845	B	LCO	MJD	Vega	59.693	days	observer	NaN
58942.365	18.7659	0	0.1192	V	LCO	MJD	Vega	59.695	days	observer	NaN
58942.366	18.9149	0	0.0359	g	LCO	MJD	AB	59.696	days	observer	NaN
58942.368	18.2743	0	0.0183	r	LCO	MJD	AB	59.698	days	observer	NaN
58942.369	18.4634	0	0.0303	i	LCO	MJD	AB	59.699	days	observer	NaN
58950.357	19.5005	0	0.0624	B	LCO	MJD	Vega	67.687	days	observer	NaN
58950.359	18.6013	0	0.0266	V	LCO	MJD	Vega	67.689	days	observer	NaN
58950.36	19.0586	0	0.0238	g	LCO	MJD	AB	67.69	days	observer	NaN
58950.362	18.4015	0	0.0226	r	LCO	MJD	AB	67.692	days	observer	NaN
58950.363	18.5987	0	0.0324	i	LCO	MJD	AB	67.693	days	observer	NaN
58955.426	19.5326	0	0.0355	B	LCO	MJD	Vega	72.756	days	observer	NaN
58955.428	18.7903	0	0.0354	V	LCO	MJD	Vega	72.758	days	observer	NaN
58955.429	18.941	0	0.0165	g	LCO	MJD	AB	72.759	days	observer	NaN
58955.431	18.4878	0	0.0126	r	LCO	MJD	AB	72.761	days	observer	NaN
58955.432	18.6769	0	0.0187	i	LCO	MJD	AB	72.762	days	observer	NaN
58959.307	19.5326	0	0.0451	B	LCO	MJD	Vega	76.637	days	observer	NaN
58959.309	18.7698	0	0.0365	V	LCO	MJD	Vega	76.639	days	observer	NaN
58959.31	19.0274	0	0.0175	g	LCO	MJD	AB	76.64	days	observer	NaN
58959.312	18.6269	0	0.0143	r	LCO	MJD	AB	76.642	days	observer	NaN
58959.313	18.7988	0	0.0315	i	LCO	MJD	AB	76.643	days	observer	NaN
58997.29	19.957	0	0.147	r	ZTF	MJD	AB	114.62	days	observer	NaN
58991.235	19.794	0	0.136	r	ZTF	MJD	AB	108.565	days	observer	NaN
58980.329	19.32	0	0.11	r	ZTF	MJD	AB	97.659	days	observer	NaN
58979.24	19.621	0	0.146	g	ZTF	MJD	AB	96.57	days	observer	NaN
58976.298	19.134	0	0.187	r	ZTF	MJD	AB	93.628	days	observer	NaN
58976.201	19.44	0	0.253	g	ZTF	MJD	AB	93.531	days	observer	NaN
58975.275	18.558	1	NaN	g	ZTF	MJD	AB	92.605	days	observer	NaN
58973.304	19.066	0	0.113	r	ZTF	MJD	AB	90.634	days	observer	NaN
58973.267	19.53	0	0.15	g	ZTF	MJD	AB	90.597	days	observer	NaN
58970.391	19.174	0	0.099	r	ZTF	MJD	AB	87.721	days	observer	NaN
58970.307	19.508	0	0.146	g	ZTF	MJD	AB	87.637	days	observer	NaN
58967.341	19.093	0	0.106	r	ZTF	MJD	AB	84.671	days	observer	NaN
58967.288	19.659	0	0.172	g	ZTF	MJD	AB	84.618	days	observer	NaN
58964.345	19.359	0	0.113	g	ZTF	MJD	AB	81.675	days	observer	NaN
58964.283	18.995	0	0.084	r	ZTF	MJD	AB	81.613	days	observer	NaN
58961.41	18.967	0	0.097	r	ZTF	MJD	AB	78.74	days	observer	NaN
58956.369	19.334	0	0.148	g	ZTF	MJD	AB	73.699	days	observer	NaN
58956.343	18.894	0	0.091	r	ZTF	MJD	AB	73.673	days	observer	NaN
58955.426	18.834	0	0.087	r	ZTF	MJD	AB	72.756	days	observer	NaN
58955.404	19.483	0	0.145	g	ZTF	MJD	AB	72.734	days	observer	NaN
58954.444	18.727	0	0.091	r	ZTF	MJD	AB	71.774	days	observer	NaN
58954.387	19.331	0	0.18	g	ZTF	MJD	AB	71.717	days	observer	NaN
58944.474	19.063	0	0.121	g	ZTF	MJD	AB	61.804	days	observer	NaN
58943.467	18.396	0	0.078	r	ZTF	MJD	AB	60.797	days	observer	NaN
58943.425	18.915	0	0.119	g	ZTF	MJD	AB	60.755	days	observer	NaN
58941.474	20.708	1	NaN	g	ZTF	MJD	AB	58.804	days	observer	NaN
58941.426	18.397	0	0.087	r	ZTF	MJD	AB	58.756	days	observer	NaN
58940.431	16.945	1	NaN	r	ZTF	MJD	AB	57.761	days	observer	NaN
58939.453	18.937	0	0.198	g	ZTF	MJD	AB	56.783	days	observer	NaN
58939.425	18.204	0	0.086	r	ZTF	MJD	AB	56.755	days	observer	NaN
58936.47	19.025	0	0.116	g	ZTF	MJD	AB	53.8	days	observer	NaN
58936.406	18.228	0	0.068	r	ZTF	MJD	AB	53.736	days	observer	NaN
58917.391	17.07	1	NaN	g	ZTF	MJD	AB	34.721	days	observer	NaN
58914.53	17.153	0	0.039	r	ZTF	MJD	AB	31.86	days	observer	NaN
58914.5	18.15	0	0.07	g	ZTF	MJD	AB	31.83	days	observer	NaN
58911.552	17.885	0	0.079	g	ZTF	MJD	AB	28.882	days	observer	NaN
58911.484	16.896	0	0.038	r	ZTF	MJD	AB	28.814	days	observer	NaN
58911.426	17.931	0	0.06	g	ZTF	MJD	AB	28.756	days	observer	NaN
58906.538	17.489	0	0.054	g	ZTF	MJD	AB	23.868	days	observer	NaN
58906.487	16.613	0	0.038	r	ZTF	MJD	AB	23.817	days	observer	NaN
58903.541	17.299	0	0.049	g	ZTF	MJD	AB	20.871	days	observer	NaN
58903.496	16.559	0	0.036	r	ZTF	MJD	AB	20.826	days	observer	NaN
58898.512	16.436	0	0.035	r	ZTF	MJD	AB	15.842	days	observer	NaN
58898.456	16.983	0	0.031	g	ZTF	MJD	AB	15.786	days	observer	NaN
58893.497	16.755	0	0.038	g	ZTF	MJD	AB	10.827	days	observer	NaN
58890.559	16.831	0	0.047	g	ZTF	MJD	AB	7.889	days	observer	NaN
58890.476	16.672	0	0.038	r	ZTF	MJD	AB	7.806	days	observer	NaN
58887.531	17.097	0	0.043	r	ZTF	MJD	AB	4.861	days	observer	NaN
58887.468	17.181	0	0.05	g	ZTF	MJD	AB	4.798	days	observer	NaN
58884.547	17.632	0	0.056	r	ZTF	MJD	AB	1.877	days	observer	NaN
58884.475	17.45	0	0.051	g	ZTF	MJD	AB	1.805	days	observer	NaN
58881.557	20.672	1	NaN	r	ZTF	MJD	AB	-1.113	days	observer	NaN
58881.494	20.771	1	NaN	g	ZTF	MJD	AB	-1.1760000000000002	days	observer	NaN
58878.555	20.227	1	NaN	r	ZTF	MJD	AB	-4.115	days	observer	NaN
58878.528	20.458	1	NaN	g	ZTF	MJD	AB	-4.142	days	observer	NaN
58875.552	20.298	1	NaN	r	ZTF	MJD	AB	-7.118	days	observer	NaN
58875.495	20.658	1	NaN	g	ZTF	MJD	AB	-7.175	days	observer	NaN
58872.554	20.425	1	NaN	r	ZTF	MJD	AB	-10.116	days	observer	NaN
58872.448	19.986	1	NaN	g	ZTF	MJD	AB	-10.222	days	observer	NaN
58863.453	19.638	1	NaN	g	ZTF	MJD	AB	-19.217	days	observer	NaN
58859.468	19.618	1	NaN	r	ZTF	MJD	AB	-23.202	days	observer	NaN
58856.573	20.289	1	NaN	r	ZTF	MJD	AB	-26.097	days	observer	NaN
58856.558	20.644	1	NaN	g	ZTF	MJD	AB	-26.112	days	observer	NaN
58898.0	17.5927	0	0.121637	B	KON	MJD	Vega	15.33	days	observer	NaN
58899.93	17.7634	0	0.123899	B	KON	MJD	Vega	17.26	days	observer	NaN
58913.79	18.6626	0	1.08864	B	KON	MJD	Vega	31.12	days	observer	NaN
58921.94	19.1324	0	0.167476	B	KON	MJD	Vega	39.27	days	observer	NaN
58922.9	19.0954	0	0.162426	B	KON	MJD	Vega	40.23	days	observer	NaN
58924.11	19.2436	0	0.125191	B	KON	MJD	Vega	41.44	days	observer	NaN
58925.1	19.2056	0	0.130046	B	KON	MJD	Vega	42.43	days	observer	NaN
58925.92	19.2294	0	0.153094	B	KON	MJD	Vega	43.25	days	observer	NaN
58935.91	19.5941	0	0.136254	B	KON	MJD	Vega	53.24	days	observer	NaN
58939.96	19.58	0	0.336582	B	KON	MJD	Vega	57.29	days	observer	NaN
58941.06	19.5626	0	0.129825	B	KON	MJD	Vega	58.39	days	observer	NaN
58945.06	19.4956	0	0.309785	B	KON	MJD	Vega	62.39	days	observer	NaN
58947.06	19.6852	0	0.381681	B	KON	MJD	Vega	64.39	days	observer	NaN
58954.07	19.6424	0	0.294933	B	KON	MJD	Vega	71.4	days	observer	NaN
58955.03	19.7895	0	0.136951	B	KON	MJD	Vega	72.36	days	observer	NaN
58960.01	20.0695	0	0.417769	B	KON	MJD	Vega	77.34	days	observer	NaN
58898.0	16.4791	0	0.0668901	V	KON	MJD	Vega	15.33	days	observer	NaN
58899.93	16.5234	0	0.0540181	V	KON	MJD	Vega	17.26	days	observer	NaN
58913.79	17.0523	0	0.369746	V	KON	MJD	Vega	31.12	days	observer	NaN
58921.94	17.9553	0	0.0722324	V	KON	MJD	Vega	39.27	days	observer	NaN
58922.9	17.9791	0	0.0829488	V	KON	MJD	Vega	40.23	days	observer	NaN
58924.11	18.0303	0	0.0588385	V	KON	MJD	Vega	41.44	days	observer	NaN
58925.1	18.0619	0	0.0501352	V	KON	MJD	Vega	42.43	days	observer	NaN
58925.92	18.2596	0	0.0832459	V	KON	MJD	Vega	43.25	days	observer	NaN
58935.91	18.5913	0	0.063387	V	KON	MJD	Vega	53.24	days	observer	NaN
58939.96	18.6744	0	0.0858278	V	KON	MJD	Vega	57.29	days	observer	NaN
58941.06	18.5982	0	0.0677861	V	KON	MJD	Vega	58.39	days	observer	NaN
58945.06	18.6359	0	0.164548	V	KON	MJD	Vega	62.39	days	observer	NaN
58947.06	18.5886	0	0.157431	V	KON	MJD	Vega	64.39	days	observer	NaN
58954.07	18.9742	0	0.162578	V	KON	MJD	Vega	71.4	days	observer	NaN
58955.03	19.046	0	0.069051	V	KON	MJD	Vega	72.36	days	observer	NaN
58960.01	19.1058	0	0.232373	V	KON	MJD	Vega	77.34	days	observer	NaN
58898.0	16.8297	0	0.0522808	g	KON	MJD	AB	15.33	days	observer	NaN
58899.93	16.9253	0	0.04808	g	KON	MJD	AB	17.26	days	observer	NaN
58913.79	17.5509	0	0.443172	g	KON	MJD	AB	31.12	days	observer	NaN
58921.94	18.4414	0	0.0828066	g	KON	MJD	AB	39.27	days	observer	NaN
58922.9	18.3944	0	0.0724095	g	KON	MJD	AB	40.23	days	observer	NaN
58924.11	18.4394	0	0.0562311	g	KON	MJD	AB	41.44	days	observer	NaN
58925.1	18.484	0	0.0528371	g	KON	MJD	AB	42.43	days	observer	NaN
58925.92	18.5781	0	0.0674877	g	KON	MJD	AB	43.25	days	observer	NaN
