event,time,magnitude,e_magnitude,band,ra,dec,source,refs
2011kl,54357.75335648148,18.31,0.12,H,,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54357.75335648148,18.72,0.12,J,,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54357.75335648148,17.84,0.15,Ks,,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54357.75335648148,20.05,0.05,g',,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54357.75335648148,19.36,0.03,i',,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54357.75335648148,19.66,0.02,r',,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54357.75335648148,19.13,0.02,z',,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54357.804513888885,18.31,0.11,H,,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54357.804513888885,18.79,0.08,J,,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54357.804513888885,17.87,0.15,Ks,,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54357.804513888885,20.07,0.06,g',,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54357.804513888885,19.39,0.03,i',,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54357.804513888885,19.62,0.02,r',,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54357.804513888885,19.13,0.02,z',,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54357.855671296296,18.35,0.1,H,,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
