date	obs_wavelength	flux	redshift	instrument	date_unit	wavelength_unit	flux_unit	time	time_unit	time_frame	dtime	rest_wavelength	reference
2017-11-01.25	5070.281	6.567758e-19	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	3812.2413533834574	https://www.wis-tns.org/object/2017htp
2017-11-01.25	5130.299	8.992368e-19	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	3857.367669172932	https://www.wis-tns.org/object/2017htp
2017-11-01.25	5190.317	7.156096e-19	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	3902.4939849624056	https://www.wis-tns.org/object/2017htp
2017-11-01.25	5250.335	7.441966e-19	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	3947.6203007518793	https://www.wis-tns.org/object/2017htp
2017-11-01.25	5310.353	6.276918e-19	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	3992.7466165413534	https://www.wis-tns.org/object/2017htp
2017-11-01.25	5369.97	8.605900e-19	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	4037.571428571429	https://www.wis-tns.org/object/2017htp
2017-11-01.25	5429.988	9.977056e-19	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	4082.697744360902	https://www.wis-tns.org/object/2017htp
2017-11-01.25	5490.006	8.693192e-19	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	4127.824060150376	https://www.wis-tns.org/object/2017htp
2017-11-01.25	5550.024	6.055908e-19	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	4172.950375939849	https://www.wis-tns.org/object/2017htp
2017-11-01.25	5610.042	1.049447e-18	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	4218.076691729323	https://www.wis-tns.org/object/2017htp
2017-11-01.25	5670.061	8.046904e-19	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	4263.203759398496	https://www.wis-tns.org/object/2017htp
2017-11-01.25	5730.079	9.246490e-19	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	4308.33007518797	https://www.wis-tns.org/object/2017htp
2017-11-01.25	5790.097	6.175472e-19	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	4353.456390977443	https://www.wis-tns.org/object/2017htp
2017-11-01.25	5850.115	6.938758e-19	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	4398.582706766917	https://www.wis-tns.org/object/2017htp
2017-11-01.25	5910.133	9.464270e-19	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	4443.709022556391	https://www.wis-tns.org/object/2017htp
2017-11-01.25	5970.151	1.038241e-18	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	4488.835338345864	https://www.wis-tns.org/object/2017htp
2017-11-01.25	6030.169	1.250174e-18	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	4533.961654135338	https://www.wis-tns.org/object/2017htp
2017-11-01.25	6090.187	1.037385e-18	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	4579.087969924812	https://www.wis-tns.org/object/2017htp
2017-11-01.25	6150.205	1.014519e-18	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	4624.214285714285	https://www.wis-tns.org/object/2017htp
2017-11-01.25	6210.223	1.073456e-18	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	4669.340601503759	https://www.wis-tns.org/object/2017htp
2017-11-01.25	6270.241	9.142198e-19	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	4714.466917293233	https://www.wis-tns.org/object/2017htp
2017-11-01.25	6330.259	8.897062e-19	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	4759.593233082706	https://www.wis-tns.org/object/2017htp
2017-11-01.25	6390.278	1.070948e-18	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	4804.720300751879	https://www.wis-tns.org/object/2017htp
2017-11-01.25	6450.296	8.576766e-19	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	4849.846616541353	https://www.wis-tns.org/object/2017htp
2017-11-01.25	6510.314	1.151586e-18	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	4894.972932330828	https://www.wis-tns.org/object/2017htp
2017-11-01.25	6570.332	1.060142e-18	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	4940.099248120301	https://www.wis-tns.org/object/2017htp
