time	integration	flux_density	flux_density_limit	dflux_density	time_unit	time_frame	instrument	integration_unit	flux_density_unit	freq	freq_unit	dtime	reference	bandwidth	bandwidth_unit
9.66000	NaN	1025.0	0	35.0	days	observer	VLA	NaN	microJy beam^-1	6.5	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2019MNRAS.486.2721B/abstract	1.0	GHz
9.66000	NaN	1090.0	0	35.0	days	observer	VLA	NaN	microJy beam^-1	7.5	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2019MNRAS.486.2721B/abstract	1.0	GHz
9.67000	NaN	1147.0	0	37.0	days	observer	VLA	NaN	microJy beam^-1	8.5	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2019MNRAS.486.2721B/abstract	1.0	GHz
9.67000	NaN	1161.0	0	38.0	days	observer	VLA	NaN	microJy beam^-1	9.5	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2019MNRAS.486.2721B/abstract	1.0	GHz
9.67000	NaN	1140.0	0	38.0	days	observer	VLA	NaN	microJy beam^-1	10.5	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2019MNRAS.486.2721B/abstract	1.0	GHz
9.67000	NaN	1187.0	0	41.0	days	observer	VLA	NaN	microJy beam^-1	11.5	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2019MNRAS.486.2721B/abstract	1.0	GHz
9.64000	NaN	1034.0	0	60.0	days	observer	VLA	NaN	microJy beam^-1	19.1	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2019MNRAS.486.2721B/abstract	2.0	GHz
9.64000	NaN	930.0	0	55.0	days	observer	VLA	NaN	microJy beam^-1	21.1	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2019MNRAS.486.2721B/abstract	2.0	GHz
9.64000	NaN	822.0	0	51.0	days	observer	VLA	NaN	microJy beam^-1	23.0	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2019MNRAS.486.2721B/abstract	2.0	GHz
9.64000	NaN	829.0	0	55.0	days	observer	VLA	NaN	microJy beam^-1	25.1	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2019MNRAS.486.2721B/abstract	2.0	GHz
28.59000	NaN	367.0	0	20.0	days	observer	VLA	NaN	microJy beam^-1	4.5	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2019MNRAS.486.2721B/abstract	1.0	GHz
28.59000	NaN	393.0	0	18.0	days	observer	VLA	NaN	microJy beam^-1	5.5	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2019MNRAS.486.2721B/abstract	1.0	GHz
28.59000	NaN	405.0	0	17.0	days	observer	VLA	NaN	microJy beam^-1	6.5	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2019MNRAS.486.2721B/abstract	1.0	GHz
28.59000	NaN	386.0	0	17.0	days	observer	VLA	NaN	microJy beam^-1	7.5	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2019MNRAS.486.2721B/abstract	1.0	GHz
28.60000	NaN	341.0	0	16.0	days	observer	VLA	NaN	microJy beam^-1	8.5	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2019MNRAS.486.2721B/abstract	1.0	GHz
28.60000	NaN	345.0	0	17.0	days	observer	VLA	NaN	microJy beam^-1	9.5	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2019MNRAS.486.2721B/abstract	1.0	GHz
28.60000	NaN	306.0	0	15.0	days	observer	VLA	NaN	microJy beam^-1	10.5	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2019MNRAS.486.2721B/abstract	1.0	GHz
28.60000	NaN	303.0	0	20.0	days	observer	VLA	NaN	microJy beam^-1	11.5	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2019MNRAS.486.2721B/abstract	1.0	GHz
28.57000	NaN	141.0	0	29.0	days	observer	VLA	NaN	microJy beam^-1	20.0	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2019MNRAS.486.2721B/abstract	4.0	GHz
