date	obs_wavelength	flux	dflux	redshift	instrument	date_unit	wavelength_unit	flux_unit	time	time_unit	time_frame	dtime	rest_wavelength
2018-08-21.078	3505.048000000012	2.880093e-18	2.412180e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3137.9122649955343
2018-08-21.078	3515.050000000012	-6.214159e-18	2.201466e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3146.866606983001
2018-08-21.078	3525.0520000000124	2.629645e-18	2.018358e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3155.8209489704677
2018-08-21.078	3535.054000000013	-1.336290e-18	2.047019e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3164.7752909579344
2018-08-21.078	3545.056000000013	2.607590e-18	2.056597e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3173.7296329454007
2018-08-21.078	3555.0580000000136	-2.821697e-19	1.954903e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3182.6839749328683
2018-08-21.078	3565.060000000014	-1.155568e-18	1.894029e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3191.638316920335
2018-08-21.078	3575.0620000000145	5.943753e-18	1.844947e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3200.5926589078017
2018-08-21.078	3585.064000000015	2.778694e-18	1.722664e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3209.5470008952684
2018-08-21.078	3595.066000000016	-1.453250e-18	2.074977e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3218.501342882736
