date	obs_wavelength	flux	dflux	redshift	instrument	date_unit	wavelength_unit	flux_unit	time	time_unit	time_frame	dtime	rest_wavelength	reference
2018-08-21.078	3425.0320000000083	-8.270251803468309e-19	2.2828348386279082e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3066.2775290958	https://ui.adsabs.harvard.edu/abs/2018TNSTR1245....1L
2018-08-21.078	3435.0340000000087	2.253988814878949e-18	2.424181353266401e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3075.2318710832665	https://ui.adsabs.harvard.edu/abs/2018TNSTR1245....1L
2018-08-21.078	3445.0360000000087	4.942653896940061e-19	2.3018517221215386e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3084.186213070733	https://ui.adsabs.harvard.edu/abs/2018TNSTR1245....1L
2018-08-21.078	3455.038000000009	4.6546358985557856e-18	2.5685349799142044e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3093.1405550582	https://ui.adsabs.harvard.edu/abs/2018TNSTR1245....1L
2018-08-21.078	3465.040000000009	-5.4272328325380856e-18	2.524064877237933e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3102.094897045666	https://ui.adsabs.harvard.edu/abs/2018TNSTR1245....1L
2018-08-21.078	3475.0420000000104	7.94862692689626e-19	2.509075467787097e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3111.0492390331337	https://ui.adsabs.harvard.edu/abs/2018TNSTR1245....1L
2018-08-21.078	3485.044000000011	-2.145393022049681e-18	2.480063417323213e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3120.0035810206004	https://ui.adsabs.harvard.edu/abs/2018TNSTR1245....1L
2018-08-21.078	3495.046000000011	2.361214475514913e-18	2.298920019751628e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3128.957923008067	https://ui.adsabs.harvard.edu/abs/2018TNSTR1245....1L
2018-08-21.078	3505.048000000012	2.880092834952602e-18	2.412179878606604e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3137.9122649955343	https://ui.adsabs.harvard.edu/abs/2018TNSTR1245....1L
2018-08-21.078	3515.050000000012	-6.214159434463982e-18	2.2014659781999855e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3146.866606983001	https://ui.adsabs.harvard.edu/abs/2018TNSTR1245....1L
2018-08-21.078	3525.0520000000124	2.629645404938845e-18	2.0183575511214106e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3155.820948970468	https://ui.adsabs.harvard.edu/abs/2018TNSTR1245....1L
2018-08-21.078	3535.054000000013	-1.3362898784542621e-18	2.047019457367374e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3164.7752909579344	https://ui.adsabs.harvard.edu/abs/2018TNSTR1245....1L
2018-08-21.078	3545.056000000013	2.607589808876724e-18	2.056597223146037e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3173.7296329454007	https://ui.adsabs.harvard.edu/abs/2018TNSTR1245....1L
2018-08-21.078	3555.0580000000136	-2.821696545673009e-19	1.9549030796062173e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3182.6839749328683	https://ui.adsabs.harvard.edu/abs/2018TNSTR1245....1L
2018-08-21.078	3565.060000000014	-1.1555678384523937e-18	1.894029091399005e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3191.638316920335	https://ui.adsabs.harvard.edu/abs/2018TNSTR1245....1L
2018-08-21.078	3575.0620000000145	5.9437525934683184e-18	1.8449472746028708e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3200.5926589078017	https://ui.adsabs.harvard.edu/abs/2018TNSTR1245....1L
2018-08-21.078	3585.064000000015	2.778693798323222e-18	1.7226642644402894e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3209.5470008952684	https://ui.adsabs.harvard.edu/abs/2018TNSTR1245....1L
2018-08-21.078	3595.066000000016	-1.453250109169617e-18	2.074977344766136e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3218.501342882736	https://ui.adsabs.harvard.edu/abs/2018TNSTR1245....1L
2018-08-21.078	3605.068000000016	3.2713649988335666e-18	2.0898511133329322e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3227.4556848702023	https://ui.adsabs.harvard.edu/abs/2018TNSTR1245....1L
2018-08-21.078	3615.070000000016	4.0624327382648e-18	2.104537894342356e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3236.410026857669	https://ui.adsabs.harvard.edu/abs/2018TNSTR1245....1L
2018-08-21.078	3625.072000000016	5.708672398494678e-18	2.245975865594181e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3245.3643688451352	https://ui.adsabs.harvard.edu/abs/2018TNSTR1245....1L
2018-08-21.078	3635.074000000017	6.204969333137266e-18	2.1603816902314398e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3254.3187108326024	https://ui.adsabs.harvard.edu/abs/2018TNSTR1245....1L
2018-08-21.078	3645.076000000017	-2.4784600272309563e-19	2.1418287752612693e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3263.2730528200686	https://ui.adsabs.harvard.edu/abs/2018TNSTR1245....1L
2018-08-21.078	3655.0780000000177	5.682920373471553e-18	2.209702221828185e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3272.227394807536	https://ui.adsabs.harvard.edu/abs/2018TNSTR1245....1L
2018-08-21.078	3665.0800000000177	3.945274309170249e-18	2.135610803064374e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3281.1817367950025	https://ui.adsabs.harvard.edu/abs/2018TNSTR1245....1L
