GRB/SN,File name,Datatypes,Sources
GRB011121-SN2001ke,GRB011121-SN2001ke_NIR_Optical.html,"Early,Late,NIR,Optical",https://ui.adsabs.harvard.edu/abs/2003ApJ...599.1223G/abstract
GRB011121-SN2001ke,GRB011121-SN2001ke_NIR_Optical2.html,"Early,Late,NIR,Optical",https://ui.adsabs.harvard.edu/abs/2003ApJ...582..924G/abstract
GRB011121-SN2001ke,GRB011121-SN2001ke_Optical.html,"Early,Optical",https://ui.adsabs.harvard.edu/abs/2002ApJ...572L..45B/abstract
GRB011121-SN2001ke,GRB011121-SN2001ke_NIR.html,"Early,NIR",https://ui.adsabs.harvard.edu/abs/2002ApJ...572L..51P/abstract
GRB011121-SN2001ke,GRB011121-SN2001ke_Radio.html,"Early,Late,Radio",https://ui.adsabs.harvard.edu/abs/2002ApJ...572L..51P/abstract
GRB000911,Late-epoch_optical_and_near-infrared_observations_of_the_GRB_000911_afterglow_and_its_host_galaxytable1.tex,"Late,NIR,Optical",https://ui.adsabs.harvard.edu/abs/2005A%26A...438..841M/abstract
GRB000911,EarlyOptical000911.html,"Early,Optical",https://ui.adsabs.harvard.edu/abs/2001A%26A...378..996L/abstract
GRB000911,SubmillieterObservationsof000911.html,Radio,https://ui.adsabs.harvard.edu/abs/2001A%26A...380...81S/abstract
GRB020305,GRB020305_Optical.html,"Early,Optical",https://ui.adsabs.harvard.edu/abs/2005A%26A...437..411G/abstract
GRB020405,OpticalAndNIRforGRB020405.html,"NIR,Optical",https://ui.adsabs.harvard.edu/abs/2003A%26A...404..465M/abstract
GRB020903,GRB020903_Optical.html,"Early,Late,Optical",https://ui.adsabs.harvard.edu/abs/2004ApJ...606..994S/abstract
GRB020903,GRB020903_Radio.html,"Late,Radio",https://ui.adsabs.harvard.edu/abs/2004ApJ...606..994S/abstract
GRB020903,GRB020903_Xray.html,Xray,https://ui.adsabs.harvard.edu/abs/2004ApJ...602..875S/abstract
GRB020903,GRB020903_Optical2.html,"Early,Late,Optical",https://ui.adsabs.harvard.edu/abs/2006ApJ...643..284B/abstract
GRB020903,GRB020903_Optical3.html,"Late,Optical",https://ui.adsabs.harvard.edu/abs/2006ApJ...643..284B/abstract
GRB020903,GRB020903_Lines.html,"Lines,Spectra",https://ui.adsabs.harvard.edu/abs/2006ApJ...643..284B/abstract
GRB020903,GRB020903_Optical_OtherXRFs.html,"Late,Optical",https://ui.adsabs.harvard.edu/abs/2005ApJ...627..877S/abstract
GRB020410,GRB020410_Optical.html,"Early,Late,Optical",https://ui.adsabs.harvard.edu/abs/2005ApJ...624..880L/abstract
GRB021211-SN2002lt,GRB021211-SN2002lt_Optical.html,"Early,Late,Optical",https://ui.adsabs.harvard.edu/abs/2006ApJ...651..994N/abstract
GRB021211-SN2002lt,GRB021211-SN2002lt_Radio.html,"Late,Radio",https://ui.adsabs.harvard.edu/abs/2005A%26A...439..987S/abstract
GRB021211-SN2002lt,GRB021211-SN2002lt_NIR_Optical.html,"Early,Late,NIR,Optical",https://ui.adsabs.harvard.edu/abs/2004AJ....128.1955H/abstract
GRB021211-SN2002lt,GRB021211-SN2002lt_Optical2.html,"Early,Optical",https://ui.adsabs.harvard.edu/abs/2003A%26A...408L..21P/abstract
GRB021211-SN2002lt,GRB021211-SN2002lt_Optical3.html,"Late,Optical",https://ui.adsabs.harvard.edu/abs/2003A%26A...406L..33D/abstract
GRB021211-SN2002lt,GRB021211-SN2002lt_Optical4.html,"Early,Optical",https://ui.adsabs.harvard.edu/abs/2003ApJ...586L...9L/abstract
GRB021211-SN2002lt,GRB021211-SN2002lt_Optical5.html,"Early,Optical",https://ui.adsabs.harvard.edu/abs/2003ApJ...586L...5F/abstract
GRB021211-SN2002lt,GRB021211_2002lt_Radio2.html,"Early,Late,Radio",https://ui.adsabs.harvard.edu/abs/2003ApJ...586L...5F/abstract
GRB030329-SN2003dh,GRB030329-SN2003dh_Radio.txt,"Late,Radio",https://ui.adsabs.harvard.edu/abs/2013ApJ...774...77M/abstract
GRB030329-SN2003dh,GRB030329-SN2003dh_Radio2.txt,"Late,Radio",https://ui.adsabs.harvard.edu/abs/2012ApJ...759....4M/abstract
GRB030329-SN2003dh,GRB030329-SN2003dh_Radio3.html,"Late,Radio",https://ui.adsabs.harvard.edu/abs/2008A%26A...480...35V/abstract
GRB030329-SN2003dh,GRB030329-SN2003dh_Radio4.html,"Late,Radio",https://ui.adsabs.harvard.edu/abs/2008A%26A...480...35V/abstract
GRB030329-SN2003dh,GRB030329-SN2003dh_Radio5.html,"Late,Radio",https://ui.adsabs.harvard.edu/abs/2007ApJ...664..411P/abstract
GRB030329-SN2003dh,GRB060218-SN2006aj_Optical.txt,"Early,Optical",https://ui.adsabs.harvard.edu/abs/2006ApJ...641L..13G/abstract
GRB030329-SN2003dh,GRB030329-SN2003dh_Radio6.html,"Early,Late,Radio",https://ui.adsabs.harvard.edu/abs/2005ApJ...634.1166V/abstract
GRB030329-SN2003dh,GRB030329-SN2003dh_Radio7.html,"Early,Late,Radio",https://ui.adsabs.harvard.edu/abs/2005A%26A...440..477R/abstract
GRB030329-SN2003dh,GRB030329-SN2003dh_Optical2.html,"Early,Late,Optical",https://ui.adsabs.harvard.edu/abs/2005A%26A...440..477R/abstract
GRB030329-SN2003dh,GRB030329-SN2003dh_Radio8.html,Radio,https://ui.adsabs.harvard.edu/abs/2005A%26A...440..477R/abstract
GRB030329-SN2003dh,GRB030329-SN2003dh_Radio9.html,Radio,https://ui.adsabs.harvard.edu/abs/2005A%26A...440..477R/abstract
GRB030329-SN2003dh,GRB030329-SN2003dh_Radio10.html,Radio,https://ui.adsabs.harvard.edu/abs/2005A%26A...439..981S/abstract
GRB030329-SN2003dh,GRB030329-SN2003dh_Radio11.html,"Late,Radio",https://ui.adsabs.harvard.edu/abs/2005ApJ...622..986T/abstract
