instrument	time	integration	wavelength	flux_density	dflux_density	band	mag	mag_limit	dmag	time_unit	exposure_unit	wavelength_unit	flux_density_unit	mag_unit	reference	date	seeing	date_unit
Baade 6.5 m	15.53	NaN	NaN	NaN	NaN	R	23.19	0	0.15	days	NaN	NaN	NaN	Vega	https://ui.adsabs.harvard.edu/abs/2003ApJ...582..924G/abstract	2001-Dec-7.31	NaN	yyyy-month-deciday
Baade 6.5 m	17.28	NaN	NaN	NaN	NaN	R	23.1	0	0.13	days	NaN	NaN	NaN	Vega	https://ui.adsabs.harvard.edu/abs/2003ApJ...582..924G/abstract	2001-Dec-9.06	NaN	yyyy-month-deciday
HST	23.04	NaN	NaN	NaN	NaN	F555W	24.51	0	0.11	days	NaN	NaN	NaN	Vega	https://ui.adsabs.harvard.edu/abs/2003ApJ...582..924G/abstract	2001-Dec-14.82	NaN	yyyy-month-deciday
HST	23.1	NaN	NaN	NaN	NaN	F702W	23.37	0	0.8	days	NaN	NaN	NaN	Vega	https://ui.adsabs.harvard.edu/abs/2003ApJ...582..924G/abstract	2001-Dec-14.88	NaN	yyyy-month-deciday
HST	24.86	NaN	NaN	NaN	NaN	F814W	23.12	0	0.1	days	NaN	NaN	NaN	Vega	https://ui.adsabs.harvard.edu/abs/2003ApJ...582..924G/abstract	2001-Dec-16.64	NaN	yyyy-month-deciday
HST	24.97	NaN	NaN	NaN	NaN	F850LP	22.73	0	0.13	days	NaN	NaN	NaN	Vega	https://ui.adsabs.harvard.edu/abs/2003ApJ...582..924G/abstract	2001-Dec-16.75	NaN	yyyy-month-deciday
HST	27.24	NaN	NaN	NaN	NaN	F555W	25.02	0	0.12	days	NaN	NaN	NaN	Vega	https://ui.adsabs.harvard.edu/abs/2003ApJ...582..924G/abstract	2001-Dec-19.02	NaN	yyyy-month-deciday
HST	27.3	NaN	NaN	NaN	NaN	F702W	23.66	0	0.1	days	NaN	NaN	NaN	Vega	https://ui.adsabs.harvard.edu/abs/2003ApJ...582..924G/abstract	2001-Dec-19.08	NaN	yyyy-month-deciday
HST	28.11	NaN	NaN	NaN	NaN	F814W	23.21	0	0.1	days	NaN	NaN	NaN	Vega	https://ui.adsabs.harvard.edu/abs/2003ApJ...582..924G/abstract	2001-Dec-19.89	NaN	yyyy-month-deciday
HST	28.17	NaN	NaN	NaN	NaN	F850LP	22.78	0	0.13	days	NaN	NaN	NaN	Vega	https://ui.adsabs.harvard.edu/abs/2003ApJ...582..924G/abstract	2001-Dec-19.95	NaN	yyyy-month-deciday
dP	0.5731134259259258	NaN	NaN	NaN	NaN	J	17.852	0	0.045	days	NaN	NaN	NaN	Undefined	https://ui.adsabs.harvard.edu/abs/2002ApJ...572L..51P/abstract	2001-Nov-22.3560	NaN	yyyy-month-deciday
dP	0.5744097222222222	NaN	NaN	NaN	NaN	J	17.73	0	0.037	days	NaN	NaN	NaN	Undefined	https://ui.adsabs.harvard.edu/abs/2002ApJ...572L..51P/abstract	2001-Nov-22.3573	NaN	yyyy-month-deciday
dP	0.5758101851851851	NaN	NaN	NaN	NaN	J	17.763	0	0.044	days	NaN	NaN	NaN	Undefined	https://ui.adsabs.harvard.edu/abs/2002ApJ...572L..51P/abstract	2001-Nov-22.3587	NaN	yyyy-month-deciday
dP	0.5771064814814815	NaN	NaN	NaN	NaN	J	17.801	0	0.04	days	NaN	NaN	NaN	Undefined	https://ui.adsabs.harvard.edu/abs/2002ApJ...572L..51P/abstract	2001-Nov-22.3600	NaN	yyyy-month-deciday
dP	0.5785069444444444	NaN	NaN	NaN	NaN	J	17.821	0	0.037	days	NaN	NaN	NaN	Undefined	https://ui.adsabs.harvard.edu/abs/2002ApJ...572L..51P/abstract	2001-Nov-22.3614	NaN	yyyy-month-deciday
dP	0.5798148148148148	NaN	NaN	NaN	NaN	J	17.799	0	0.039	days	NaN	NaN	NaN	Undefined	https://ui.adsabs.harvard.edu/abs/2002ApJ...572L..51P/abstract	2001-Nov-22.3627	NaN	yyyy-month-deciday
dP	0.5812152777777777	NaN	NaN	NaN	NaN	J	17.785	0	0.035	days	NaN	NaN	NaN	Undefined	https://ui.adsabs.harvard.edu/abs/2002ApJ...572L..51P/abstract	2001-Nov-22.3641	NaN	yyyy-month-deciday
dP	0.5825115740740741	NaN	NaN	NaN	NaN	J	17.77	0	0.036	days	NaN	NaN	NaN	Undefined	https://ui.adsabs.harvard.edu/abs/2002ApJ...572L..51P/abstract	2001-Nov-22.3654	NaN	yyyy-month-deciday
dP	0.5838078703703704	NaN	NaN	NaN	NaN	J	17.795	0	0.041	days	NaN	NaN	NaN	Undefined	https://ui.adsabs.harvard.edu/abs/2002ApJ...572L..51P/abstract	2001-Nov-22.3667	NaN	yyyy-month-deciday
dP	0.5852083333333333	NaN	NaN	NaN	NaN	J	17.739	0	0.038	days	NaN	NaN	NaN	Undefined	https://ui.adsabs.harvard.edu/abs/2002ApJ...572L..51P/abstract	2001-Nov-22.3681	NaN	yyyy-month-deciday
AAT	0.9348148148148148	NaN	NaN	NaN	NaN	J	18.352	0	0.1	days	NaN	NaN	NaN	Undefined	https://ui.adsabs.harvard.edu/abs/2002ApJ...572L..51P/abstract	2001-Nov-22.7177	NaN	yyyy-month-deciday
dP	1.5364120370370369	NaN	NaN	NaN	NaN	J	19.463	0	0.068	days	NaN	NaN	NaN	Undefined	https://ui.adsabs.harvard.edu/abs/2002ApJ...572L..51P/abstract	2001-Nov-23.3193	NaN	yyyy-month-deciday
Baade	6.717118055555556	NaN	NaN	NaN	NaN	J	21.291	0	0.282	days	NaN	NaN	NaN	Undefined	https://ui.adsabs.harvard.edu/abs/2002ApJ...572L..51P/abstract	2001-Nov-28.5	NaN	yyyy-month-deciday
dP	0.5349074074074074	NaN	NaN	NaN	NaN	K	15.959	0	0.045	days	NaN	NaN	NaN	Undefined	https://ui.adsabs.harvard.edu/abs/2002ApJ...572L..51P/abstract	2001-Nov-22.3178	NaN	yyyy-month-deciday
dP	0.5365162037037037	NaN	NaN	NaN	NaN	K	15.987	0	0.04	days	NaN	NaN	NaN	Undefined	https://ui.adsabs.harvard.edu/abs/2002ApJ...572L..51P/abstract	2001-Nov-22.3194	NaN	yyyy-month-deciday
dP	0.5382175925925925	NaN	NaN	NaN	NaN	K	15.908	0	0.037	days	NaN	NaN	NaN	Undefined	https://ui.adsabs.harvard.edu/abs/2002ApJ...572L..51P/abstract	2001-Nov-22.3211	NaN	yyyy-month-deciday
dP	0.5398148148148147	NaN	NaN	NaN	NaN	K	15.994	0	0.04	days	NaN	NaN	NaN	Undefined	https://ui.adsabs.harvard.edu/abs/2002ApJ...572L..51P/abstract	2001-Nov-22.3227	NaN	yyyy-month-deciday
dP	0.5415162037037037	NaN	NaN	NaN	NaN	K	15.958	0	0.04	days	NaN	NaN	NaN	Undefined	https://ui.adsabs.harvard.edu/abs/2002ApJ...572L..51P/abstract	2001-Nov-22.3244	NaN	yyyy-month-deciday
dP	0.5434143518518518	NaN	NaN	NaN	NaN	K	16.002	0	0.041	days	NaN	NaN	NaN	Undefined	https://ui.adsabs.harvard.edu/abs/2002ApJ...572L..51P/abstract	2001-Nov-22.3263	NaN	yyyy-month-deciday
dP	0.545011574074074	NaN	NaN	NaN	NaN	K	16.006	0	0.041	days	NaN	NaN	NaN	Undefined	https://ui.adsabs.harvard.edu/abs/2002ApJ...572L..51P/abstract	2001-Nov-22.3279	NaN	yyyy-month-deciday
dP	0.546712962962963	NaN	NaN	NaN	NaN	K	16.003	0	0.039	days	NaN	NaN	NaN	Undefined	https://ui.adsabs.harvard.edu/abs/2002ApJ...572L..51P/abstract	2001-Nov-22.3296	NaN	yyyy-month-deciday
dP	0.546712962962963	NaN	NaN	NaN	NaN	K	16.003	0	0.039	days	NaN	NaN	NaN	Undefined	https://ui.adsabs.harvard.edu/abs/2002ApJ...572L..51P/abstract	2001-Nov-22.3296	NaN	yyyy-month-deciday
dP	0.5484143518518518	NaN	NaN	NaN	NaN	K	15.981	0	0.037	days	NaN	NaN	NaN	Undefined	https://ui.adsabs.harvard.edu/abs/2002ApJ...572L..51P/abstract	2001-Nov-22.3313	NaN	yyyy-month-deciday
dP	0.5500115740740741	NaN	NaN	NaN	NaN	K	16.053	0	0.039	days	NaN	NaN	NaN	Undefined	https://ui.adsabs.harvard.edu/abs/2002ApJ...572L..51P/abstract	2001-Nov-22.3329	NaN	yyyy-month-deciday
dP	0.5520138888888888	NaN	NaN	NaN	NaN	K	16.039	0	0.04	days	NaN	NaN	NaN	Undefined	https://ui.adsabs.harvard.edu/abs/2002ApJ...572L..51P/abstract	2001-Nov-22.3349	NaN	yyyy-month-deciday
dP	0.553611111111111	NaN	NaN	NaN	NaN	K	15.997	0	0.039	days	NaN	NaN	NaN	Undefined	https://ui.adsabs.harvard.edu/abs/2002ApJ...572L..51P/abstract	2001-Nov-22.3365	NaN	yyyy-month-deciday
dP	0.5553125	NaN	NaN	NaN	NaN	K	16.12	0	0.041	days	NaN	NaN	NaN	Undefined	https://ui.adsabs.harvard.edu/abs/2002ApJ...572L..51P/abstract	2001-Nov-22.3382	NaN	yyyy-month-deciday
dP	0.5569097222222221	NaN	NaN	NaN	NaN	K	15.996	0	0.063	days	NaN	NaN	NaN	Undefined	https://ui.adsabs.harvard.edu/abs/2002ApJ...572L..51P/abstract	2001-Nov-22.3398	NaN	yyyy-month-deciday
dP	0.562511574074074	NaN	NaN	NaN	NaN	K	16.027	0	0.038	days	NaN	NaN	NaN	Undefined	https://ui.adsabs.harvard.edu/abs/2002ApJ...572L..51P/abstract	2001-Nov-22.3454	NaN	yyyy-month-deciday
dP	0.5641087962962963	NaN	NaN	NaN	NaN	K	16.069	0	0.036	days	NaN	NaN	NaN	Undefined	https://ui.adsabs.harvard.edu/abs/2002ApJ...572L..51P/abstract	2001-Nov-22.3470	NaN	yyyy-month-deciday
dP	0.5658101851851851	NaN	NaN	NaN	NaN	K	16.1	0	0.042	days	NaN	NaN	NaN	Undefined	https://ui.adsabs.harvard.edu/abs/2002ApJ...572L..51P/abstract	2001-Nov-22.3487	NaN	yyyy-month-deciday
dP	0.5674074074074074	NaN	NaN	NaN	NaN	K	16.015	0	0.043	days	NaN	NaN	NaN	Undefined	https://ui.adsabs.harvard.edu/abs/2002ApJ...572L..51P/abstract	2001-Nov-22.3503	NaN	yyyy-month-deciday
dP	0.5691087962962962	NaN	NaN	NaN	NaN	K	16.098	0	0.043	days	NaN	NaN	NaN	Undefined	https://ui.adsabs.harvard.edu/abs/2002ApJ...572L..51P/abstract	2001-Nov-22.3520	NaN	yyyy-month-deciday
AAT	0.694212962962963	NaN	NaN	NaN	NaN	K	16.421	0	0.041	days	NaN	NaN	NaN	Undefined	https://ui.adsabs.harvard.edu/abs/2002ApJ...572L..51P/abstract	2001-Nov-22.4771	NaN	yyyy-month-deciday
AAT	0.7125115740740741	NaN	NaN	NaN	NaN	K	16.537	0	0.041	days	NaN	NaN	NaN	Undefined	https://ui.adsabs.harvard.edu/abs/2002ApJ...572L..51P/abstract	2001-Nov-22.4954	NaN	yyyy-month-deciday
AAT	0.7297106481481481	NaN	NaN	NaN	NaN	K	16.495	0	0.035	days	NaN	NaN	NaN	Undefined	https://ui.adsabs.harvard.edu/abs/2002ApJ...572L..51P/abstract	2001-Nov-22.5126	NaN	yyyy-month-deciday
AAT	0.8237152777777778	NaN	NaN	NaN	NaN	K	16.605	0	0.058	days	NaN	NaN	NaN	Undefined	https://ui.adsabs.harvard.edu/abs/2002ApJ...572L..51P/abstract	2001-Nov-22.6066	NaN	yyyy-month-deciday
AAT	0.8340162037037037	NaN	NaN	NaN	NaN	K	16.788	0	0.042	days	NaN	NaN	NaN	Undefined	https://ui.adsabs.harvard.edu/abs/2002ApJ...572L..51P/abstract	2001-Nov-22.6169	NaN	yyyy-month-deciday
AAT	0.8568171296296296	NaN	NaN	NaN	NaN	K	16.782	0	0.038	days	NaN	NaN	NaN	Undefined	https://ui.adsabs.harvard.edu/abs/2002ApJ...572L..51P/abstract	2001-Nov-22.6397	NaN	yyyy-month-deciday
AAT	0.8677083333333333	NaN	NaN	NaN	NaN	K	16.862	0	0.036	days	NaN	NaN	NaN	Undefined	https://ui.adsabs.harvard.edu/abs/2002ApJ...572L..51P/abstract	2001-Nov-22.6506	NaN	yyyy-month-deciday
AAT	0.8783101851851851	NaN	NaN	NaN	NaN	K	17.019	0	0.052	days	NaN	NaN	NaN	Undefined	https://ui.adsabs.harvard.edu/abs/2002ApJ...572L..51P/abstract	2001-Nov-22.6612	NaN	yyyy-month-deciday
AAT	0.8887152777777777	NaN	NaN	NaN	NaN	K	16.852	0	0.039	days	NaN	NaN	NaN	Undefined	https://ui.adsabs.harvard.edu/abs/2002ApJ...572L..51P/abstract	2001-Nov-22.6716	NaN	yyyy-month-deciday
AAT	0.8993171296296296	NaN	NaN	NaN	NaN	K	17.035	0	0.083	days	NaN	NaN	NaN	Undefined	https://ui.adsabs.harvard.edu/abs/2002ApJ...572L..51P/abstract	2001-Nov-22.6822	NaN	yyyy-month-deciday
AAT	0.9443171296296295	NaN	NaN	NaN	NaN	K	17.005	0	0.051	days	NaN	NaN	NaN	Undefined	https://ui.adsabs.harvard.edu/abs/2002ApJ...572L..51P/abstract	2001-Nov-22.7272	NaN	yyyy-month-deciday
AAT	0.9555092592592592	NaN	NaN	NaN	NaN	K	17.087	0	0.079	days	NaN	NaN	NaN	Undefined	https://ui.adsabs.harvard.edu/abs/2002ApJ...572L..51P/abstract	2001-Nov-22.7384	NaN	yyyy-month-deciday
dP	1.5507175925925925	NaN	NaN	NaN	NaN	K	17.924	0	0.051	days	NaN	NaN	NaN	Undefined	https://ui.adsabs.harvard.edu/abs/2002ApJ...572L..51P/abstract	2001-Nov-23.3336	NaN	yyyy-month-deciday
AAT	6.92630787037037	NaN	NaN	NaN	NaN	K	19.346	0	0.234	days	NaN	NaN	NaN	Undefined	https://ui.adsabs.harvard.edu/abs/2002ApJ...572L..51P/abstract	2001-Nov-28.7092	NaN	yyyy-month-deciday
