date	instrument	band	integration	seeing	mag	mag_limit	dmag	date_unit	integration_unit	mag_unit	time	time_unit	time_frame	dtime
2001-Nov-30-08:05-08:51	CTIO OSIRIS	H	19 \times 60	0.7	19.4	1	NaN	yyyy-month-dd-hh:mm-hh:mm	seconds	unspecified	8.569895833333334	days	observer	0.0159722222222222
2001-Dec-01-08:07-08:39	CTIO OSIRIS	J	8 \times 120	0.9	20.1	1	NaN	yyyy-month-dd-hh:mm-hh:mm	seconds	unspecified	9.56642361111111	days	observer	0.0111111111111111
2001-Dec-03-07:50-08:25	CTIO OSIRIS	J	10 \times 120	1.2	20.1	1	NaN	yyyy-month-dd-hh:mm-hh:mm	seconds	unspecified	11.555659722222222	days	observer	0.0121527777777777
2001-Dec-05-06:28-07:01	ESO Melipal/FORS1	V	3 \times 600	0.9	24.3	0	0.02	yyyy-month-dd-hh:mm-hh:mm	seconds	unspecified	13.498020833333332	days	observer	0.0114583333333333
2001-Dec-05-07:02-07:33	ESO Melipal/FORS1	R_{C}	3 \times 600	0.9	23.2	0	0.08	yyyy-month-dd-hh:mm-hh:mm	seconds	unspecified	13.5209375	days	observer	0.0107638888888888
2001-Dec-05-07:34-08:07	ESO Melipal/FORS1	I_{C}	3 \times 600	0.9	22.35	0	0.25	yyyy-month-dd-hh:mm-hh:mm	seconds	unspecified	13.543854166666666	days	observer	0.0114583333333333
2001-Dec-05-06:53-08:09	ESO Antu/ISAAC	J_{s}	40 \times 90	0.6	22.41	0	0.15	yyyy-month-dd-hh:mm-hh:mm	seconds	unspecified	13.5303125	days	observer	0.0263888888888889
2001-Dec-07-06:45-08:02	ESO Antu/ISAAC	J_{s}	40 \times 90	0.6	22.69	0	0.1	yyyy-month-dd-hh:mm-hh:mm	seconds	unspecified	15.525104166666669	days	observer	0.0267361111111111
2001-Dec-08-06:20-06:30	ESO Melipal/FORS1	V	600	0.8	24.09	0	0.02	yyyy-month-dd-hh:mm-hh:mm	seconds	unspecified	16.484479166666667	days	observer	0.0034722222222222
2001-Dec-09-06:49-08:05	ESO Antu/ISAAC	J_{s}	40 \times 90	0.7	22.52	0	0.15	yyyy-month-dd-hh:mm-hh:mm	seconds	unspecified	17.52753472222222	days	observer	0.0263888888888889
2001-Dec-09-07:33-07:43	ESO Melipal/FORS1	V	600	1.0	23.94	0	0.02	yyyy-month-dd-hh:mm-hh:mm	seconds	unspecified	17.535173611111112	days	observer	0.0034722222222222
2001-Dec-10-06:47-06:57	ESO Melipal/FORS1	R_{C}	600	0.8	23.65	0	0.08	yyyy-month-dd-hh:mm-hh:mm	seconds	unspecified	18.503229166666667	days	observer	0.0034722222222222
2001-Dec-11-07:33-08:06	ESO Melipal/FORS1	R_{C}	3 \times 600	0.6	23.45	0	0.08	yyyy-month-dd-hh:mm-hh:mm	seconds	unspecified	19.54315972222222	days	observer	0.0114583333333333
2001-Dec-11-08:07-08:29	ESO Melipal/FORS1	V	2 \times 600	0.7	24.18	0	0.02	yyyy-month-dd-hh:mm-hh:mm	seconds	unspecified	19.562951388888887	days	observer	0.0076388888888888
2001-Dec-13-07:19-08:46	ESO Antu/ISAAC	J_{s}	40 \times 90	0.7	22.89	0	0.15	yyyy-month-dd-hh:mm-hh:mm	seconds	unspecified	21.5521875	days	observer	0.0302083333333333
2001-Dec-15-05:10-05:27	ESO 1.54 m Danish	I_{C}	4 \times 900	1.2	24.7	1	NaN	yyyy-month-dd-hh:mm-hh:mm	seconds	unspecified	23.43829861111111	days	observer	0.0059027777777777
2001-Dec-16-04:51-05:08	ESO 1.54 m Danish	I_{C}	2 \times 900	1.3	23.9	1	NaN	yyyy-month-dd-hh:mm-hh:mm	seconds	unspecified	24.425104166666667	days	observer	0.0059027777777777
2001-Dec-17-04:55-05:12	ESO 1.54 m Danish	I_{C}	4 \times 900	2.0	23.8	1	NaN	yyyy-month-dd-hh:mm-hh:mm	seconds	unspecified	25.427881944444444	days	observer	0.0059027777777777
2001-Dec-17-07:20-08:47	ESO Antu/ISAAC	J_{s}	40 \times 90	1.0	22.79	0	0.3	yyyy-month-dd-hh:mm-hh:mm	seconds	unspecified	25.552881944444444	days	observer	0.0302083333333333
2001-Dec-18-04:45-05:01	ESO 1.54 m Danish	I_{C}	2 \times 900	1.1	23.8	1	NaN	yyyy-month-dd-hh:mm-hh:mm	seconds	unspecified	26.420590277777777	days	observer	0.0055555555555555
2002-Feb-09-04:04-05:24	ESO Antu/ISAAC	J_{s}	40 \times 90	0.5	24.85	1	NaN	yyyy-month-dd-hh:mm-hh:mm	seconds	unspecified	79.41434027777778	days	observer	0.0277777777777777
