col1	col2	col3	col4	col5	col6	col7
3542.864	1.776	-1.779	9.335824e+00	1.704486e+00	-1.704565e+00	4
3546.756	1.623	-2.117	8.873980e+00	1.620165e+00	-1.620246e+00	4
3550.332	1.542	-1.952	9.816871e+00	1.763169e+00	-1.763267e+00	4
3554.207	2.497	-2.333	6.716952e+00	1.264351e+00	-1.264411e+00	4
3558.660	1.553	-1.956	9.033889e+00	1.753912e+00	-1.753989e+00	4
3562.226	2.484	-2.014	9.105173e+00	1.496888e+00	-1.496983e+00	4
3567.471	2.495	-2.761	6.031953e+00	1.171092e+00	-1.171143e+00	4
3572.151	1.356	-2.185	9.378782e+00	1.712330e+00	-1.712416e+00	4
3575.619	1.460	-2.112	9.294753e+00	1.696988e+00	-1.697078e+00	4
3579.504	2.576	-2.425	6.488606e+00	1.221369e+00	-1.221428e+00	4
3583.729	2.067	-1.649	8.728237e+00	1.642940e+00	-1.643012e+00	4
3588.203	2.369	-2.406	6.950645e+00	1.269013e+00	-1.269074e+00	4
3592.754	2.920	-2.182	6.488559e+00	1.221360e+00	-1.221420e+00	4
3598.898	2.468	-3.224	5.875922e+00	1.106042e+00	-1.106100e+00	4
3602.969	2.325	-1.604	8.371684e+00	1.575826e+00	-1.575905e+00	4
3607.714	2.204	-2.420	6.857714e+00	1.331412e+00	-1.331475e+00	4
3611.747	1.809	-1.829	9.127278e+00	1.666411e+00	-1.666494e+00	4
3615.615	1.706	-2.059	8.616115e+00	1.621835e+00	-1.621904e+00	4
3619.675	2.064	-2.354	7.512616e+00	1.371614e+00	-1.371677e+00	4
3623.728	2.140	-1.989	9.464613e+00	1.618029e+00	-1.618122e+00	4
3628.212	1.851	-2.344	7.914040e+00	1.444905e+00	-1.444978e+00	4
3631.673	2.116	-1.609	8.710113e+00	1.639529e+00	-1.639607e+00	4
3635.581	1.828	-1.793	9.170643e+00	1.674329e+00	-1.674414e+00	4
3639.260	1.503	-1.851	9.676331e+00	1.821403e+00	-1.821488e+00	4
3642.964	1.991	-2.201	7.562681e+00	1.468279e+00	-1.468340e+00	4
3647.185	2.730	-2.230	6.541948e+00	1.231409e+00	-1.231465e+00	4
3651.580	2.050	-1.665	8.937418e+00	1.631748e+00	-1.631832e+00	4
3655.261	2.093	-1.631	8.310633e+00	1.664948e+00	-1.665021e+00	4
3660.081	1.357	-2.728	8.127710e+00	1.483915e+00	-1.483991e+00	4
3663.682	2.790	-2.244	9.745400e+00	1.482560e+00	-1.482669e+00	4
3669.095	2.349	-2.624	6.678747e+00	1.219372e+00	-1.219440e+00	4
3673.921	2.171	-2.476	7.146653e+00	1.304800e+00	-1.304872e+00	4
3678.395	2.082	-2.304	7.057393e+00	1.413876e+00	-1.413946e+00	4
3682.881	2.185	-2.404	7.236543e+00	1.321211e+00	-1.321283e+00	4
3687.631	2.092	-2.566	7.128234e+00	1.301436e+00	-1.301503e+00	4
3691.679	2.017	-1.956	8.167700e+00	1.537429e+00	-1.537502e+00	4
3696.040	2.481	-2.344	1.000981e+01	1.554299e+00	-1.554410e+00	4
3700.528	2.307	-2.008	7.697661e+00	1.405400e+00	-1.405478e+00	4
3705.232	1.986	-2.396	7.578865e+00	1.383711e+00	-1.383788e+00	4
3710.401	2.498	-3.183	5.712668e+00	1.075312e+00	-1.075368e+00	4
3715.671	2.033	-2.772	6.752921e+00	1.271121e+00	-1.271180e+00	4
3719.504	2.475	-1.800	7.412846e+00	1.439189e+00	-1.439246e+00	4
3723.961	1.832	-1.982	8.502600e+00	1.600468e+00	-1.600535e+00	4
3727.948	1.976	-2.155	7.487229e+00	1.499987e+00	-1.500044e+00	4
3731.941	1.851	-2.017	8.579032e+00	1.566315e+00	-1.566386e+00	4
3736.392	1.857	-2.600	7.108353e+00	1.380072e+00	-1.380127e+00	4
3740.238	1.642	-1.989	8.931319e+00	1.681167e+00	-1.681238e+00	4
3744.185	2.541	-2.305	9.806020e+00	1.554464e+00	-1.554555e+00	4
3749.302	2.123	-2.575	6.742828e+00	1.309106e+00	-1.309158e+00	4
3753.876	2.242	-2.451	6.911387e+00	1.300950e+00	-1.301014e+00	4
3758.661	1.955	-2.543	7.212218e+00	1.357576e+00	-1.357637e+00	4
3762.618	1.421	-2.002	9.475805e+00	1.783657e+00	-1.783729e+00	4
3765.811	1.675	-1.772	9.193885e+00	1.784974e+00	-1.785040e+00	4
3769.526	2.293	-2.041	7.483849e+00	1.408705e+00	-1.408765e+00	4
3774.096	1.867	-2.276	8.010319e+00	1.462482e+00	-1.462550e+00	4
3778.212	1.794	-2.248	8.025837e+00	1.510726e+00	-1.510792e+00	4
3782.508	1.824	-2.503	7.323252e+00	1.421795e+00	-1.421863e+00	4
3786.382	1.884	-2.049	8.052554e+00	1.563388e+00	-1.563459e+00	4
3790.444	2.126	-2.178	7.709085e+00	1.407484e+00	-1.407548e+00	4
3795.047	1.940	-2.478	6.661156e+00	1.423067e+00	-1.423117e+00	4
3799.631	1.687	-2.644	6.622189e+00	1.462117e+00	-1.462164e+00	4
3803.734	1.567	-2.416	7.199365e+00	1.589553e+00	-1.589610e+00	4
3807.054	1.784	-1.753	8.752225e+00	1.753417e+00	-1.753495e+00	4
3810.474	2.317	-1.636	8.020651e+00	1.557194e+00	-1.557269e+00	4
3814.686	2.178	-1.894	7.046778e+00	1.555864e+00	-1.555920e+00	4
3818.581	1.646	-1.717	8.754573e+00	1.870297e+00	-1.870365e+00	4
3821.797	2.030	-1.571	9.206810e+00	1.775373e+00	-1.775455e+00	4
5440.297	2.651	-2.530	6.267598e+00	1.179768e+00	-1.179826e+00	4
5445.844	1.493	-2.896	7.398128e+00	1.392572e+00	-1.392649e+00	4
5449.926	3.049	-2.589	5.757221e+00	1.083698e+00	-1.083755e+00	4
5455.645	2.758	-2.670	5.840613e+00	1.133944e+00	-1.133997e+00	4
5461.373	2.470	-2.970	5.547237e+00	1.147324e+00	-1.147367e+00	4
5466.098	1.802	-2.254	8.180078e+00	1.493476e+00	-1.493547e+00	4
5470.476	2.601	-2.576	6.412211e+00	1.170709e+00	-1.170770e+00	4
5475.671	3.363	-2.594	5.322544e+00	1.033362e+00	-1.033409e+00	4
5482.208	2.639	-3.174	5.712028e+00	1.042872e+00	-1.042923e+00	4
5487.583	2.715	-2.736	5.814490e+00	1.128872e+00	-1.128926e+00	4
5492.504	2.507	-2.206	6.886558e+00	1.296277e+00	-1.296343e+00	4
5497.998	1.969	-2.988	6.548271e+00	1.232600e+00	-1.232657e+00	4
5502.021	1.415	-2.054	9.569545e+00	1.747158e+00	-1.747244e+00	4
5505.460	2.174	-2.023	7.909416e+00	1.444060e+00	-1.444133e+00	4
5511.835	2.930	-4.201	4.656439e+00	8.501485e-01	-8.501898e-01	4
5520.517	4.392	-5.752	3.125640e+00	6.068369e-01	-6.068639e-01	4
5527.509	3.011	-2.601	5.917410e+00	1.080370e+00	-1.080424e+00	4
5533.531	2.439	-3.011	5.954500e+00	1.120832e+00	-1.120886e+00	4
5538.991	2.171	-3.022	6.392033e+00	1.167024e+00	-1.167081e+00	4
5544.416	2.445	-3.253	5.561688e+00	1.079791e+00	-1.079839e+00	4
