time	integration	band	mag	mag_limit	dmag	time_unit	integration_unit	mag_unnit	mag_type	extinction_corrected	dtime	time_frame	reference	Instrument	mag_unit	telescope	Unnamed: 11	teslescope
11.1	1.71	i'	22.5	0	0.1	days	kiloseconds	AB	apparent	True	NaN	observer	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract	NaN	NaN	NaN	NaN	NaN
11.1	1.71	z'	22.86	0	0.13	days	kiloseconds	AB	apparent	True	NaN	observer	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract	NaN	NaN	NaN	NaN	NaN
23.17	0.34	g'	22.87	0	0.0	days	kiloseconds	AB	apparent	True	NaN	observer	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract	NaN	NaN	NaN	NaN	NaN
23.17	0.34	r'	22.85	0	0.23	days	kiloseconds	AB	apparent	True	NaN	observer	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract	NaN	NaN	NaN	NaN	NaN
23.17	0.34	i'	22.05	0	0.0	days	kiloseconds	AB	apparent	True	NaN	observer	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract	NaN	NaN	NaN	NaN	NaN
23.17	0.34	z'	22.15	0	0.0	days	kiloseconds	AB	apparent	True	NaN	observer	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract	NaN	NaN	NaN	NaN	NaN
46.13	3.92	g'	24.43	0	0.0	days	kiloseconds	AB	apparent	True	NaN	observer	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract	NaN	NaN	NaN	NaN	NaN
46.13	3.92	r'	24.08	0	0.13	days	kiloseconds	AB	apparent	True	NaN	observer	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract	NaN	NaN	NaN	NaN	NaN
46.13	3.92	i'	23.58	0	0.27	days	kiloseconds	AB	apparent	True	NaN	observer	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract	NaN	NaN	NaN	NaN	NaN
46.13	3.92	z'	23.2	0	0.22	days	kiloseconds	AB	apparent	True	NaN	observer	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract	NaN	NaN	NaN	NaN	NaN
49.12	1.7	g'	24.69	0	0.0	days	kiloseconds	AB	apparent	True	NaN	observer	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract	NaN	NaN	NaN	NaN	NaN
