date	time	band	instrument	integration	mag	mag_limit	dmag	seeing	date_unit	time_unit	mag_unit	dtime	reference
2000-Sep-28.339	17.036622685185186	V	Antu	5 $\times$ 180	24.45	0	0.1	1.0	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2005A%26A...438..841M/abstract
2000-Dec-22.181	101.878625	V	Antu	3 $\times$ 300	25.43	0	0.3	0.9	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2005A%26A...438..841M/abstract
2001-Oct-25.203	408.9006273148148	V	Antu	4 $\times$ 300	25.35	0	0.3	0.6	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2005A%26A...438..841M/abstract
2000-Sep-16.235	4.932618055555555	R	Kueyen	2 $\times$ 60	22.42	0	0.15	0.8	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2005A%26A...438..841M/abstract
2000-Sep-19.274	7.971622685185185	R	Antu	5 $\times$ 180	23.12	0	0.05	0.6	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2005A%26A...438..841M/abstract
2000-Sep-21.374	10.071622685185185	R	Antu	5 $\times$ 180	23.42	0	0.05	0.8	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2005A%26A...438..841M/abstract
2000-Sep-28.313	17.010627314814815	R	Antu	5 $\times$ 180	24.01	0	0.08	0.8	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2005A%26A...438..841M/abstract
2000-Sep-30.244	18.941622685185184	R	Antu	4 $\times$ 60	24.12	0	0.1	0.8	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2005A%26A...438..841M/abstract
2000-Dec-22.194	101.89162268518518	R	Antu	3 $\times$ 300	24.2	1	NaN	1.0	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2005A%26A...438..841M/abstract
2001-Aug-15.659	338.3566226851852	R	NOT	15 $\times$ 900	25.27	0	0.15	1.1	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2005A%26A...438..841M/abstract
2000-Sep-15.097	3.7946203703703705	I	NOT	4 $\times$ 420	21.05	0	0.3	1.4	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2005A%26A...438..841M/abstract
2000-Sep-16.328	5.025627314814815	I	Kueyen	6 $\times$ 1200	21.9	0	0.2	0.8	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2005A%26A...438..841M/abstract
2000-Sep-18.333	7.030627314814815	I	Antu	1 $\times$ 180	22.11	0	0.1	0.9	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2005A%26A...438..841M/abstract
2000-Sep-19.261	7.958625	I	Antu	5 $\times$ 180	22.55	0	0.06	0.7	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2005A%26A...438..841M/abstract
2000-Sep-21.388	10.085627314814817	I	Antu	5 $\times$ 180	22.78	0	0.07	0.8	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2005A%26A...438..841M/abstract
2000-Sep-28.353	17.050627314814815	I	Antu	5 $\times$ 180	23.35	0	0.15	0.9	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2005A%26A...438..841M/abstract
2000-Oct-26.177	44.87462037037037	I	Antu	5 $\times$ 180	23.93	0	0.15	0.7	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2005A%26A...438..841M/abstract
