time	integration	mag	mag_limit	dmag	band	time_unit	time_frame	extinction_corrected	mag_type	mag_unit	integration_unit	instrument	dtime	reference
0.013	0.39	17.25	0	0.16	g	days	observer	True	apparent	AB	kiloseconds	GROND	NaN	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
0.013	0.39	17.28	0	0.11	r	days	observer	True	apparent	AB	kiloseconds	GROND	NaN	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
0.013	0.39	17.14	0	0.09	g	days	observer	True	apparent	AB	kiloseconds	GROND	NaN	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
0.013	0.39	17.02	0	0.08	z	days	observer	True	apparent	AB	kiloseconds	GROND	NaN	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
0.013	0.4	17.22	0	0.05	J	days	observer	True	apparent	AB	kiloseconds	GROND	NaN	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
0.013	0.4	16.76	0	0.03	H	days	observer	True	apparent	AB	kiloseconds	GROND	NaN	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
0.013	0.4	16.56	0	0.05	K_{s}	days	observer	True	apparent	AB	kiloseconds	GROND	NaN	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
0.018	0.4	17.51	0	0.16	g	days	observer	True	apparent	AB	kiloseconds	GROND	NaN	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
0.018	0.4	17.53	0	0.11	r	days	observer	True	apparent	AB	kiloseconds	GROND	NaN	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
0.018	0.4	17.37	0	0.09	g	days	observer	True	apparent	AB	kiloseconds	GROND	NaN	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
0.018	0.4	17.29	0	0.08	z	days	observer	True	apparent	AB	kiloseconds	GROND	NaN	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
0.019	0.42	17.53	0	0.05	J	days	observer	True	apparent	AB	kiloseconds	GROND	NaN	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
0.019	0.42	17.06	0	0.03	H	days	observer	True	apparent	AB	kiloseconds	GROND	NaN	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
0.019	0.42	16.82	0	0.04	K_{s}	days	observer	True	apparent	AB	kiloseconds	GROND	NaN	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
0.025	0.69	17.77	0	0.16	g	days	observer	True	apparent	AB	kiloseconds	GROND	NaN	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
0.025	0.69	17.78	0	0.11	r	days	observer	True	apparent	AB	kiloseconds	GROND	NaN	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
0.025	0.69	17.64	0	0.09	g	days	observer	True	apparent	AB	kiloseconds	GROND	NaN	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
0.025	0.69	17.53	0	0.07	z	days	observer	True	apparent	AB	kiloseconds	GROND	NaN	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
0.026	0.75	17.77	0	0.05	J	days	observer	True	apparent	AB	kiloseconds	GROND	NaN	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
0.026	0.75	17.28	0	0.03	H	days	observer	True	apparent	AB	kiloseconds	GROND	NaN	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
0.026	0.75	17.05	0	0.04	K_{s}	days	observer	True	apparent	AB	kiloseconds	GROND	NaN	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
0.035	0.7	17.99	0	0.16	g	days	observer	True	apparent	AB	kiloseconds	GROND	NaN	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
0.035	0.7	17.92	0	0.11	r	days	observer	True	apparent	AB	kiloseconds	GROND	NaN	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
0.035	0.7	17.85	0	0.09	g	days	observer	True	apparent	AB	kiloseconds	GROND	NaN	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
0.035	0.7	17.76	0	0.08	z	days	observer	True	apparent	AB	kiloseconds	GROND	NaN	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
0.035	0.76	17.98	0	0.05	J	days	observer	True	apparent	AB	kiloseconds	GROND	NaN	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
0.035	0.76	17.44	0	0.05	H	days	observer	True	apparent	AB	kiloseconds	GROND	NaN	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
0.035	0.76	17.26	0	0.04	K_{s}	days	observer	True	apparent	AB	kiloseconds	GROND	NaN	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
0.05	1.74	18.28	0	0.16	g	days	observer	True	apparent	AB	kiloseconds	GROND	NaN	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
0.05	1.74	18.18	0	0.11	r	days	observer	True	apparent	AB	kiloseconds	GROND	NaN	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
0.05	1.74	18.11	0	0.09	g	days	observer	True	apparent	AB	kiloseconds	GROND	NaN	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
0.05	1.74	17.96	0	0.07	z	days	observer	True	apparent	AB	kiloseconds	GROND	NaN	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
0.05	1.79	18.16	0	0.05	J	days	observer	True	apparent	AB	kiloseconds	GROND	NaN	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
0.05	1.79	17.7	0	0.03	H	days	observer	True	apparent	AB	kiloseconds	GROND	NaN	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
0.05	1.79	17.51	0	0.04	K_{s}	days	observer	True	apparent	AB	kiloseconds	GROND	NaN	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
0.071	1.75	18.51	0	0.16	g	days	observer	True	apparent	AB	kiloseconds	GROND	NaN	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
0.071	1.75	18.48	0	0.11	r	days	observer	True	apparent	AB	kiloseconds	GROND	NaN	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
0.071	1.75	18.34	0	0.09	g	days	observer	True	apparent	AB	kiloseconds	GROND	NaN	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
