time	integration	mag	mag_limit	dmag	band	time_unit	time_frame	extinction_corrected	mag_type	mag_unit	integration_unit	instrument	dtime
0.917	1.79	19.54	0	0.1	Ks	days	observer	True	apparent	AB	kiloseconds	GROND	NaN
10.85	5.33	23.46	-1	NaN	g'	days	observer	True	apparent	AB	kiloseconds	GROND	NaN
10.85	5.33	23.32	0	0.15	r'	days	observer	True	apparent	AB	kiloseconds	GROND	NaN
10.85	5.33	22.99	0	0.23	i'	days	observer	True	apparent	AB	kiloseconds	GROND	NaN
10.85	5.33	23.17	0	0.25	z'	days	observer	True	apparent	AB	kiloseconds	GROND	NaN
3.808	1.78	20.96	-1	NaN	J	days	observer	True	apparent	AB	kiloseconds	GROND	NaN
3.808	1.78	20.03	-1	NaN	H	days	observer	True	apparent	AB	kiloseconds	GROND	NaN
3.808	1.78	19.24	-1	NaN	Ks	days	observer	True	apparent	AB	kiloseconds	GROND	NaN
15.91	5.32	23.87	-1	NaN	g'	days	observer	True	apparent	AB	kiloseconds	GROND	NaN
15.91	5.32	23.17	0	0.2	r'	days	observer	True	apparent	AB	kiloseconds	GROND	NaN
15.91	5.32	23.2	0	0.35	i'	days	observer	True	apparent	AB	kiloseconds	GROND	NaN
15.91	5.32	22.43	-1	NaN	z'	days	observer	True	apparent	AB	kiloseconds	GROND	NaN
10.85	5.37	21.67	-1	NaN	J	days	observer	True	apparent	AB	kiloseconds	GROND	NaN
10.85	5.37	20.84	-1	NaN	H	days	observer	True	apparent	AB	kiloseconds	GROND	NaN
10.85	5.37	19.44	-1	NaN	Ks	days	observer	True	apparent	AB	kiloseconds	GROND	NaN
18.83	7.17	23.75	-1	NaN	g'	days	observer	True	apparent	AB	kiloseconds	GROND	NaN
18.83	7.17	23.27	0	0.3	r'	days	observer	True	apparent	AB	kiloseconds	GROND	NaN
18.83	7.17	22.97	0	0.32	i'	days	observer	True	apparent	AB	kiloseconds	GROND	NaN
18.83	7.17	22.76	0	0.31	z'	days	observer	True	apparent	AB	kiloseconds	GROND	NaN
15.91	5.38	21.67	-1	NaN	J	days	observer	True	apparent	AB	kiloseconds	GROND	NaN
15.91	5.38	20.76	-1	NaN	H	days	observer	True	apparent	AB	kiloseconds	GROND	NaN
15.91	5.38	19.83	-1	NaN	Ks	days	observer	True	apparent	AB	kiloseconds	GROND	NaN
22.86	7.11	24.03	-1	NaN	g'	days	observer	True	apparent	AB	kiloseconds	GROND	NaN
22.86	7.11	23.51	0	0.25	r'	days	observer	True	apparent	AB	kiloseconds	GROND	NaN
22.86	7.11	23.45	0	0.38	i'	days	observer	True	apparent	AB	kiloseconds	GROND	NaN
22.86	7.11	23.15	0	0.36	z'	days	observer	True	apparent	AB	kiloseconds	GROND	NaN
18.83	7.21	21.15	-1	NaN	J	days	observer	True	apparent	AB	kiloseconds	GROND	NaN
18.83	7.21	19.67	-1	NaN	H	days	observer	True	apparent	AB	kiloseconds	GROND	NaN
18.83	7.21	19.62	-1	NaN	Ks	days	observer	True	apparent	AB	kiloseconds	GROND	NaN
28.89	3.53	23.29	-1	NaN	g'	days	observer	True	apparent	AB	kiloseconds	GROND	NaN
28.89	3.53	22.78	-1	NaN	r'	days	observer	True	apparent	AB	kiloseconds	GROND	NaN
28.89	3.53	22.18	-1	NaN	i'	days	observer	True	apparent	AB	kiloseconds	GROND	NaN
28.89	3.53	21.12	-1	NaN	z'	days	observer	True	apparent	AB	kiloseconds	GROND	NaN
22.86	7.16	21.43	-1	NaN	J	days	observer	True	apparent	AB	kiloseconds	GROND	NaN
22.86	7.16	20.69	-1	NaN	H	days	observer	True	apparent	AB	kiloseconds	GROND	NaN
22.86	7.16	20.0	-1	NaN	Ks	days	observer	True	apparent	AB	kiloseconds	GROND	NaN
