date	instrument	time	freq	flux_density	flux_density_limit	dflux_density	date_unit	time_unit	freq_unit	flux_density_unit	time_frame	dtime	reference
NaN	WSRT	54.08950	4.8	0.456	0	0.041	NaN	days	GHz	milliJy	observer	NaN	https://ui.adsabs.harvard.edu/abs/2018A%26A...620A.190D/abstract
NaN	Ryle	4.76690	15.0	0.9	0	0.12	NaN	days	GHz	milliJy	observer	NaN	https://ui.adsabs.harvard.edu/abs/2018A%26A...620A.190D/abstract
NaN	Ryle	7.84100	15.0	2.7	0	0.12	NaN	days	GHz	milliJy	observer	NaN	https://ui.adsabs.harvard.edu/abs/2018A%26A...620A.190D/abstract
NaN	Ryle	8.85390	15.0	1.8	0	0.11	NaN	days	GHz	milliJy	observer	NaN	https://ui.adsabs.harvard.edu/abs/2018A%26A...620A.190D/abstract
NaN	Ryle	9.74800	15.0	1.7	0	0.14	NaN	days	GHz	milliJy	observer	NaN	https://ui.adsabs.harvard.edu/abs/2018A%26A...620A.190D/abstract
NaN	Ryle	13.88200	15.0	1.1	0	0.18	NaN	days	GHz	milliJy	observer	NaN	https://ui.adsabs.harvard.edu/abs/2018A%26A...620A.190D/abstract
NaN	Ryle	23.71300	15.0	0.7	0	0.11	NaN	days	GHz	milliJy	observer	NaN	https://ui.adsabs.harvard.edu/abs/2018A%26A...620A.190D/abstract
NaN	Ryle	43.74000	15.0	1.5	0	0.12	NaN	days	GHz	milliJy	observer	NaN	https://ui.adsabs.harvard.edu/abs/2018A%26A...620A.190D/abstract
NaN	PdBI	1.26030	103.1	6.57	0	0.07	NaN	days	GHz	milliJy	observer	NaN	https://ui.adsabs.harvard.edu/abs/2018A%26A...620A.190D/abstract
NaN	PdBI	5.21140	86.7	3.7	0	0.07	NaN	days	GHz	milliJy	observer	NaN	https://ui.adsabs.harvard.edu/abs/2018A%26A...620A.190D/abstract
NaN	PdBI	7.39300	86.7	2.26	0	0.13	NaN	days	GHz	milliJy	observer	NaN	https://ui.adsabs.harvard.edu/abs/2018A%26A...620A.190D/abstract
NaN	PdBI	12.32840	105.7	1.13	0	0.12	NaN	days	GHz	milliJy	observer	NaN	https://ui.adsabs.harvard.edu/abs/2018A%26A...620A.190D/abstract
NaN	PdBI	16.10790	86.7	1.14	0	0.05	NaN	days	GHz	milliJy	observer	NaN	https://ui.adsabs.harvard.edu/abs/2018A%26A...620A.190D/abstract
NaN	PdBI	23.17660	86.7	1.18	0	0.09	NaN	days	GHz	milliJy	observer	NaN	https://ui.adsabs.harvard.edu/abs/2018A%26A...620A.190D/abstract
NaN	PdBI	39.14440	102.6	0.61	0	0.13	NaN	days	GHz	milliJy	observer	NaN	https://ui.adsabs.harvard.edu/abs/2018A%26A...620A.190D/abstract
NaN	PdBI	59.95820	86.7	0.58	0	0.18	NaN	days	GHz	milliJy	observer	NaN	https://ui.adsabs.harvard.edu/abs/2018A%26A...620A.190D/abstract
NaN	PdBI	69.23710	99.5	0.36	0	0.19	NaN	days	GHz	milliJy	observer	NaN	https://ui.adsabs.harvard.edu/abs/2018A%26A...620A.190D/abstract
NaN	SMA	0.81100	350.0	13.4	0	1.6	NaN	days	GHz	milliJy	observer	NaN	https://ui.adsabs.harvard.edu/abs/2018A%26A...620A.190D/abstract
NaN	SMA	1.74480	350.0	5.1	0	0.9	NaN	days	GHz	milliJy	observer	NaN	https://ui.adsabs.harvard.edu/abs/2018A%26A...620A.190D/abstract
NaN	SMA	2.78910	350.0	5.4	0	1.1	NaN	days	GHz	milliJy	observer	NaN	https://ui.adsabs.harvard.edu/abs/2018A%26A...620A.190D/abstract
NaN	SMA	3.77440	350.0	4.2	0	1.0	NaN	days	GHz	milliJy	observer	NaN	https://ui.adsabs.harvard.edu/abs/2018A%26A...620A.190D/abstract
NaN	SMA	4.77540	350.0	3.4	0	1.4	NaN	days	GHz	milliJy	observer	NaN	https://ui.adsabs.harvard.edu/abs/2018A%26A...620A.190D/abstract
