GRB/SN,File name,Datatypes,Sources
GRB040924,EarlyOpticalfor040924.tex,"Early,Optical",https://ui.adsabs.harvard.edu/abs/2016arXiv161001985D/abstract
GRB040924,040924Spec.tex,Spec,https://ui.adsabs.harvard.edu/abs/2016arXiv161001985D/abstract
GRB040924,040924Opticaland041006Optical.tb1.txt,Optical,https://ui.adsabs.harvard.edu/abs/2006ApJ...636..391S/abstract
GRB040924,PalomarOpticalData040924.tb2.txt,Optical,https://ui.adsabs.harvard.edu/abs/2006ApJ...636..391S/abstract
GRB040924,040924Optical1.tb1.txt,Optical,https://ui.adsabs.harvard.edu/abs/2005ApJ...628L..93H/abstract
