date	time	integration	instrument	band	mag	mag_limit	dmag	extinction	date_unit	time_unit	integration_unit	mag_unit	dtime
2004-Nov-2.4	38.9	3064	HST	F775W	26.44	0	0.23	NaN	yyyy-month-deciday	days	seconds	Vega	NaN
2004-Nov-2.5	39.0	3211	HST	F850LP	25.6	0	0.11	NaN	yyyy-month-deciday	days	seconds	Vega	NaN
2004-Nov-26.5	63.0	3932	HST	F775W	27.59	1	NaN	NaN	yyyy-month-deciday	days	seconds	Vega	NaN
2005-Feb-18.5	147.0	3932	HST	F775W	NaN	0	NaN	NaN	yyyy-month-deciday	days	seconds	Vega	NaN
2005-Feb-19.5	148.0	3932	HST	F850LP	NaN	0	NaN	NaN	yyyy-month-deciday	days	seconds	Vega	NaN
2004-Nov-2.4	38.9	3064	HST	I	25.75	0	0.23	0.113	yyyy-month-deciday	days	seconds	AB	NaN
2004-Nov-2.5	39.0	3211	HST	z	24.96	0	0.11	0.106	yyyy-month-deciday	days	seconds	AB	NaN
2004-Nov-26.5	63.0	3932	HST	I	26.9	1	NaN	0.113	yyyy-month-deciday	days	seconds	AB	NaN
