date	time	mag	mag_limit	dmag	band	instrument	date_unit	mag_unit	time_unit	reference	integration	integration_unit	extinction
2004-Sep-24-20:24:54	0.36	22.18	0	0.13	V	LOT	yyyy-month-dd-hh:mm:ss	unspecified	days	https://ui.adsabs.harvard.edu/abs/2005ApJ...628L..93H/abstract	300 \times 3	seconds	NaN
2004-Sep-24-12:18:21	0.018	18.44	0	0.05	R	KAIT	yyyy-month-dd-hh:mm:ss	unspecified	days	https://ui.adsabs.harvard.edu/abs/2005ApJ...628L..93H/abstract	120 \times 1	seconds	NaN
2004-Sep-24-12:55:21	0.044	19.31	0	0.15	R	KAIT	yyyy-month-dd-hh:mm:ss	unspecified	days	https://ui.adsabs.harvard.edu/abs/2005ApJ...628L..93H/abstract	120 \times 1	seconds	NaN
2004-Sep-24-15:00:55	0.14	20.71	0	0.13	R	LOT	yyyy-month-dd-hh:mm:ss	unspecified	days	https://ui.adsabs.harvard.edu/abs/2005ApJ...628L..93H/abstract	600 \times 2	seconds	NaN
2004-Sep-24-18:34:37	0.284	21.39	0	0.15	R	LOT	yyyy-month-dd-hh:mm:ss	unspecified	days	https://ui.adsabs.harvard.edu/abs/2005ApJ...628L..93H/abstract	300 \times 3	seconds	NaN
2004-Sep-24-19:28:57	0.321	21.47	0	0.15	R	LOT	yyyy-month-dd-hh:mm:ss	unspecified	days	https://ui.adsabs.harvard.edu/abs/2005ApJ...628L..93H/abstract	300 \times 3	seconds	NaN
2004-Sep-24-20:07:48	0.348	21.47	0	0.14	R	LOT	yyyy-month-dd-hh:mm:ss	unspecified	days	https://ui.adsabs.harvard.edu/abs/2005ApJ...628L..93H/abstract	300 \times 3	seconds	NaN
2004-Sep-24-20:42:17	0.372	21.59	0	0.17	R	LOT	yyyy-month-dd-hh:mm:ss	unspecified	days	https://ui.adsabs.harvard.edu/abs/2005ApJ...628L..93H/abstract	300 \times 3	seconds	NaN
2004-Sep-25-08:35:00	0.873	22.47	-1	NaN	R	KAIT	yyyy-month-dd-hh:mm:ss	unspecified	days	https://ui.adsabs.harvard.edu/abs/2005ApJ...628L..93H/abstract	300 \times 3	seconds	NaN
2004-Oct-6.537	0.024	18.11	0	0.02	V	40 inch	yyyy-month-deciday	unspecified	days	https://ui.adsabs.harvard.edu/abs/2006ApJ...636..391S/abstract	NaN	NaN	NaN
2004-Oct-6.541	0.028	18.2	0	0.04	V	40 inch	yyyy-month-deciday	unspecified	days	https://ui.adsabs.harvard.edu/abs/2006ApJ...636..391S/abstract	NaN	NaN	NaN
2004-Oct-6.546	0.033	18.29	0	0.02	V	40 inch	yyyy-month-deciday	unspecified	days	https://ui.adsabs.harvard.edu/abs/2006ApJ...636..391S/abstract	NaN	NaN	NaN
2004-Oct-6.550	0.037	18.38	0	0.03	V	40 inch	yyyy-month-deciday	unspecified	days	https://ui.adsabs.harvard.edu/abs/2006ApJ...636..391S/abstract	NaN	NaN	NaN
2004-Oct-6.555	0.042	18.48	0	0.03	V	40 inch	yyyy-month-deciday	unspecified	days	https://ui.adsabs.harvard.edu/abs/2006ApJ...636..391S/abstract	NaN	NaN	NaN
2004-Oct-6.582	0.069	19.18	0	0.07	B	40 inch	yyyy-month-deciday	unspecified	days	https://ui.adsabs.harvard.edu/abs/2006ApJ...636..391S/abstract	NaN	NaN	NaN
2004-Oct-6.586	0.073	19.24	0	0.06	B	40 inch	yyyy-month-deciday	unspecified	days	https://ui.adsabs.harvard.edu/abs/2006ApJ...636..391S/abstract	NaN	NaN	NaN
2004-Oct-6.590	0.077	19.29	0	0.07	B	40 inch	yyyy-month-deciday	unspecified	days	https://ui.adsabs.harvard.edu/abs/2006ApJ...636..391S/abstract	NaN	NaN	NaN
2004-Oct-6.595	0.082	18.99	0	0.03	V	40 inch	yyyy-month-deciday	unspecified	days	https://ui.adsabs.harvard.edu/abs/2006ApJ...636..391S/abstract	NaN	NaN	NaN
2004-Oct-6.605	0.092	17.16	0	0.07	H	2.3 m	yyyy-month-deciday	unspecified	days	https://ui.adsabs.harvard.edu/abs/2006ApJ...636..391S/abstract	NaN	NaN	NaN
2004-Oct-6.612	0.099	17.12	0	0.06	H	2.3 m	yyyy-month-deciday	unspecified	days	https://ui.adsabs.harvard.edu/abs/2006ApJ...636..391S/abstract	NaN	NaN	NaN
2004-Oct-6.620	0.107	17.19	0	0.06	H	2.3 m	yyyy-month-deciday	unspecified	days	https://ui.adsabs.harvard.edu/abs/2006ApJ...636..391S/abstract	NaN	NaN	NaN
2004-Oct-6.627	0.114	17.47	0	0.06	H	2.3 m	yyyy-month-deciday	unspecified	days	https://ui.adsabs.harvard.edu/abs/2006ApJ...636..391S/abstract	NaN	NaN	NaN
2004-Oct-6.635	0.122	17.43	0	0.07	H	2.3 m	yyyy-month-deciday	unspecified	days	https://ui.adsabs.harvard.edu/abs/2006ApJ...636..391S/abstract	NaN	NaN	NaN
2004-Nov-2.4	38.9	26.44	0	0.23	F775W	HST	yyyy-month-deciday	Vega	days	https://ui.adsabs.harvard.edu/abs/2006ApJ...636..391S/abstract 	3064	seconds	NaN
2004-Nov-2.5	39.0	25.6	0	0.11	F850LP	HST	yyyy-month-deciday	Vega	days	https://ui.adsabs.harvard.edu/abs/2006ApJ...636..391S/abstract 	3211	seconds	NaN
2004-Nov-26.5	63.0	27.59	-1	NaN	F775W	HST	yyyy-month-deciday	Vega	days	https://ui.adsabs.harvard.edu/abs/2006ApJ...636..391S/abstract 	3932	seconds	NaN
2005-Feb-18.5	147.0	NaN	0	NaN	F775W	HST	yyyy-month-deciday	Vega	days	https://ui.adsabs.harvard.edu/abs/2006ApJ...636..391S/abstract 	3932	seconds	NaN
2005-Feb-19.5	148.0	NaN	0	NaN	F850LP	HST	yyyy-month-deciday	Vega	days	https://ui.adsabs.harvard.edu/abs/2006ApJ...636..391S/abstract 	3932	seconds	NaN
2004-Nov-2.4	38.9	25.75	0	0.23	I	HST	yyyy-month-deciday	AB	days	https://ui.adsabs.harvard.edu/abs/2006ApJ...636..391S/abstract 	3064	seconds	0.113
2004-Nov-2.5	39.0	24.96	0	0.11	z	HST	yyyy-month-deciday	AB	days	https://ui.adsabs.harvard.edu/abs/2006ApJ...636..391S/abstract 	3211	seconds	0.106
2004-Nov-26.5	63.0	26.9	-1	NaN	I	HST	yyyy-month-deciday	AB	days	https://ui.adsabs.harvard.edu/abs/2006ApJ...636..391S/abstract 	3932	seconds	0.113
