date	instrument	band	integration	mag	mag_limit	dmag	date_unit	integration_unit	mag_unit	mag_type	time_frame	extinction_corrected	time_unit	time	dtime
2000-Jan-05.2292	CAHA	R	2400	23.23	0	0.13	yyyy-month-deciday	seconds	AB	apparent	observer	True	days	28.036921296296295	NaN
2000-Jan-06.2083	CAHA	V	10800	23.83	0	0.1	yyyy-month-deciday	seconds	AB	apparent	observer	True 	days	29.01603009259259	NaN
2000-Jan-13.2097	CAHA	R	3600	23.1	1	NaN	yyyy-month-deciday	seconds	AB	apparent	observer	True	days	36.017430555555556	NaN
2000-Jan-13.2528	CAHA	V	2400	22.5	1	NaN	yyyy-month-deciday	seconds	AB	apparent	observer	True	days	36.060520833333335	NaN
2000-Jan-19.2604	NOT	R	1300	23.65	0	0.13	yyyy-month-deciday	seconds	AB	apparent	observer	True	days	42.068125	NaN
2000-Jan-29.2431	WHT	I	1800	22.5	1	NaN	yyyy-month-deciday	seconds	AB	apparent	observer	True	days	52.05082175925926	NaN
2000-Jan-29.2604	WHT	B	986	23.6	1	NaN	yyyy-month-deciday	seconds	AB	apparent	observer	True	days	52.068125	NaN
2000-Feb-13.2556	TNG	B	3600	24.65	0	0.04	yyyy-month-deciday	seconds	AB	apparent	observer	True	days	67.06332175925925	NaN
2000-Feb-17.2882	TNG	V	2400	24.22	0	0.09	yyyy-month-deciday	seconds	AB	apparent	observer	True	days	71.09592592592593	NaN
2000-Mar-31.8403	SAO	V	1490	24.55	0	0.16	yyyy-month-deciday	seconds	AB	apparent	observer	True	days	114.64802083333332	NaN
2000-Mar-31.8715	SAO	I	360	23.46	0	0.49	yyyy-month-deciday	seconds	AB	apparent	observer	True	days	114.67922453703704	NaN
2000-Mar-31.9028	SAO	B	1795	25.19	0	0.17	yyyy-month-deciday	seconds	AB	apparent	observer	True7	days	114.71052083333332	NaN
2000-Mar-31.9583	SAO	R	1260	24.27	0	0.15	yyyy-month-deciday	seconds	AB	apparent	observer	True	days	114.7660300925926	NaN
2000-Apr-04.2083	NOT	I	3800	23.3	0	0.2	yyyy-month-deciday	seconds	AB	apparent	observer	True	days	118.0160300925926	NaN
2000-Feb-11.2708	TNG	J	2520	22.0	1	NaN	yyyy-month-deciday	seconds	AB	apparent	observer	True	days	65.07853009259259	NaN
