time	integration	flux	flux_limit	dflux	energy_range	instrument	time_unit	integration_unit	flux_unit	dtime	reference
618.00000	10.0	2.910000e-10	0	2e-11	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec	NaN	https://ui.adsabs.harvard.edu/abs/2006ApJ...637..901B/abstract
638.00000	10.0	2.480000e-10	0	1.8e-11	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec	NaN	https://ui.adsabs.harvard.edu/abs/2006ApJ...637..901B/abstract
658.00000	10.0	2.730000e-10	0	1.9e-11	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec	NaN	https://ui.adsabs.harvard.edu/abs/2006ApJ...637..901B/abstract
678.00000	10.0	2.460000e-10	0	1.8e-11	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec	NaN	https://ui.adsabs.harvard.edu/abs/2006ApJ...637..901B/abstract
708.00000	20.0	2.420000e-10	0	1.3e-11	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec	NaN	https://ui.adsabs.harvard.edu/abs/2006ApJ...637..901B/abstract
748.00000	20.0	2.040000e-10	0	1.2e-11	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec	NaN	https://ui.adsabs.harvard.edu/abs/2006ApJ...637..901B/abstract
788.00000	20.0	1.980000e-10	0	1.2e-11	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec	NaN	https://ui.adsabs.harvard.edu/abs/2006ApJ...637..901B/abstract
828.00000	20.0	1.900000e-10	0	1.1e-11	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec	NaN	https://ui.adsabs.harvard.edu/abs/2006ApJ...637..901B/abstract
868.00000	20.0	1.630000e-10	0	1.1e-11	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec	NaN	https://ui.adsabs.harvard.edu/abs/2006ApJ...637..901B/abstract
908.00000	20.0	1.850000e-10	0	1.1e-11	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec	NaN	https://ui.adsabs.harvard.edu/abs/2006ApJ...637..901B/abstract
948.00000	20.0	1.760000e-10	0	1.1e-11	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec	NaN	https://ui.adsabs.harvard.edu/abs/2006ApJ...637..901B/abstract
988.00000	20.0	1.630000e-10	0	1.1e-11	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec	NaN	https://ui.adsabs.harvard.edu/abs/2006ApJ...637..901B/abstract
1028.00000	20.0	1.550000e-10	0	1.4	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec	NaN	https://ui.adsabs.harvard.edu/abs/2006ApJ...637..901B/abstract
6009.00000	150.0	1.072000e-11	0	1.34e-12	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec	NaN	https://ui.adsabs.harvard.edu/abs/2006ApJ...637..901B/abstract
6309.00000	150.0	1.331000e-11	0	1.53e-12	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec	NaN	https://ui.adsabs.harvard.edu/abs/2006ApJ...637..901B/abstract
6609.00000	150.0	9.870000e-12	0	1.26e-12	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec	NaN	https://ui.adsabs.harvard.edu/abs/2006ApJ...637..901B/abstract
6909.00000	150.0	1.010000e-11	0	1.52e-12	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec	NaN	https://ui.adsabs.harvard.edu/abs/2006ApJ...637..901B/abstract
11809.00000	350.0	5.600000e-12	0	5.6e-13	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec	NaN	https://ui.adsabs.harvard.edu/abs/2006ApJ...637..901B/abstract
12509.00000	350.0	4.820000e-12	0	5.2e-13	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec	NaN	https://ui.adsabs.harvard.edu/abs/2006ApJ...637..901B/abstract
18109.00000	350.0	3.310000e-12	0	5.2e-13	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec	NaN	https://ui.adsabs.harvard.edu/abs/2006ApJ...637..901B/abstract
23859.00000	2000.0	1.730000e-12	0	3.9e-13	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec	NaN	https://ui.adsabs.harvard.edu/abs/2006ApJ...637..901B/abstract
27859.00000	2000.0	1.080000e-12	0	2.8e-13	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec	NaN	https://ui.adsabs.harvard.edu/abs/2006ApJ...637..901B/abstract
35859.00000	2000.0	7.900000e-13	0	2.1e-13	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec	NaN	https://ui.adsabs.harvard.edu/abs/2006ApJ...637..901B/abstract
81459.00000	5400.0	3.610000e-13	0	8.8e-14	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec	NaN	https://ui.adsabs.harvard.edu/abs/2006ApJ...637..901B/abstract
99102.00000	11850.0	2.730000e-13	0	7.8e-14	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec	NaN	https://ui.adsabs.harvard.edu/abs/2006ApJ...637..901B/abstract
165485.00000	22000.0	8.000000e-14	0	1.6e-14	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec	NaN	https://ui.adsabs.harvard.edu/abs/2006ApJ...637..901B/abstract
412515.00000	42000.0	1.300000e-14	0	6e-15	2-10keV	Swift/XRT	seconds	seconds	erg/cm^2/sec	NaN	https://ui.adsabs.harvard.edu/abs/2006ApJ...637..901B/abstract
