GRB/SN,Filename,Status,Reference
GRB050525A-SN2005nc,GRB050525A-SN2005nc_Optical_NIR.txt,"Early, Late, NIR, Optical",https://ui.adsabs.harvard.edu/abs/2012MNRAS.427..288R/abstract
GRB050525A-SN2005nc,GRB050525A-SN2005nc_Radio.txt,"Early, Radio",https://ui.adsabs.harvard.edu/abs/2012MNRAS.427..288R/abstract
GRB050525A-SN2005nc,GRB050525A-SN2005nc_Optical_UV.txt,"Early, Late, UV",https://ui.adsabs.harvard.edu/abs/2006ApJ...637..901B/abstract
GRB050525A-SN2005nc,GRB050525A-SN2005nc_Optical_UV1.txt,"Optical, UV, UVOT DATA",https://ui.adsabs.harvard.edu/abs/2006ApJ...637..901B/abstract
GRB050525A-SN2005nc,GRB050525A-SN2005nc_Xray.txt,"Early, Xray",https://ui.adsabs.harvard.edu/abs/2006ApJ...637..901B/abstract
GRB050525A-SN2005nc,GRB050525A-SN2005nc_Optical.txt,"Early, Optical",https://ui.adsabs.harvard.edu/abs/2005A%26A...439L..35K/abstract
GRB050525A-SN2005nc,Xray,https://www.swift.ac.uk/xrt_curves/
GRB050525A-SN2005nc,OpenSNPhotometry.csv,Optical,https://api.astrocats.space/SN2005nc/photometry/time+magnitude+e_magnitude+band+ra+dec+source?format=csv
