date	time	mag	mag_limit	dmag	integration	band	instrument	date_unit	time_unit	mag_unit
2005-05-25.8959	0.9008	20.829	0	0.119	1200	I	2.0-m HCT	yyyy-mm-deciday	days	unspecified
2005-05-25.8995	0.9028	20.559	0	0.27	900	I	1.0-m ST	yyyy-mm-deciday	days	unspecified
2005-05-25.9659	0.9744	20.627	0	0.129	1800	I	1.5-m OSN	yyyy-mm-deciday	days	unspecified
2005-05-25.9223	0.9256	20.739	0	0.28	900	I	1.0-m ST	yyyy-mm-deciday	days	unspecified
2005-05-27.1116	2.1096	22.39	0	0.54	200×12	I	1.5-m OSN	yyyy-mm-deciday	days	unspecified
2005-06-30.9721	36.048	23.0	-1	NaN	450×30	I	2.2-m CAHA	yyyy-mm-deciday	days	unspecified
2011-05-28.9855–30.0955	2133.9845–2135.0935	25.1	0	0.4	17×900	i	2.2-m CAHA	yyyy-mm-deciday-deciday	days-days	unspecified
2011-05-26.1508–30.0955	2131.1488–2135.0935	24.1	-1	NaN	18×900	g	2.2-m CAHA	yyyy-mm-deciday-deciday	days-days	unspecified
2005-05-25.0953	0.0936	15.779	0	0.068	60.240	H	3.5-m CAHA	yyyy-mm-deciday	days	unspecified
2005-05-25.0963	0.0946	15.611	0	0.072	60.240	H	3.5-m CAHA	yyyy-mm-deciday	days	unspecified
2005-05-25.0973	0.0956	15.713	0	0.064	60.240	H	3.5-m CAHA	yyyy-mm-deciday	days	unspecified
2005-05-25.0983	0.0966	16.024	0	0.093	60.240	H	3.5-m CAHA	yyyy-mm-deciday	days	unspecified
2005-05-25.0992	0.0976	15.737	0	0.067	60.240	H	3.5-m CAHA	yyyy-mm-deciday	days	unspecified
2005-05-25.0866	0.0847	16.263	0	0.039	21.079	J	3.5-m CAHA	yyyy-mm-deciday	days	unspecified
2005-05-25.0881	0.0865	16.337	0	0.034	60.240	J	3.5-m CAHA	yyyy-mm-deciday	days	unspecified
2005-05-25.0891	0.0875	16.257	0	0.035	60.240	J	3.5-m CAHA	yyyy-mm-deciday	days	unspecified
2005-05-25.0901	0.0884	16.294	0	0.034	60.240	J	3.5-m CAHA	yyyy-mm-deciday	days	unspecified
2005-05-25.0911	0.0894	16.263	0	0.034	60.240	J	3.5-m CAHA	yyyy-mm-deciday	days	unspecified
2005-05-25.0920	0.0904	16.271	0	0.034	60.240	J	3.5-m CAHA	yyyy-mm-deciday	days	unspecified
2005-05-25.0931	0.0914	16.353	0	0.035	60.240	J	3.5-m CAHA	yyyy-mm-deciday	days	unspecified
2011-07-18.0320–18.1150	2245.0301–2245.1131	23.58	0	0.225	83×60	J	3.5-m CAHA	yyyy-mm-deciday-deciday	days-days	unspecified
2011-07-19.0502–19.1077	2246.0483–2246.1059	NaN	0	NaN	57×60	J	3.5-m CAHA	yyyy-mm-deciday-deciday	days-days	unspecified
