date	band	mag	mag_limit	dmag	date_unit	mag_unit	time	time_unit	dtime	instrument	reference	integration	seeing
2002-Apr-6.246	I	19.88	0	0.02	yyyy-month-deciday	Vega	1.2172256944444444	days	NaN	1.54D DFOSC	https://ui.adsabs.harvard.edu/abs/2003A%26A...404..465M/abstract	600	1.1
2002-Apr-6.797	I	20.0	1	NaN	yyyy-month-deciday	Vega	1.768221064814815	days	NaN	1m SO CCD	https://ui.adsabs.harvard.edu/abs/2003A%26A...404..465M/abstract	5\times 600	2.5
2002-Apr-7.132	R	21.2	0	0.04	yyyy-month-deciday	Vega	2.103221064814815	days	NaN	1.54D DFOSC	https://ui.adsabs.harvard.edu/abs/2003A%26A...404..465M/abstract	600	1.2
2002-Apr-7.240	R	21.3	0	0.06	yyyy-month-deciday	Vega	2.211230324074074	days	NaN	1.54D DFOSC	https://ui.adsabs.harvard.edu/abs/2003A%26A...404..465M/abstract	600	0.9
2002-Apr-7.249	V	21.79	0	0.05	yyyy-month-deciday	Vega	2.22022337962963	days	NaN	1.54D DFOSC	https://ui.adsabs.harvard.edu/abs/2003A%26A...404..465M/abstract	600	1.1
2002-Apr-7.266	B	22.29	0	0.07	yyyy-month-deciday	Vega	2.2372256944444446	days	NaN	1.54D DFOSC	https://ui.adsabs.harvard.edu/abs/2003A%26A...404..465M/abstract	600	1.2
2002-Apr-7.270	H	18.9	0	0.07	yyyy-month-deciday	Vega	2.24121875	days	NaN	NTT SofI	https://ui.adsabs.harvard.edu/abs/2003A%26A...404..465M/abstract	600	0.8
2002-Apr-7.278	J	19.55	0	0.06	yyyy-month-deciday	Vega	2.249228009259259	days	NaN	NTT SofI	https://ui.adsabs.harvard.edu/abs/2003A%26A...404..465M/abstract	600	0.8
2002-Apr-7.281	V	21.95	0	0.04	yyyy-month-deciday	Vega	2.2522256944444443	days	NaN	Melipal FORS1	https://ui.adsabs.harvard.edu/abs/2003A%26A...404..465M/abstract	2\times30	0.7
2002-Apr-7.294	K_{s}	18.18	0	0.06	yyyy-month-deciday	Vega	2.2652233796296297	days	NaN	NTT SofI	https://ui.adsabs.harvard.edu/abs/2003A%26A...404..465M/abstract	1800	0.7
