time	mag	mag_limit	dmag	band	instrument	time_unit	mag_unit	mag_type	time_frame	extinction_corrected	dtime
0.552	19.8	0	0.02	r	GROND	days	AB	apparent	observer	False	NaN
0.556	20.09	0	0.02	g	GROND	days	AB	apparent	observer	False	NaN
0.556	19.81	0	0.02	r	GROND	days	AB	apparent	observer	False	NaN
0.556	19.59	0	0.03	g	GROND	days	AB	apparent	observer	False	NaN
0.556	19.54	0	0.052	z	GROND	days	AB	apparent	observer	False	NaN
0.556	19.27	0	0.12	J	GROND	days	AB	apparent	observer	False	NaN
0.556	19.32	0	0.23	H	GROND	days	AB	apparent	observer	False	NaN
0.556	18.55	0	0.21	K_{s}	GROND	days	AB	apparent	observer	False	NaN
0.561	20.09	0	0.02	g	GROND	days	AB	apparent	observer	False	NaN
0.561	19.81	0	0.01	r	GROND	days	AB	apparent	observer	False	NaN
0.561	19.63	0	0.03	g	GROND	days	AB	apparent	observer	False	NaN
0.561	19.45	0	0.045	z	GROND	days	AB	apparent	observer	False	NaN
0.561	19.14	0	0.1	J	GROND	days	AB	apparent	observer	False	NaN
0.561	18.63	0	0.1	H	GROND	days	AB	apparent	observer	False	NaN
0.561	18.49	0	0.22	K_{s}	GROND	days	AB	apparent	observer	False	NaN
0.568	20.15	0	0.02	g	GROND	days	AB	apparent	observer	False	NaN
0.568	19.82	0	0.01	r	GROND	days	AB	apparent	observer	False	NaN
0.568	19.63	0	0.02	g	GROND	days	AB	apparent	observer	False	NaN
0.568	19.4	0	0.023	z	GROND	days	AB	apparent	observer	False	NaN
0.568	19.23	0	0.06	J	GROND	days	AB	apparent	observer	False	NaN
0.568	18.84	0	0.07	H	GROND	days	AB	apparent	observer	False	NaN
0.568	18.84	0	0.22	K_{s}	GROND	days	AB	apparent	observer	False	NaN
0.577	19.85	0	0.01	r	GROND	days	AB	apparent	observer	False	NaN
0.577	19.7	0	0.02	g	GROND	days	AB	apparent	observer	False	NaN
0.577	19.43	0	0.027	z	GROND	days	AB	apparent	observer	False	NaN
0.577	19.19	0	0.05	J	GROND	days	AB	apparent	observer	False	NaN
0.577	18.93	0	0.07	H	GROND	days	AB	apparent	observer	False	NaN
0.577	18.64	0	0.2	K_{s}	GROND	days	AB	apparent	observer	False	NaN
0.586	20.2	0	0.01	g	GROND	days	AB	apparent	observer	False	NaN
0.577	19.86	0	0.01	r	GROND	days	AB	apparent	observer	False	NaN
0.577	19.67	0	0.02	g	GROND	days	AB	apparent	observer	False	NaN
0.577	19.46	0	0.02	z	GROND	days	AB	apparent	observer	False	NaN
0.577	19.15	0	0.06	J	GROND	days	AB	apparent	observer	False	NaN
0.577	18.88	0	0.07	H	GROND	days	AB	apparent	observer	False	NaN
0.577	18.54	0	0.15	K_{s}	GROND	days	AB	apparent	observer	False	NaN
0.595	20.2	0	0.02	g	GROND	days	AB	apparent	observer	False	NaN
0.595	19.89	0	0.01	r	GROND	days	AB	apparent	observer	False	NaN
0.595	19.7	0	0.02	g	GROND	days	AB	apparent	observer	False	NaN
0.595	19.47	0	0.019	z	GROND	days	AB	apparent	observer	False	NaN
0.595	19.21	0	0.05	J	GROND	days	AB	apparent	observer	False	NaN
0.595	19.28	0	0.09	H	GROND	days	AB	apparent	observer	False	NaN
0.595	18.76	0	0.16	K_{s}	GROND	days	AB	apparent	observer	False	NaN
0.604	19.91	0	0.01	r	GROND	days	AB	apparent	observer	False	NaN
0.604	19.7	0	0.02	g	GROND	days	AB	apparent	observer	False	NaN
0.604	19.49	0	0.022	z	GROND	days	AB	apparent	observer	False	NaN
0.604	19.19	0	0.05	J	GROND	days	AB	apparent	observer	False	NaN
