time	integration	mag	mag_limit	dmag	dmag2	band	instrument	time_unit	integration_unit	mag_unit	mag_type	time_frame	extinction_corrected	dtime
0.00693	19.5	18.43	0	0.28	0.22	UVM2	UVOT	days	seconds	AB	apparent	observer	False	NaN
0.00896	19.4	18.49	0	0.3	0.23	UVM2	UVOT	days	seconds	AB	apparent	observer	False	NaN
0.01246	19.5	18.69	0	0.33	0.25	UVM2	UVOT	days	seconds	AB	apparent	observer	False	NaN
0.01446	19.5	18.46	0	0.29	0.23	UVM2	UVOT	days	seconds	AB	apparent	observer	False	NaN
0.07719	196.6	19.25	0	0.13	0.11	UVM2	UVOT	days	seconds	AB	apparent	observer	False	NaN
0.26183	248.8	20.25	0	0.19	0.16	UVM2	UVOT	days	seconds	AB	apparent	observer	False	NaN
0.28021	312.3	20.76	0	0.25	0.2	UVM2	UVOT	days	seconds	AB	apparent	observer	False	NaN
0.33289	885.6	20.82	0	0.14	0.12	UVM2	UVOT	days	seconds	AB	apparent	observer	False	NaN
0.92634	885.6	22.38	0	0.35	0.26	UVM2	UVOT	days	seconds	AB	apparent	observer	False	NaN
1.14712	682.1	22.63	0	0.58	0.37	UVM2	UVOT	days	seconds	AB	apparent	observer	False	NaN
1.2611	885.6	22.09	0	0.29	0.23	UVM2	UVOT	days	seconds	AB	apparent	observer	False	NaN
2.81012	1688.1	22.15	1	NaN	NaN	UVM2	UVOT	days	seconds	AB	apparent	observer	False	NaN
4.34176	2187.1	22.31	1	NaN	NaN	UVM2	UVOT	days	seconds	AB	apparent	observer	False	NaN
4.39814	6573.0	24.0	1	NaN	NaN	UVM2	UVOT	days	seconds	AB	apparent	observer	False	NaN
5.57821	2638.5	22.27	1	NaN	NaN	UVM2	UVOT	days	seconds	AB	apparent	observer	False	NaN
6.16084	1666.1	22.97	1	NaN	NaN	UVM2	UVOT	days	seconds	AB	apparent	observer	False	NaN
0.00185	10.0	18.44	0	0.14	0.13	UVOT-white	UVOT	days	seconds	AB	apparent	observer	False	NaN
0.00197	10.0	18.29	0	0.13	0.12	UVOT-white	UVOT	days	seconds	AB	apparent	observer	False	NaN
0.00208	10.0	18.17	0	0.12	0.11	UVOT-white	UVOT	days	seconds	AB	apparent	observer	False	NaN
0.0022	10.0	18.04	0	0.11	0.10	UVOT-white	UVOT	days	seconds	AB	apparent	observer	False	NaN
0.00231	10.0	18.17	0	0.12	0.11	UVOT-white	UVOT	days	seconds	AB	apparent	observer	False	NaN
0.00243	10.0	18.02	0	0.11	0.1	UVOT-white	UVOT	days	seconds	AB	apparent	observer	False	NaN
0.00255	10.0	18.11	0	0.12	0.11	UVOT-white	UVOT	days	seconds	AB	apparent	observer	False	NaN
0.00266	10.0	18.2	0	0.12	0.11	UVOT-white	UVOT	days	seconds	AB	apparent	observer	False	NaN
0.00278	10.0	17.92	0	0.11	0.1	UVOT-white	UVOT	days	seconds	AB	apparent	observer	False	NaN
0.00289	10.0	18.03	0	0.11	0.1	UVOT-white	UVOT	days	seconds	AB	apparent	observer	False	NaN
0.00301	10.0	18.06	0	0.12	0.1	UVOT-white	UVOT	days	seconds	AB	apparent	observer	False	NaN
0.00312	10.0	17.93	0	0.11	0.1	UVOT-white	UVOT	days	seconds	AB	apparent	observer	False	NaN
0.00324	10.0	17.94	0	0.11	0.1	UVOT-white	UVOT	days	seconds	AB	apparent	observer	False	NaN
0.00336	10.0	17.92	0	0.11	0.1	UVOT-white	UVOT	days	seconds	AB	apparent	observer	False	NaN
0.00347	9.7	17.95	0	0.11	0.1	UVOT-white	UVOT	days	seconds	AB	apparent	observer	False	NaN
0.00605	19.4	17.8	0	0.07	0.07	UVOT-white	UVOT	days	seconds	AB	apparent	observer	False	NaN
0.00807	19.5	18.09	0	0.09	0.08	UVOT-white	UVOT	days	seconds	AB	apparent	observer	False	NaN
0.01081	147.4	18.05	0	0.04	0.04	UVOT-white	UVOT	days	seconds	AB	apparent	observer	False	NaN
0.01361	19.4	18.24	0	0.12	0.11	UVOT-white	UVOT	days	seconds	AB	apparent	observer	False	NaN
0.07006	196.6	18.7	0	0.05	0.05	UVOT-white	UVOT	days	seconds	AB	apparent	observer	False	NaN
0.59775	164.3	21.05	0	0.21	0.18	UVOT-white	UVOT	days	seconds	AB	apparent	observer	False	NaN
0.80219	817.4	21.21	0	0.1	0.09	UVOT-white	UVOT	days	seconds	AB	apparent	observer	False	NaN
1.87291	885.1	22.48	0	0.33	0.25	UVOT-white	UVOT	days	seconds	AB	apparent	observer	False	NaN
3.14088	1236.5	23.45	0	0.79	0.45	UVOT-white	UVOT	days	seconds	AB	apparent	observer	False	NaN
4.47754	2421.9	23.63	0	0.61	0.39	UVOT-white	UVOT	days	seconds	AB	apparent	observer	False	NaN
6.74437	4351.5	22.19	1	NaN	NaN	UVOT-white	UVOT	days	seconds	AB	apparent	observer	False	NaN
8.75036	2143.0	22.03	1	NaN	NaN	UVOT-white	UVOT	days	seconds	AB	apparent	observer	False	NaN
11.0237	8490.5	22.51	1	NaN	NaN	UVOT-white	UVOT	days	seconds	AB	apparent	observer	False	NaN
14.066	2872.2	22.27	1	NaN	NaN	UVOT-white	UVOT	days	seconds	AB	apparent	observer	False	NaN
18.5185	61512.0	25.0	1	NaN	NaN	UVOT-white	UVOT	days	seconds	AB	apparent	observer	False	NaN
21.6931	15200.1	22.56	1	NaN	NaN	UVOT-white	UVOT	days	seconds	AB	apparent	observer	False	NaN
30.5139	18317.7	22.54	1	NaN	NaN	UVOT-white	UVOT	days	seconds	AB	apparent	observer	False	NaN
33.7246	13313.4	23.09	1	NaN	NaN	UVOT-white	UVOT	days	seconds	AB	apparent	observer	False	NaN
0.00519	19.4	18.04	0	0.19	0.16	UVW1	UVOT	days	seconds	AB	apparent	observer	False	NaN
0.00721	19.4	18.53	0	0.25	0.21	UVW1	UVOT	days	seconds	AB	apparent	observer	False	NaN
0.00924	19.4	18.46	0	0.25	0.2	UVW1	UVOT	days	seconds	AB	apparent	observer	False	NaN
0.01275	19.5	18.76	0	0.31	0.24	UVW1	UVOT	days	seconds	AB	apparent	observer	False	NaN
0.01464	1.7	18.68	0	2.31	0.69	UVW1	UVOT	days	seconds	AB	apparent	observer	False	NaN
0.0512	49.6	18.78	0	0.17	0.15	UVW1	UVOT	days	seconds	AB	apparent	observer	False	NaN
0.06295	196.6	18.82	0	0.09	0.08	UVW1	UVOT	days	seconds	AB	apparent	observer	False	NaN
0.07957	196.6	19.02	0	0.11	0.1	UVW1	UVOT	days	seconds	AB	apparent	observer	False	NaN
0.34185	622.0	20.44	0	0.13	0.12	UVW1	UVOT	days	seconds	AB	apparent	observer	False	NaN
0.64009	900.8	21.41	0	0.19	0.16	UVW1	UVOT	days	seconds	AB	apparent	observer	False	NaN
0.85984	885.6	21.49	0	0.2	0.17	UVW1	UVOT	days	seconds	AB	apparent	observer	False	NaN
0.93684	885.6	21.74	0	0.24	0.2	UVW1	UVOT	days	seconds	AB	apparent	observer	False	NaN
1.23288	1771.2	22.16	0	0.22	0.18	UVW1	UVOT	days	seconds	AB	apparent	observer	False	NaN
2.81533	1544.0	22.84	0	0.48	0.33	UVW1	UVOT	days	seconds	AB	apparent	observer	False	NaN
4.34832	2008.8	22.09	1	NaN	NaN	UVW1	UVOT	days	seconds	AB	apparent	observer	False	NaN
5.09259	4582.0	23.5	1	NaN	NaN	UVW1	UVOT	days	seconds	AB	apparent	observer	False	NaN
5.58389	2477.5	23.73	0	0.91	0.49	UVW1	UVOT	days	seconds	AB	apparent	observer	False	NaN
6.16284	1605.3	22.53	1	NaN	NaN	UVW1	UVOT	days	seconds	AB	apparent	observer	False	NaN
0.00433	19.5	19.35	0	0.35	0.26	UVW2	UVOT	days	seconds	AB	apparent	observer	False	NaN
0.00634	19.4	18.59	0	0.23	0.19	UVW2	UVOT	days	seconds	AB	apparent	observer	False	NaN
0.00839	19.4	18.89	0	0.27	0.22	UVW2	UVOT	days	seconds	AB	apparent	observer	False	NaN
0.0119	19.5	18.95	0	0.29	0.23	UVW2	UVOT	days	seconds	AB	apparent	observer	False	NaN
0.0139	19.5	18.66	0	0.25	0.2	UVW2	UVOT	days	seconds	AB	apparent	observer	False	NaN
0.07245	196.6	19.6	0	0.12	0.10	UVW2	UVOT	days	seconds	AB	apparent	observer	False	NaN
0.13358	885.6	20.02	0	0.07	0.06	UVW2	UVOT	days	seconds	AB	apparent	observer	False	NaN
0.52521	804.9	21.84	0	0.2	0.17	UVW2	UVOT	days	seconds	AB	apparent	observer	False	NaN
0.72515	885.6	21.82	0	0.19	0.16	UVW2	UVOT	days	seconds	AB	apparent	observer	False	NaN
1.83617	1209.7	23.45	0	0.59	0.38	UVW2	UVOT	days	seconds	AB	apparent	observer	False	NaN
2.73793	1123.3	22.48	1	NaN	NaN	UVW2	UVOT	days	seconds	AB	apparent	observer	False	NaN
3.56617	1674.5	23.81	0	0.63	0.4	UVW2	UVOT	days	seconds	AB	apparent	observer	False	NaN
4.73622	2169.3	22.66	1	NaN	NaN	UVW2	UVOT	days	seconds	AB	apparent	observer	False	NaN
6.72761	5232.4	22.75	1	NaN	NaN	UVW2	UVOT	days	seconds	AB	apparent	observer	False	NaN
8.3308	2974.9	22.62	1	NaN	NaN	UVW2	UVOT	days	seconds	AB	apparent	observer	False	NaN
10.2592	7029.7	22.8	1	NaN	NaN	UVW2	UVOT	days	seconds	AB	apparent	observer	False	NaN
12.7314	49449.0	25.0	1	NaN	NaN	UVW2	UVOT	days	seconds	AB	apparent	observer	False	NaN
14.6397	3521.2	22.84	1	NaN	NaN	UVW2	UVOT	days	seconds	AB	apparent	observer	False	NaN
19.8672	25310.8	22.96	1	NaN	NaN	UVW2	UVOT	days	seconds	AB	apparent	observer	False	NaN
22.2613	1252.6	22.65	1	NaN	NaN	UVW2	UVOT	days	seconds	AB	apparent	observer	False	NaN
0.00161	10.6	18.14	0	1.04	0.52	V	UVOT	days	seconds	AB	apparent	observer	False	NaN
0.00462	19.5	18.1	0	0.66	0.41	V	UVOT	days	seconds	AB	apparent	observer	False	NaN
0.00665	19.5	17.82	0	0.5	0.34	V	UVOT	days	seconds	AB	apparent	observer	False	NaN
0.00867	19.5	17.14	0	0.29	0.23	V	UVOT	days	seconds	AB	apparent	observer	False	NaN
0.01218	19.5	17.18	0	0.37	0.27	V	UVOT	days	seconds	AB	apparent	observer	False	NaN
0.01418	19.4	17.61	0	0.63	0.39	V	UVOT	days	seconds	AB	apparent	observer	False	NaN
0.07482	196.6	18.17	0	0.15	0.13	V	UVOT	days	seconds	AB	apparent	observer	False	NaN
0.14359	792.7	18.61	0	0.12	0.11	V	UVOT	days	seconds	AB	apparent	observer	False	NaN
0.54557	656.2	20.43	0	0.81	0.46	V	UVOT	days	seconds	AB	apparent	observer	False	NaN
0.73368	545.8	20.44	0	0.67	0.41	V	UVOT	days	seconds	AB	apparent	observer	False	NaN
1.46837	1180.2	19.68	1	NaN	NaN	V	UVOT	days	seconds	AB	apparent	observer	False	NaN
2.40912	891.7	19.69	1	NaN	NaN	V	UVOT	days	seconds	AB	apparent	observer	False	NaN
3.51254	1157.7	19.85	1	NaN	NaN	V	UVOT	days	seconds	AB	apparent	observer	False	NaN
3.93518	4958.0	21.3	1	NaN	NaN	V	UVOT	days	seconds	AB	apparent	observer	False	NaN
4.54936	1494.0	19.84	1	NaN	NaN	V	UVOT	days	seconds	AB	apparent	observer	False	NaN
5.58572	1119.1	19.83	1	NaN	NaN	V	UVOT	days	seconds	AB	apparent	observer	False	NaN
5.98716	739.8	20.23	1	NaN	NaN	V	UVOT	days	seconds	AB	apparent	observer	False	NaN
