Filename,Status,Reference
Late-epoch_optical_and_near-infrared_observations_of_the_GRB_000911_afterglow_and_its_host_galaxytable1.tex,"Late, NIR, Optical",https://ui.adsabs.harvard.edu/abs/2005A%26A...438..841M/abstract
EarlyOptical000911.html,"Early, Optical",https://ui.adsabs.harvard.edu/abs/2001A%26A...378..996L/abstract
SubmillieterObservationsof000911.html,Radio,https://ui.adsabs.harvard.edu/abs/2001A%26A...380...81S/abstract
